유닛ID,등급,유닛이름,실제이름,능력ID,base,능력이름,발동확률,피해배수,추가피해,쿨다운,사거리,반경
h006,흔함,해군 칼병 - 흔함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h006,흔함,해군 칼병 - 흔함,,A09G,AHpx,!@#판매,,,,0.0,,0.0
h006,흔함,해군 칼병 - 흔함,,A0N7,AHwe,[조합],,,,0.0,,0.0
h006,흔함,해군 칼병 - 흔함,,A01R,Aroa,[조합],,,,,,0.0
h007,흔함,우솝 - 흔함,,A0TJ,ACt2,!!@#창고에서 나오기,,,,0.05000000074505806,,0.0
h007,흔함,우솝 - 흔함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h007,흔함,우솝 - 흔함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h007,흔함,우솝 - 흔함,,A09G,AHpx,!@#판매,,,,0.0,,0.0
h007,흔함,우솝 - 흔함,,A00V,AHwe,[조합],,,,0.0,,0.0
h007,흔함,우솝 - 흔함,,A01H,Aroa,[조합],,,,,,0.0
h008,흔함,토니토니 쵸파 - 흔함,,A0TJ,ACt2,!!@#창고에서 나오기,,,,0.05000000074505806,,0.0
h008,흔함,토니토니 쵸파 - 흔함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h008,흔함,토니토니 쵸파 - 흔함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h008,흔함,토니토니 쵸파 - 흔함,,A09G,AHpx,!@#판매,,,,0.0,,0.0
h008,흔함,토니토니 쵸파 - 흔함,,A02I,AHwe,[조합],,,,0.0,,0.0
h008,흔함,토니토니 쵸파 - 흔함,,A00E,Aroa,[조합],,,,,,0.0
h009,흔함,해군 총병 - 흔함,,A0TJ,ACt2,!!@#창고에서 나오기,,,,0.05000000074505806,,0.0
h009,흔함,해군 총병 - 흔함,,A0SP,AHtc,[조합],,,,0.0,,0.0
h009,흔함,해군 총병 - 흔함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h009,흔함,해군 총병 - 흔함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h009,흔함,해군 총병 - 흔함,,A09G,AHpx,!@#판매,,,,0.0,,0.0
h009,흔함,해군 총병 - 흔함,,A0N5,AHwe,[조합],,,,0.0,,0.0
h009,흔함,해군 총병 - 흔함,,A01L,Aroa,[조합],,,,,,0.0
h00A,흔함,CP9 후쿠로 - 안흔함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h00A,흔함,CP9 후쿠로 - 안흔함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h00A,흔함,CP9 후쿠로 - 안흔함,,A0B8,AHpx,!@#판매,,,,0.0,,0.0
h00A,흔함,CP9 후쿠로 - 안흔함,,A046,ACbh,!육식,,1.5,0.0,,,
h00A,흔함,CP9 후쿠로 - 안흔함,,A0NA,AHwe,[조합],,,,0.0,,0.0
h00A,흔함,CP9 후쿠로 - 안흔함,,A01O,Aroa,[조합],,,,,,0.0
h00B,특별함,겟코 모리아 칠무해 - 특별함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h00B,특별함,겟코 모리아 칠무해 - 특별함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h00B,특별함,겟코 모리아 칠무해 - 특별함,,A0BA,AHpx,!@#판매,,,,0.0,,0.0
h00B,특별함,겟코 모리아 칠무해 - 특별함,,A028,AHwe,[조합],,,,0.0,,0.0
h00B,특별함,겟코 모리아 칠무해 - 특별함,,A016,Aroa,[조합],,,,,,0.0
h00B,특별함,겟코 모리아 칠무해 - 특별함,,A113,ANba,!그림자그림자열매-리멕특별,,,,,2000.0,
h00C,흔함,베포 - 안흔함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h00C,흔함,베포 - 안흔함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h00C,흔함,베포 - 안흔함,,A0B8,AHpx,!@#판매,,,,0.0,,0.0
h00C,흔함,베포 - 안흔함,,A01X,AHwe,[조합],,,,0.0,,0.0
h00C,흔함,베포 - 안흔함,,A017,Aroa,[조합],,,,,,0.0
h00D,흔함,브룩 - 안흔함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h00D,흔함,브룩 - 안흔함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h00D,흔함,브룩 - 안흔함,,A0B8,AHpx,!@#판매,,,,0.0,,0.0
h00D,흔함,브룩 - 안흔함,,A04C,ACbh,!잠의 노래 프람,10.0,,0.0,,,
h00D,흔함,브룩 - 안흔함,,A00K,AHwe,[조합],,,,0.0,,0.0
h00D,흔함,브룩 - 안흔함,,A019,Aroa,[조합],,,,,,0.0
h00D,흔함,브룩 - 안흔함,,A02E,AHtc,[조합],,,,0.0,,0.0
h00E,흔함,타시기 - 안흔함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h00E,흔함,타시기 - 안흔함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h00E,흔함,타시기 - 안흔함,,A03M,ACbh,!시구레,20.0,,200.0,,,
h00E,흔함,타시기 - 안흔함,,A0B8,AHpx,!@#판매,,,,0.0,,0.0
h00E,흔함,타시기 - 안흔함,,A02B,AHwe,[조합],,,,0.0,,0.0
h00E,흔함,타시기 - 안흔함,,A01C,Aroa,[조합],,,,,,0.0
h00F,흔함,하찌 - 안흔함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h00F,흔함,하찌 - 안흔함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h00F,흔함,하찌 - 안흔함,,A06P,ACbh,!어인,20.0,,150.0,,,
h00F,흔함,하찌 - 안흔함,,A0B8,AHpx,!@#판매,,,,0.0,,0.0
h00F,흔함,하찌 - 안흔함,,A06P,ACbh,!어인,20.0,,150.0,,,
h00F,흔함,하찌 - 안흔함,,A0N8,AHwe,[조합],,,,0.0,,0.0
h00F,흔함,하찌 - 안흔함,,A01P,Aroa,[조합],,,,,,0.0
h00G,흔함,토니토니 쵸파 럼블볼강화 - 안흔함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h00G,흔함,토니토니 쵸파 럼블볼강화 - 안흔함,,A0B8,AHpx,!@#판매,,,,0.0,,0.0
h00G,흔함,토니토니 쵸파 럼블볼강화 - 안흔함,,A00B,AHwe,[조합],,,,0.0,,0.0
h00G,흔함,토니토니 쵸파 럼블볼강화 - 안흔함,,A014,Aroa,[조합],,,,,,0.0
h00G,흔함,토니토니 쵸파 럼블볼강화 - 안흔함,,A004,AHtc,[조합],,,,0.0,,0.0
h00G,흔함,토니토니 쵸파 럼블볼강화 - 안흔함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h00H,흔함,좀비 - 안흔함,,A029,AHwe,[조합],,,,0.0,,0.0
h00I,흔함,이나즈마 - 안흔함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h00I,흔함,이나즈마 - 안흔함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h00I,흔함,이나즈마 - 안흔함,,A0B8,AHpx,!@#판매,,,,0.0,,0.0
h00I,흔함,이나즈마 - 안흔함,,A00Z,AHwe,[조합],,,,0.0,,0.0
h00I,흔함,이나즈마 - 안흔함,,A01I,Aroa,[조합],,,,,,0.0
h00J,흔함,페로나 - 안흔함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h00J,흔함,페로나 - 안흔함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h00J,흔함,페로나 - 안흔함,,A0B8,AHpx,!@#판매,,,,0.0,,0.0
h00J,흔함,페로나 - 안흔함,,A030,AHwe,[조합],,,,0.0,,0.0
h00J,흔함,페로나 - 안흔함,,A01N,Aroa,[조합],,,,,,0.0
h00K,흔함,포트거스.D.에이스 - 안흔함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h00K,흔함,포트거스.D.에이스 - 안흔함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h00K,흔함,포트거스.D.에이스 - 안흔함,,A0B8,AHpx,!@#판매,,,,0.0,,0.0
h00K,흔함,포트거스.D.에이스 - 안흔함,,A06J,ACbh,!이글이글열매,10.0,,200.0,,,
h00K,흔함,포트거스.D.에이스 - 안흔함,,A00S,AHwe,[조합],,,,0.0,,0.0
h00K,흔함,포트거스.D.에이스 - 안흔함,,A01E,Aroa,[조합],,,,,,0.0
h00L,흔함,프랑키 - 안흔함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h00L,흔함,프랑키 - 안흔함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h00L,흔함,프랑키 - 안흔함,,A0B8,AHpx,!@#판매,,,,0.0,,0.0
h00L,흔함,프랑키 - 안흔함,,A02Y,AHwe,[조합],,,,0.0,,0.0
h00L,흔함,프랑키 - 안흔함,,A01Q,Aroa,[조합],,,,,,0.0
h00M,흔함,CP9 블루노 - 안흔함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h00M,흔함,CP9 블루노 - 안흔함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h00M,흔함,CP9 블루노 - 안흔함,,A0B8,AHpx,!@#판매,,,,0.0,,0.0
h00M,흔함,CP9 블루노 - 안흔함,,A046,ACbh,!육식,,1.5,0.0,,,
h00M,흔함,CP9 블루노 - 안흔함,,A024,AHwe,[조합],,,,0.0,,0.0
h00M,흔함,CP9 블루노 - 안흔함,,A01A,Aroa,[조합],,,,,,0.0
h00N,흔함,저격왕 우솝 - 안흔함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h00N,흔함,저격왕 우솝 - 안흔함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h00N,흔함,저격왕 우솝 - 안흔함,,A0B8,AHpx,!@#판매,,,,0.0,,0.0
h00N,흔함,저격왕 우솝 - 안흔함,,A01D,AHwe,[조합],,,,0.0,,0.0
h00N,흔함,저격왕 우솝 - 안흔함,,A01K,Aroa,[조합],,,,,,0.0
h00O,흔함,니코 로빈 - 안흔함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h00O,흔함,니코 로빈 - 안흔함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h00O,흔함,니코 로빈 - 안흔함,,A0B8,AHpx,!@#판매,,,,0.0,,0.0
h00O,흔함,니코 로빈 - 안흔함,,A0T7,Aroc,!꽃꽃 열매,,,,0.0,,600.0
h00O,흔함,니코 로빈 - 안흔함,,A03E,AHwe,[조합],,,,0.0,,0.0
h00P,특별함,나미 크리마 텍트 - 특별함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h00P,특별함,나미 크리마 텍트 - 특별함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h00P,특별함,나미 크리마 텍트 - 특별함,,A06Y,ACbh,!크리마 텍트,0.0,,0.0,,,
h00P,특별함,나미 크리마 텍트 - 특별함,,A0BA,AHpx,!@#판매,,,,0.0,,0.0
h00P,특별함,나미 크리마 텍트 - 특별함,,A0ND,AHwe,[조합],,,,0.0,,0.0
h00Q,특별함,갓 에넬 하늘섬의 가짜신 - 특별함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h00Q,특별함,갓 에넬 하늘섬의 가짜신 - 특별함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h00Q,특별함,갓 에넬 하늘섬의 가짜신 - 특별함,,A0BA,AHpx,!@#판매,,,,0.0,,0.0
h00Q,특별함,갓 에넬 하늘섬의 가짜신 - 특별함,,A0DA,Aroc,!쿠릉쿠릉열매,,,,0.0,,600.0
h00Q,특별함,갓 에넬 하늘섬의 가짜신 - 특별함,,A0NB,AHwe,[조합],,,,0.0,,0.0
h00R,특별함,로브 루치 CP9 도력 4000 - 특별함,,A045,ACbh,!육식,,2.0,0.0,,,
h00R,특별함,로브 루치 CP9 도력 4000 - 특별함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h00R,특별함,로브 루치 CP9 도력 4000 - 특별함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h00R,특별함,로브 루치 CP9 도력 4000 - 특별함,,A0BA,AHpx,!@#판매,,,,0.0,,0.0
h00R,특별함,로브 루치 CP9 도력 4000 - 특별함,,A00C,AHwe,[조합],,,,0.0,,0.0
h00S,특별함,니코 로빈 오하라의 악마 - 특별함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h00S,특별함,니코 로빈 오하라의 악마 - 특별함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h00S,특별함,니코 로빈 오하라의 악마 - 특별함,,A0BA,AHpx,!@#판매,,,,0.0,,0.0
h00S,특별함,니코 로빈 오하라의 악마 - 특별함,,A03R,Aroc,!꽃꽃 열매,,,,0.0,,600.0
h00S,특별함,니코 로빈 오하라의 악마 - 특별함,,A0NC,AHwe,[조합],,,,0.0,,0.0
h00T,특별함,마르코 흰수염 해적단 - 특별함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h00T,특별함,마르코 흰수염 해적단 - 특별함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h00T,특별함,마르코 흰수염 해적단 - 특별함,,A075,ACbh,!불사조불사조열매,0.0,,0.0,,,
h00T,특별함,마르코 흰수염 해적단 - 특별함,,A0BA,AHpx,!@#판매,,,,0.0,,0.0
h00T,특별함,마르코 흰수염 해적단 - 특별함,,A00I,AHwe,[조합],,,,0.0,,0.0
h00U,특별함,몽키.D.루피 기어 세컨드 - 특별함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h00U,특별함,몽키.D.루피 기어 세컨드 - 특별함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h00U,특별함,몽키.D.루피 기어 세컨드 - 특별함,,A053,ACbh,!고무고무 열매,20.0,,30.0,,,
h00U,특별함,몽키.D.루피 기어 세컨드 - 특별함,,A066,ACbh,!기어 세컨드,0.0,,0.0,,,
h00U,특별함,몽키.D.루피 기어 세컨드 - 특별함,,A0BA,AHpx,!@#판매,,,,0.0,,0.0
h00U,특별함,몽키.D.루피 기어 세컨드 - 특별함,,A00F,AHwe,[조합],,,,0.0,,0.0
h00V,특별함,캡틴 크로 백계 - 특별함,,A0SQ,ACbh,!작살-크로,20.0,,0.0,,,
h00V,특별함,캡틴 크로 백계 - 특별함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h00V,특별함,캡틴 크로 백계 - 특별함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h00V,특별함,캡틴 크로 백계 - 특별함,,A0BA,AHpx,!@#판매,,,,0.0,,0.0
h00V,특별함,캡틴 크로 백계 - 특별함,,A02F,AHwe,[조합],,,,0.0,,0.0
h00W,특별함,롤로노아 조로 귀기 - 특별함,,A0R9,ACbh,!귀기-특별1,0.0,,0.0,,,
h00W,특별함,롤로노아 조로 귀기 - 특별함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h00W,특별함,롤로노아 조로 귀기 - 특별함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h00W,특별함,롤로노아 조로 귀기 - 특별함,,A0BA,AHpx,!@#판매,,,,0.0,,0.0
h00W,특별함,롤로노아 조로 귀기 - 특별함,,A02R,Aroa,[조합],,,,,,0.0
h00W,특별함,롤로노아 조로 귀기 - 특별함,,A02T,AHwe,[조합],,,,0.0,,0.0
h00X,특별함,이나즈마 혁명군 - 특별함,,A0JV,Asph,스피어 혁명군,,,,0.0,,
h00X,특별함,이나즈마 혁명군 - 특별함,,A0HZ,ACbh,!싹둑싹둑열매,60.0,1.5,0.0,,,
h00X,특별함,이나즈마 혁명군 - 특별함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h00X,특별함,이나즈마 혁명군 - 특별함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h00X,특별함,이나즈마 혁명군 - 특별함,,A0BA,AHpx,!@#판매,,,,0.0,,0.0
h00X,특별함,이나즈마 혁명군 - 특별함,,A01J,Aroa,[조합],,,,,,0.0
h00X,특별함,이나즈마 혁명군 - 특별함,,A00X,AHwe,[조합],,,,0.0,,0.0
h00Y,특별함,유스타스 키드 초신성 - 특별함,,A0K4,AOae,A자석자석 열매,,,,,,800.0
h00Y,특별함,유스타스 키드 초신성 - 특별함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h00Y,특별함,유스타스 키드 초신성 - 특별함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h00Y,특별함,유스타스 키드 초신성 - 특별함,,A0BA,AHpx,!@#판매,,,,0.0,,0.0
h00Y,특별함,유스타스 키드 초신성 - 특별함,,A00U,AHwe,[조합],,,,0.0,,0.0
h00Z,특별함,우솝 화염탄 - 특별함,,A01W,Aroa,[조합],,,,,,0.0
h00Z,특별함,우솝 화염탄 - 특별함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h00Z,특별함,우솝 화염탄 - 특별함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h00Z,특별함,우솝 화염탄 - 특별함,,A0BA,AHpx,!@#판매,,,,0.0,,0.0
h00Z,특별함,우솝 화염탄 - 특별함,,A00Q,AHwe,[조합],,,,0.0,,0.0
h010,특별함,압살롬 투명인간 - 특별함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h010,특별함,압살롬 투명인간 - 특별함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h010,특별함,압살롬 투명인간 - 특별함,,A080,AHpx,!@#판매,,,,0.0,,0.0
h010,특별함,압살롬 투명인간 - 특별함,,A01V,AHwe,[조합],,,,0.0,,0.0
h011,특별함,아론 어인해적단 선장 - 특별함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h011,특별함,아론 어인해적단 선장 - 특별함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h011,특별함,아론 어인해적단 선장 - 특별함,,A06O,ACbh,!어인,20.0,,500.0,,,
h011,특별함,아론 어인해적단 선장 - 특별함,,A0BA,AHpx,!@#판매,,,,0.0,,0.0
h011,특별함,아론 어인해적단 선장 - 특별함,,A03G,AHwe,[조합],,,,0.0,,0.0
h012,특별함,스쿼드 흰수염산하 소용돌이 거미 - 특별함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h012,특별함,스쿼드 흰수염산하 소용돌이 거미 - 특별함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h012,특별함,스쿼드 흰수염산하 소용돌이 거미 - 특별함,,A05C,ACbh,!대태도,0.0,,0.0,,,
h012,특별함,스쿼드 흰수염산하 소용돌이 거미 - 특별함,,A0BA,AHpx,!@#판매,,,,0.0,,0.0
h012,특별함,스쿼드 흰수염산하 소용돌이 거미 - 특별함,,A02A,AHwe,[조합],,,,0.0,,0.0
h013,특별함,상디 검은다리 - 특별함,,A0JK,ACbh,!검은다리-특별함,0.0,,0.0,,,
h013,특별함,상디 검은다리 - 특별함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h013,특별함,상디 검은다리 - 특별함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h013,특별함,상디 검은다리 - 특별함,,A0BA,AHpx,!@#판매,,,,0.0,,0.0
h013,특별함,상디 검은다리 - 특별함,,A0NF,AHwe,[조합],,,,0.0,,0.0
h014,특별함,봉쿠레 Mr.2 - 특별함,,A0D7,ACbh,!폭격백조,0.0,,0.0,,,
h014,특별함,봉쿠레 Mr.2 - 특별함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h014,특별함,봉쿠레 Mr.2 - 특별함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h014,특별함,봉쿠레 Mr.2 - 특별함,,A0BA,AHpx,!@#판매,,,,0.0,,0.0
h014,특별함,봉쿠레 Mr.2 - 특별함,,A008,AHwe,[조합],,,,0.0,,0.0
h015,특별함,버기 특제 마기탄 - 특별함,,A05Z,Aroa,버기 긴급탈출1,,,,,,0.0
h015,특별함,버기 특제 마기탄 - 특별함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h015,특별함,버기 특제 마기탄 - 특별함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h015,특별함,버기 특제 마기탄 - 특별함,,A05E,ACbh,!마기탄,30.0,,800.0,,,
h015,특별함,버기 특제 마기탄 - 특별함,,A03B,AHwe,[조합],,,,0.0,,0.0
h016,특별함,바질 호킨스 초신성 - 특별함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h016,특별함,바질 호킨스 초신성 - 특별함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h016,특별함,바질 호킨스 초신성 - 특별함,,A0E1,AHad,B부두부두 열매,,,,,,800.0
h016,특별함,바질 호킨스 초신성 - 특별함,,A0BA,AHpx,!@#판매,,,,0.0,,0.0
h016,특별함,바질 호킨스 초신성 - 특별함,,A013,Aroa,[조합],,,,,,0.0
h016,특별함,바질 호킨스 초신성 - 특별함,,A0IO,AHwe,[조합],,,,0.0,,0.0
h017,특별함,바솔로뮤 쿠마 칠무해 - 특별함,,A0SI,ACbh,!생체병기-특별아이콘용,20.0,,0.0,,,
h017,특별함,바솔로뮤 쿠마 칠무해 - 특별함,,A0NV,Apxf,P생체병기 px,,,,0.20000000298023224,,
h017,특별함,바솔로뮤 쿠마 칠무해 - 특별함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h017,특별함,바솔로뮤 쿠마 칠무해 - 특별함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h017,특별함,바솔로뮤 쿠마 칠무해 - 특별함,,A0BA,AHpx,!@#판매,,,,0.0,,0.0
h017,특별함,바솔로뮤 쿠마 칠무해 - 특별함,,A02V,AHwe,[조합],,,,0.0,,0.0
h018,특별함,징베 칠무해 - 특별함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h018,특별함,징베 칠무해 - 특별함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h018,특별함,징베 칠무해 - 특별함,,A06O,ACbh,!어인,20.0,,500.0,,,
h018,특별함,징베 칠무해 - 특별함,,A0BA,AHpx,!@#판매,,,,0.0,,0.0
h018,특별함,징베 칠무해 - 특별함,,A02K,AHwe,[조합],,,,0.0,,0.0
h018,특별함,징베 칠무해 - 특별함,,A01M,Aroa,[조합],,,,,,0.0
h019,특별함,챠카 알라바스타의 수호신 - 특별함,,A0MO,ACbh,!개개열매,0.0,,0.0,,,
h019,특별함,챠카 알라바스타의 수호신 - 특별함,,A0BA,AHpx,!@#판매,,,,0.0,,0.0
h019,특별함,챠카 알라바스타의 수호신 - 특별함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h019,특별함,챠카 알라바스타의 수호신 - 특별함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h019,특별함,챠카 알라바스타의 수호신 - 특별함,,A02J,AHwe,[조합],,,,0.0,,0.0
h01A,특별함,크로커 다일 전 칠무해 - 특별함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h01A,특별함,크로커 다일 전 칠무해 - 특별함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h01A,특별함,크로커 다일 전 칠무해 - 특별함,,A0CI,AOae,!모래모래 열매,,,,,,600.0
h01A,특별함,크로커 다일 전 칠무해 - 특별함,,A0BA,AHpx,!@#판매,,,,0.0,,0.0
h01A,특별함,크로커 다일 전 칠무해 - 특별함,,A02N,AHwe,[조합],,,,0.0,,0.0
h01B,특별함,킬러 초신성 - 특별함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h01B,특별함,킬러 초신성 - 특별함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
