등급,유닛,스킬파일,발동률,raw,이미확인,비고,판정
초월함,초월_신문철_AP,SkillData_게이트_초월_신문철_AP_355f5d39.asset,1.609,"32,502",아니오,"게이트별 배정(ORIGINAL_UNLISTED_SKILL_EFFECTS.csv, 2026-09-06): 원작 명왕 레일리의 제자(H099)의 게이트 ""(게이트 없음)"" 능력 1개를 이 SkillData 하나로 묶었다.   · Ruffy_AttackDamage#1: 계산",⭕ 정당 — 원작 게이트가 「(게이트 없음)」이다(해시 355f5d39). 고치지 말 것
초월함,초월_강주혁_AP,SkillData_절대쿨_초월_강주혁_AP.asset,1.589,"350,000",아니오,"5절대쿨 계열(ORIGINAL_GATED_SKILLS_14.csv, 우리표커버=미수록) 신규 배정 — 원작 H08V 나미(Nami_Skill_4), 버프 B012 미보유 + 3.5초 절대쿨. Flat 350,000(Enemies range 500, NORMAL→Spel",🔴 확인 필요 — 절대쿨표 경로. ORIGINAL_GATED_SKILLS_14.csv 대조
초월함,초월_김민준_AP,SkillData_게이트_초월_김민준_AP_355f5d39.asset,1.522,"1,500,000",아니오,"게이트별 배정(ORIGINAL_UNLISTED_SKILL_EFFECTS.csv, 2026-09-06): 원작 해군의 홍일점(H05N)의 게이트 ""(게이트 없음)"" 능력 3개를 이 SkillData 하나로 묶었다.   · Tasigi_02#1: 계산식 500000.00 ",⭕ 정당 — 원작 게이트가 「(게이트 없음)」이다(해시 355f5d39). 고치지 말 것
영원한,영원_문필환,SkillData_게이트_영원_문필환_355f5d39.asset,1.492,"4,500,000",아니오,"게이트별 배정(ORIGINAL_UNLISTED_SKILL_EFFECTS.csv, 2026-09-06): 원작 |CFFFFFA78토트 무지카 봉인된 악보의 괴(h088)의 게이트 ""(게이트 없음)"" 능력 1개를 이 SkillData 하나로 묶었다.   · tots_R#1",⭕ 정당 — 원작 게이트가 「(게이트 없음)」이다(해시 355f5d39). 고치지 말 것
제한됨,제한_김민규,SkillData_원작능력_제한_김민규.asset,1.492,"150,006",아니오,"| 1채널 추가 배정(원작 제한됨 샬롯 카타쿠리 장성 밀가루 대신 - 제한됨(h07I)의 능력 2개): 다른 채널이 이미 이 유닛을 차지하고 있어 순위 배정 대신 그 유닛에 그대로 얹었다(우선순위 06번①/게이트·회수/2채널이 1채널보다 먼저, 2026-09-06 PM",🔴 확인 필요 — 게이트 출처 불명
불멸의,불멸_고도현,SkillData_원작능력_불멸_고도현.asset,1.37,"5,349,993",아니오,"원작 불멸의 제트 해군 스승 ""Z"" - 불멸의(Trig_Z_Attack). | 1채널 추가 배정(원작 불멸의 금사자 시키 천신 - 불멸의(h04B)의 능력 2개): 다른 채널이 이미 이 유닛을 차지하고 있어 순위 배정 대신 그 유닛에 그대로 얹었다(우선순위 06번①/게",🔴 확인 필요 — 게이트 출처 불명
제한됨,제한_임준성,SkillData_게이트_제한_임준성_355f5d39.asset,1.333,"12,225,000",아니오,"게이트별 배정(ORIGINAL_UNLISTED_SKILL_EFFECTS.csv, 2026-09-06): 원작 킹 삼재해:화재 - 제한됨(h0AI)의 게이트 ""(게이트 없음)"" 능력 4개를 이 SkillData 하나로 묶었다.   · King_skill_2#1: 계산식 ",⭕ 정당 — 원작 게이트가 「(게이트 없음)」이다(해시 355f5d39). 고치지 말 것
제한됨,제한_강보명,SkillData_원작능력_제한_강보명.asset,1.266,"1,102,500",아니오,"원작 능력표(ORIGINAL_UNIT_ABILITIES.csv) DPS 순위 배정 — 원작 제한됨 패트릭 레드필드 붉은백작 - 제한됨(h05G)의 발동확률·피해배수·추가피해를 그대로 옮겼다. 개별 대응 아님(이름매핑 불가, 순위 배정으로 우회) — 등급 안에서 원작은 ",🔴 확인 필요 — 게이트 출처 불명
영원한,영원_김영원,SkillData_원작능력_영원_김영원.asset,1.22,"500,016",아니오,원작 영원한 알라바스타의 왕녀-ver파이러츠 네펠타리 비비 - 영원한(더미 경로 Trig_ViVi_Attack → e0D3(E영원 비비 절대쿨 더미) → A0LY). ⚠️ 스톡 필드 값 그대로 — 필드 뜻이 미확인이라 피해가 아니라 다른 효과(슬로우·스턴·버프 등)였을,🔴 확인 필요 — 게이트 출처 불명
전설적인,전설적인_최상호,SkillData_게이트_전설적인_최상호_355f5d39.asset,1.177,"3,187,500",아니오,"게이트별 배정(ORIGINAL_UNLISTED_SKILL_EFFECTS.csv, 2026-09-06): 원작 에드워드 뉴게이트 '사황' 흰수염 해적단의 아버(h03B)의 게이트 ""(게이트 없음)"" 능력 2개를 이 SkillData 하나로 묶었다.   · Legend51",⭕ 정당 — 원작 게이트가 「(게이트 없음)」이다(해시 355f5d39). 고치지 말 것
초월함,초월_최상호_AP,SkillData_회수_초월_최상호_AP_355f5d39.asset,1.132,"50,000",아니오,"게이트별 배정(ORIGINAL_UNLISTED_SKILL_EFFECTS.csv, 2026-09-06): 원작 ""어둠의 조커""드레스로자의 악몽(H09E)의 게이트 ""(게이트 없음)"" 능력 1개를 이 SkillData 하나로 묶었다.   · DP_AttackDamage#1",⭕ 정당 — 원작 게이트가 「(게이트 없음)」이다(해시 355f5d39). 고치지 말 것
초월함,초월_최상호_AP,SkillData_게이트_초월_최상호_AP_355f5d39.asset,1.132,"85,001",아니오,"게이트별 배정(ORIGINAL_UNLISTED_SKILL_EFFECTS.csv, 2026-09-06): 원작 ""어둠의 조커""드레스로자의 악몽(H09D)의 게이트 ""(게이트 없음)"" 능력 1개를 이 SkillData 하나로 묶었다.   · DP_AttackDamagega",⭕ 정당 — 원작 게이트가 「(게이트 없음)」이다(해시 355f5d39). 고치지 말 것
영원한,영원_조세민,SkillData_원작능력_영원_조세민.asset,1.075,"500,008",아니오,"원작 능력표(ORIGINAL_UNIT_ABILITIES.csv) DPS 순위 배정 — 원작 영원한 '아마존릴리의 여제'  보아 핸콕 - 영원한(h05C)의 발동확률·피해배수·추가피해를 그대로 옮겼다. 개별 대응 아님(이름매핑 불가, 순위 배정으로 우회) — 등급 안에서",🔴 확인 필요 — 게이트 출처 불명
전설적인,전설적인_홍인창,SkillData_원작능력_전설적인_홍인창.asset,1.053,"15,100,524",1.0이 맞음,원작 전설적인 몽키.D.루피 나이트메어 - 전설적인(Trig_Legend22). | 2차 배정(트리거·더미 채널): 원작 전설적인 몽키.D.루피 나이트메어 - 전설적인(Trig_Legend22). | 2차 배정(트리거·더미 채널): 원작 전설적인 몽키.D.루피 나이트메,⭕ 정당 — 원작 확인 완료(홍인창/김영원 꼴)
초월함,초월_구주호_AD,SkillData_게이트_초월_구주호_AD_355f5d39.asset,1.039,"45,002",아니오,"게이트별 배정(ORIGINAL_UNLISTED_SKILL_EFFECTS.csv, 2026-09-06): 원작 오니히메 인수화(H0BE)의 게이트 ""(게이트 없음)"" 능력 3개를 이 SkillData 하나로 묶었다.   · Yamato_Attack_Damage2#1: 계",⭕ 정당 — 원작 게이트가 「(게이트 없음)」이다(해시 355f5d39). 고치지 말 것
불멸의,불멸_이승우,SkillData_회수_불멸_이승우_355f5d39.asset,0.87,2,아니오,"게이트별 배정(ORIGINAL_UNLISTED_SKILL_EFFECTS.csv, 2026-09-06): 원작 몽키.D.거프 해군영웅 주먹의 거프 - 불멸의(h04C)의 게이트 ""(게이트 없음)"" 능력 2개를 이 SkillData 하나로 묶었다.   · Garp_Atta",⭕ 정당 — 원작 게이트가 「(게이트 없음)」이다(해시 355f5d39). 고치지 말 것
불멸의,불멸_이승우,SkillData_원작능력_불멸_이승우.asset,0.87,"450,005",아니오,"1채널 추가 배정(원작 불멸의 몽키.D.거프 해군영웅 주먹의 거프 - 불멸의(h04C)의 능력 2개): 다른 채널이 이미 이 유닛을 차지하고 있어 순위 배정 대신 그 유닛에 그대로 얹었다(우선순위 06번①/게이트·회수/2채널이 1채널보다 먼저, 2026-09-06 PM",🔴 확인 필요 — 게이트 출처 불명
전설적인,전설적인_정윤식,SkillData_게이트_전설적인_정윤식_355f5d39.asset,0.714,"1,050,000",아니오,"게이트별 배정(ORIGINAL_UNLISTED_SKILL_EFFECTS.csv, 2026-09-06): 원작 겟코 모리아 쉐도우 아스가르드 - 전설적인(h02N)의 게이트 ""(게이트 없음)"" 능력 2개를 이 SkillData 하나로 묶었다.   · Legend34Mor",⭕ 정당 — 원작 게이트가 「(게이트 없음)」이다(해시 355f5d39). 고치지 말 것
불멸의,불멸_박은석,SkillData_원작능력_불멸_박은석.asset,0.444,"50,000",아니오,"1채널 추가 배정(원작 불멸의 제트 해군 스승 ""Z"" - 불멸의(h04G)의 능력 1개): 다른 채널이 이미 이 유닛을 차지하고 있어 순위 배정 대신 그 유닛에 그대로 얹었다(우선순위 06번①/게이트·회수/2채널이 1채널보다 먼저, 2026-09-06 PM 지시). |",🔴 확인 필요 — 게이트 출처 불명
