더미유닛ID,유닛ID,유닛이름,등급,능력,더미_피해값,부모트리거,소환블록_게이트,확신도,출처표기,진입게이트,진입확신도
e0EN,h02M,베이비 5 팔보수군 - 희귀함,희귀함,A0TO,1,Trig_Unique29_Actions,"(Stage[GlobalTV]==0) AND (integerA==5) ‖ (Stage[GlobalTV]==5) ‖‖ [진입] 평타 트리거 Trig_Unique29(h02M 베이비5). stage0에서 integerA=GetRandomInt(1,6), integerA==5면 진입. stage5의 두 번째 소환도 같은 사슬 안이라 게이트는 같다",추정(소환 지점 여럿),Trig_Unique29 → e0EN(U희귀함 베이비 더미) → A0TO,1/6,확정
e0DB,h02O,골.D.에이스 해적왕의 아들 - 전설적인,전설적인,A0BK,"200,000",Trig_Legend18_Actions,"GetRandomInt(1,10)==7 AND GetRandomInt(1,4)==3",확정,Trig_Legend18 → e0DB(!전설 에이스 더미2) → A0BK,"GetRandomInt(1,10)==7 AND GetRandomInt(1,4)==3",확정
e0IP,h02O,골.D.에이스 해적왕의 아들 - 전설적인,전설적인,A0BK,"200,000",Trig_Legend18_Actions,"GetRandomInt(1,10)==7 AND GetRandomInt(1,4)==3",확정,Trig_Legend18 → e0IP(!전설 에이스 더미1) → A0BK,"GetRandomInt(1,10)==7 AND GetRandomInt(1,4)==3",확정
e00E,h030,바솔로뮤 쿠마 폭군 - 전설적인,전설적인,A07K,"200,000",Trig_Legend6_Actions | Trig_kuma_warp_Actions,"(GetRandomInt(1,10)==3) ‖ (무조건) ‖‖ [진입] 소환 지점이 둘(Trig_Legend6 · Trig_kuma_warp)이었으나 유닛ID h030으로 짝을 맞췄다 — HashAttack에 h030으로 등록된 평타 트리거는 Legend6이고 그 소환 조건이 GetRandomInt(1,10)==3. kuma_warp는 h030의 평타 트리거가 아니다",추정(소환 지점 여럿),Trig_Legend6 → e00E(!전설 쿠마 스턴 더미2) → A07K,1/10,확정
e00F,h030,바솔로뮤 쿠마 폭군 - 전설적인,전설적인,A07L,"1,000,000",Trig_Legend6_Actions,(시전자마나==115.00),확정,Trig_Legend6 → e00F(!전설 쿠마 마나스킬 더미) → A07L,(시전자마나==115.00),확정
e0KD,h030,바솔로뮤 쿠마 폭군 - 전설적인,전설적인,A07K,"200,000",Trig_Legend6_Actions,"(GetRandomInt(1,10)==3)",확정,Trig_Legend6 → e0KD(!전설 쿠마 스턴 더미) → A07K,"(GetRandomInt(1,10)==3)",확정
e0KE,h030,바솔로뮤 쿠마 폭군 - 전설적인,전설적인,A07K,"200,000",Trig_Legend6_Actions,(시전자마나==115.00),확정,Trig_Legend6 → e0KE(!전설 쿠마 스턴 더미1) → A07K,(시전자마나==115.00),확정
e00B,h031,후지토라 잇쇼우 '신'해군대장 - 전설적인,전설적인,A07U,"192,500",Trig_Huji01_Actions | Trig_Legend11_Actions,"GetRandomInt(1,7)==6 ‖ Stage[GlobalTV]==2 ‖‖ [진입] 소환 지점 둘 중 h031의 평타 트리거는 Legend11(HashAttack 등록). 조건 GetRandomInt(1,7)==6. Huji01은 H08X(다른 후지토라) 계열이라 짝이 아니다",추정(소환 지점 여럿),Trig_Legend11 → e00B(!전설 후지토라 더미2) → A07U,1/7,확정
e00Z,h031,후지토라 잇쇼우 '신'해군대장 - 전설적인,전설적인,A07U,"192,500",Trig_Legend11_Actions,"GetRandomInt(1,7)==6",확정,Trig_Legend11 → e00Z(!전설 후지토라 더미) → A07U,"GetRandomInt(1,7)==6",확정
e00V,h035,샹크스 사황 '붉은머리' - 전설적인,전설적인,A07T,"125,000",Trig_Legend10_Actions,"GetRandomInt(1,10)==3",확정,Trig_Legend10 → e00V(!전설 샹크스 스턴) → A07T,"GetRandomInt(1,10)==3",확정
e008,h039,시키 금사자 - 전설적인,전설적인,A07E,"145,000",Trig_Legend4_Actions,"GetRandomInt(1,10)==5",확정,Trig_Legend4 → e008(!전설 시키 더미) → A07E,"GetRandomInt(1,10)==5",확정
e00J,h03A,실버즈 레일리 로저해적단 부선장 - 전설적인,전설적인,A07L,"1,000,000",Trig_LaillySkill3_Actions | Trig_Legend7_Actions,"(능력레벨('A0ES',udg_Hero_leily[2])==2) ‖ NOT((능력레벨('A0ES',udg_Hero_leily[2])==2)) ‖ 시전자마나==115.00 ‖‖ [진입] 소환 지점 셋 중 h03A의 평타 트리거는 Legend7(HashAttack 등록). 조건 마나==115. LaillySkill3 둘은 h049(명왕 레일리) 계열이라 짝이 아니다",추정(소환 지점 여럿),Trig_Legend7 → e00J(!전설 레일리 마나스킬 더미3) → A07L,시전자 마나 == 115,확정
e000,h03G,징베 전 칠무해 어인족 수장 - 전설적인,전설적인,A077,"2,000,000",Trig_Legend2_Actions,(시전자마나==145.00),확정,Trig_Legend2 → e000(!전설 징베 마나스킬 더미) → A077,(시전자마나==145.00),확정
e006,h03G,징베 전 칠무해 어인족 수장 - 전설적인,전설적인,A001,"150,000",Trig_Legend2_Actions,"(버프보유(GetAttacker(),'B00B')==false)",확정,Trig_Legend2 → e006(!전설 징베 더미) → A001,"(버프보유(GetAttacker(),'B00B')==false)",확정
e003,h049,실버즈 레일리 명왕 - 불멸의,불멸의,A002,"300,000",Trig_LaillySkill2_Actions | Trig_LaillySkill_Actions,"GetRandomInt(1,20)==3",확정,Trig_LaillySkill → e003(#불멸 레일리웨이브4) → A002,"GetRandomInt(1,20)==3",확정
e026,h04B,금사자 시키 천신 - 불멸의,불멸의,A08O,"400,000",Trig_Shiki_Attack_Actions,"GetRandomInt(1,10)==3",확정,Trig_Shiki_Attack → e026(#불멸 시키 더미) → A08O,"GetRandomInt(1,10)==3",확정
e02L,h04D,몽키.D.드래곤 혁명군의 수장 - 불멸의,불멸의,A08V,"250,000",Trig_Dragon_Attack_Actions,"GetRandomInt(1,10)==6",확정,Trig_Dragon_Attack → e02L(#불멸 드래곤스턴2) → A08V,"GetRandomInt(1,10)==6",확정
e02B,h04E,"센고쿠 해군원수 ""부처님"" - 불멸의",불멸의,A0PL,"427,500",Trig_Sengoku_Attack_Actions,"GetRandomInt(1,10)==6",확정,Trig_Sengoku_Attack → e02B(#불멸 센고쿠 여래신장 더스트) → A0PL,"GetRandomInt(1,10)==6",확정
e055,h04F,스코퍼 가반 로져 해적단의 검호 - 불멸의,불멸의,A05G,"750,000",Trig_Gaban_Attack_Actions,"GetRandomInt(1,22)==6",확정,Trig_Gaban_Attack → e055(#불멸 가반 공증 더미) → A05G,"GetRandomInt(1,22)==6",확정
e0AB,h059,'화권의' 포트거스.D.에이스 - 영원한,영원한,A0BL,"1,150,000",Trig_Ace_Attack_Actions,"버프보유(GetAttacker(),'B017')==false",확정,Trig_Ace_Attack → e0AB(E영원 에이스 특대화권 더미1) → A0BL,"버프보유(GetAttacker(),'B017')==false",확정
e0AI,h059,'화권의' 포트거스.D.에이스 - 영원한,영원한,A0OH,"120,000",Trig_Ace_Attack_Actions,"버프보유(GetAttacker(),'B017')==false",확정,Trig_Ace_Attack → e0AI(E영원 에이스 특대화권 더미2) → A0OH,"버프보유(GetAttacker(),'B017')==false",확정
e08G,h05B,해적왕자-롬멜의 카마이타치 카벤딧슈 - 영원한,영원한,A0X3,"50,000",Trig_Cavendish_Attack_Actions,"GetRandomInt(1,10)==6",확정,Trig_Cavendish_Attack → e08G(E영원 캐번디시 1스킬 더미1) → A0X3,"GetRandomInt(1,10)==6",확정
e08G,h05B,해적왕자-롬멜의 카마이타치 카벤딧슈 - 영원한,영원한,A0B3,"50,000",Trig_Cavendish_Attack_Actions,"GetRandomInt(1,10)==6",확정,Trig_Cavendish_Attack → e08G(E영원 캐번디시 1스킬 더미1) → A0B3,"GetRandomInt(1,10)==6",확정
e07R,h05G,패트릭 레드필드 붉은백작 - 제한됨,제한됨,A0PV,"700,000",Trig_RedAttack_Actions,"GetRandomInt(1,20)==7",확정,Trig_RedAttack → e07R(%제한됨 패트릭 흡혈 2) → A0PV,"GetRandomInt(1,20)==7",확정
e0R1,h067,세계의 가희 우타 - 영원한,영원한,A16W,"450,000",Trig_Uta_Attack_Actions,"시전자체력>10.00 AND GetRandomInt(1,9)==2",확정,Trig_Uta_Attack → e0R1(E영원 우타 오선보1) → A16W,"시전자체력>10.00 AND GetRandomInt(1,9)==2",확정
e0CQ,h06U,k' - 랜덤전용,랜덤전용,A0LJ,"5,000",Trig_k1_Actions,"(능력레벨('A0KT',GetAttacker())==2 AND GetRandomInt(1,33)==5)",확정,Trig_k1 → e0CQ(R랜유 k 더미 4 미닛츠 이펙트) → A0LJ,"(능력레벨('A0KT',GetAttacker())==2 AND GetRandomInt(1,33)==5)",확정
e0CT,h06U,k' - 랜덤전용,랜덤전용,A0LJ,"5,000",Trig_k1_Actions,"(능력레벨('A0KT',GetAttacker())==2 AND GetRandomInt(1,33)==5)",확정,Trig_k1 → e0CT(R랜유 k 더미 3 미닛츠 더미) → A0LJ,"(능력레벨('A0KT',GetAttacker())==2 AND GetRandomInt(1,33)==5)",확정
e0CJ,h06V,나루토 선인모드 - 랜덤전용,랜덤전용,A0LG,"180,000",Trig_Naruto1_Actions,"(GetRandomInt(1,20)==5)",확정,Trig_Naruto1 → e0CJ(R랜유 풍둔 나선 수리검 더미) → A0LG,"(GetRandomInt(1,20)==5)",확정
e0CL,h06V,나루토 선인모드 - 랜덤전용,랜덤전용,A0LF,"450,000",Trig_Naruto1_Actions,"(능력레벨('A0L1',GetAttacker())==1 AND GetRandomInt(1,20)==5)",확정,Trig_Naruto1 → e0CL(R랜유 대옥나선환 더미) → A0LF,"(능력레벨('A0L1',GetAttacker())==1 AND GetRandomInt(1,20)==5)",확정
e0O7,h071,쿠로사키 이치고 - 랜덤전용,랜덤전용,A093,"450,000",Trig_ichigo1_Actions,"GetUnitUserData(GetAttacker())==1 AND GetRandomInt(1,5)==3",확정,Trig_ichigo1 → e0O7(!이치고 월아) → A093,"GetUnitUserData(GetAttacker())==1 AND GetRandomInt(1,5)==3",확정
e0CF,h072,하네카와 츠바사 - 랜덤전용,랜덤전용,A0LD,"150,000",Trig_cat1_Actions,"(GetRandomInt(1,10)==5) AND (능력레벨('A0L8',GetAttacker())==1)",확정,Trig_cat1 → e0CF(R랜유 츠바사 더미1) → A0LD,"(GetRandomInt(1,10)==5) AND (능력레벨('A0L8',GetAttacker())==1)",확정
e0CG,h072,하네카와 츠바사 - 랜덤전용,랜덤전용,A0LE,"350,000",Trig_cat1_Actions,"(GetRandomInt(1,10)==5) AND NOT((능력레벨('A0L8',GetAttacker())==1))",확정,Trig_cat1 → e0CG(R랜유 츠바사 더미2) → A0LE,"(GetRandomInt(1,10)==5) AND NOT((능력레벨('A0L8',GetAttacker())==1))",확정
e0H5,h07M,카이도 사황'백수의 왕' - 불멸의,불멸의,A0SZ,"70,000",Trig_Kaido_Attack_Actions | Trig_Kaido_Skill_1_8_Actions,"(Stage[GlobalTV]==4) ‖ Stage[GlobalTV]<=4 AND ModuloInteger(Stage[GlobalTV],2)==0 ‖‖ [진입] h07M의 평타 트리거는 Kaido_Attack(HashAttack 등록)으로 확정. 다만 stage0→4 분기는 확인하지 못했다 [미확인]",추정(소환 지점 여럿),Trig_Kaido_Attack → e0H5(#불멸 카이도우 [공통] 번개) → A0SZ,평타 1회 → Kaido_Attack stage4,추정
e0DG,h00A,CP9 후쿠로 - 안흔함,흔함,A0A2,150,Trig_common1_Actions | Trig_common2_Actions,"GetRandomInt(1,10)==4",확정,Trig_common1 → e0DG(안흔함 더미1) → A0A2,"GetRandomInt(1,10)==4",확정
e0DG,h00M,CP9 블루노 - 안흔함,흔함,A0A2,150,Trig_common1_Actions | Trig_common2_Actions,"GetRandomInt(1,10)==4",확정,Trig_common2 → e0DG(안흔함 더미1) → A0A2,"GetRandomInt(1,10)==4",확정
e05G,h00R,로브 루치 CP9 도력 4000 - 특별함,특별함,A0A1,600,Trig_Speical7_Actions,"GetRandomInt(1,10)==4",확정,Trig_Speical7 → e05G(S특별함 루치 더미) → A0A1,"GetRandomInt(1,10)==4",확정
e0BR,h01X,몽키.D.루피 기어서드 초신성 - 희귀함,희귀함,A0PC,"10,000",Trig_Unique32_Actions,"(Stage[GlobalTV]==1) ‖ (Stage[GlobalTV]==2) ‖‖ [진입] 평타 트리거 Trig_Unique32(h01X 루피 기어서드). stage0에서 GetRandomInt(1,7)==5면 SleepForStageAdd(+2)로 stage2 → 소환. stage1에서도 소환하는데 그 경로는 별도 사슬이라 미확인 — 보수적으로 1/7로 본다",추정(소환 지점 여럿),Trig_Unique32 → e0BR(U희귀함 루피 더미 3) → A0PC,1/7,추정
