출처표,유닛ID,유닛이름,스킬트리거,RRD순번,옛계산식,옛basis,옛multiplier,옛bonus,rand_min,rand_max,rand_mean,판정,비고
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,H09F,수라의 검사,Zoro_saza1,2,(903750.00+(s__TrigVariables__get_realD(GlobalTV)*10.00)),[축밖],,,1,1.5,1.25,축밖,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,H09G,정열의 요리사,Sandi_skill_1,2,450000.00,Flat,,450000,1,2,1.5,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,H09I,소울 킹,Brook_Skill_1,1,350000.00,Flat,,350000,1,1.5,1.25,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,H09I,소울 킹,Brook_Skill_1,2,350000.00,Flat,,350000,1,1.5,1.25,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,H0B2,다섯번째 황제,Snake_2,1,(350000.00*(1+(0.01*(GetUnitMoveSpeed(GetEnumUnit())*0.40)))),[축밖],,,1,1.5,1.25,축밖,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,H0B2,다섯번째 황제,Snake_2,2,350000.00,Flat,,350000,1,1.5,1.25,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,H0B2,다섯번째 황제,Snake_3_Kingkobra,1,(3500000.00*(1+(0.01*(GetUnitMoveSpeed(GetEnumUnit())*0.10)))),[축밖],,,1,1.5,1.25,축밖,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,H0B2,다섯번째 황제,Snake_3_Kingkobra,2,1875000.00,Flat,,1875000,1,1.5,1.25,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,H0B5,해군대장-보르살리노,Kizaru_01,1,s__TrigVariables__get_realD(GlobalTV),[축밖],,,3.25,3.25,3.25,축밖,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,H0B5,해군대장-보르살리노,Kizaru_01_shoot,1,200000.00,Flat,,200000,1,1.5,1.25,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,H0BD,오니히메,Yamato_Dash,2,((udg_Yamato_Damage[GetConvertedPlayerId(GetOwningPlayer(s__TrigVariables__get_unitA(GlobalTV)))]*1.15)+215000,ReceivedDamage(2026-09-06 확정),1.15,215000,1.25,1.25,1.25,확정,축밖→확정 전환. udg_Yamato_Damage=GetEventDamage() 누적변수. 고정 1.25배
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,H0BL,'신'해군대장-초록소,Rokugu_Tree_S,1,(2000000.00+(s__TrigVariables__get_realC(GlobalTV)+s__TrigVariables__get_realD(GlobalTV))),[축밖],,,1,1.5,1.25,축밖,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,H0BL,'신'해군대장-초록소,Rokugu_Tree_S,2,(2000000.00+(s__TrigVariables__get_realC(GlobalTV)+s__TrigVariables__get_realD(GlobalTV))),[축밖],,,1,1.5,1.25,축밖,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,H0BL,'신'해군대장-초록소,Rokugu_skill_1,1,700000.00,Flat,,700000,1,1.5,1.25,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,H0BT,염왕,Zoro_enfor_3dragon,2,532500.00,Flat,,532500,1,1.5,1.25,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,H0BT,염왕,Zoro_enfor_flying_draong,1,(672500.00+s__TrigVariables__get_realD(GlobalTV)),[축밖],,,1,1.5,1.25,축밖,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,H0BT,염왕,Zoro_enfor_flying_draong,2,(903750.00+(s__TrigVariables__get_realD(GlobalTV)*10.00)),[축밖],,,1,1.5,1.25,축밖,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h08I,쿠치키 뱌쿠야 - 랜덤전용[제한됨],Byakuya_R,1,5000000.00,Flat,,5000000,1,1.5,1.25,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h08I,쿠치키 뱌쿠야 - 랜덤전용[제한됨],byakuya_Q,1,850000.00,Flat,,850000,1,1.5,1.25,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h09L,이치의 율자 - 랜덤전용,Bronya_Skill_1,1,200000.00,Flat,,200000,1,2,1.5,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h09L,이치의 율자 - 랜덤전용,Bronya_Skill_1,2,300000.00,Flat,,300000,1,2,1.5,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h09N,부릉냐 - 랜덤전용[제한됨],BronyaMotar_E,1,(625000.00*(1+((0.01*0.50)*s__TrigVariables__get_realM(GlobalTV)))),[축밖],,,1,1.5,1.25,축밖,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h09N,부릉냐 - 랜덤전용[제한됨],BronyaMotar_laser,1,(250000.00*(1+((0.01*0.50)*s__TrigVariables__get_realM(GlobalTV)))),[축밖],,,1,1.5,1.25,축밖,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h09N,부릉냐 - 랜덤전용[제한됨],BronyaMotar_laser,2,(225000.00*(1+((0.01*0.50)*s__TrigVariables__get_realM(GlobalTV)))),[축밖],,,1,1.5,1.25,축밖,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h09N,부릉냐 - 랜덤전용[제한됨],BronyaMotar_laser,3,(250000.00*(1+((0.01*0.50)*s__TrigVariables__get_realM(GlobalTV)))),[축밖],,,1,1.5,1.25,축밖,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h09N,부릉냐 - 랜덤전용[제한됨],BronyaMotar_laser,5,(225000.00*(1+((0.01*0.50)*s__TrigVariables__get_realM(GlobalTV)))),[축밖],,,1,1.5,1.25,축밖,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h09R,쿠죠 죠타로 - 랜덤전용[제한됨],Jotaro_R,1,2500000.00,Flat,,2500000,1,1.5,1.25,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h09R,쿠죠 죠타로 - 랜덤전용[제한됨],Jotaro_R,2,"(4250000.00+((GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetEnumUnit())-GetUnitStateSwap(UNIT_STATE_LIFE,GetEnumUnit",[축밖],,,1,1.5,1.25,축밖,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h09W,나미카제 미나토 - 랜덤전용[제한됨],Minato_E,2,"(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__TrigVariables__get_unitB(GlobalTV))*0.01)",대상최대체력,0.01,0,1.5,1.5,1.5,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h0A2,료우기 시키 - 랜덤전용[제한됨],Ryougi_Shiki_2,4,8150000.00,Flat,,8150000,1,1.5,1.25,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h0A2,료우기 시키 - 랜덤전용[제한됨],Ryougi_Shiki_2,5,1440000.00,Flat,,1440000,1,1.44,1.22,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h0A2,료우기 시키 - 랜덤전용[제한됨],Ryougi_Shiki_R2,3,"(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__TrigVariables__get_unitB(GlobalTV))*0.03)",대상최대체력,0.03,0,1.5,1.5,1.5,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h0A2,료우기 시키 - 랜덤전용[제한됨],Ryougi_Shiki_R2,4,1440000.00,Flat,,1440000,1,1.44,1.22,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h0A2,료우기 시키 - 랜덤전용[제한됨],Ryougi_Skill_3,1,1440000.00,Flat,,1440000,1,1.44,1.22,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h0A2,료우기 시키 - 랜덤전용[제한됨],Ryougi_Skill_3,2,4000000.00,Flat,,4000000,1,1.5,1.25,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h0A2,료우기 시키 - 랜덤전용[제한됨],Ryougi_Skill_3,4,"(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__TrigVariables__get_unitB(GlobalTV))*0.01)",대상최대체력,0.01,0,1.5,1.5,1.5,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h0A2,료우기 시키 - 랜덤전용[제한됨],Ryougi_Skill_3_double,1,1440000.00,Flat,,1440000,1,1.44,1.22,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h0A2,료우기 시키 - 랜덤전용[제한됨],Ryougi_Skill_3_double,2,4000000.00,Flat,,4000000,1,1.5,1.25,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h0A2,료우기 시키 - 랜덤전용[제한됨],Ryougi_Skill_3_double,4,"(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__TrigVariables__get_unitB(GlobalTV))*0.01)",대상최대체력,0.01,0,1.5,1.5,1.5,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h0A2,료우기 시키 - 랜덤전용[제한됨],Ryougi_Skill_3_triple,1,1440000.00,Flat,,1440000,1,1.44,1.22,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h0A2,료우기 시키 - 랜덤전용[제한됨],Ryougi_Skill_3_triple,2,3200000.00,Flat,,3200000,1,1.5,1.25,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h0A2,료우기 시키 - 랜덤전용[제한됨],Ryougi_Skill_3_triple,4,"(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__TrigVariables__get_unitB(GlobalTV))*0.01)",대상최대체력,0.01,0,0.12,0.12,0.12,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h0BF,키쿄우 - 랜덤전용[제한됨],kikoyou_skill_1,1,350000.00,Flat,,350000,1,1.5,1.25,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h04A,에드워드 뉴게이트 한시대를 주름잡던 대해적 - ,Ed_Skill_1_Item,1,"((1750000.00+(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetEnumUnit())*0.03))*(1+((0.025)*I2R(GetPlayerTechCountSim",대상최대체력×계수,0.03,1750000,1.15,1.15,1.15,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h04B,금사자 시키 천신 - 불멸의,Shiki_Lion,1,3250000.00,Flat,,3250000,1,1.5,1.25,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h04F,스코퍼 가반 로져 해적단의 검호 - 불멸의,Gaban_Skill_1,1,8750000.00,Flat,,8750000,1,1.5,1.25,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h04J,골.D.로져 해적왕 - 불멸의,roger_Mana,1,7250000.00,Flat,,7250000,0.8,1.5,1.15,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h07M,카이도 사황'백수의 왕' - 불멸의,Kaido_Dragon_buster,2,s__TrigVariables__get_realD(GlobalTV),[축밖],,,2.58,2.58,2.58,축밖,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h05F,크로커다일 사막의 악어 - 제한됨,cro_skill_2,1,1000000.00,Flat,,1000000,1,1.5,1.25,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h08O,마르코 흰수염 유산의 수호자 - 제한됨,Marco_S1,2,150000.00,Flat,,150000,1,1.5,1.25,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h08O,마르코 흰수염 유산의 수호자 - 제한됨,Marco_S2,3,112500.00,Flat,,112500,1,1.5,1.25,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h02S,롤로노아 조로 죽음의경지'사자의노래' - 전설적,Legend13_2,2,750000.00,Flat,,750000,1,1.5,1.25,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h02S,롤로노아 조로 죽음의경지'사자의노래' - 전설적,Legend13_2,4,1500000.00,Flat,,1500000,1,1.5,1.25,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h032,보아 핸콕 쿠사 해적단 선장 - 전설적인,Legend_han_1,1,150000.00,Flat,,150000,1,1.5,1.25,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h032,보아 핸콕 쿠사 해적단 선장 - 전설적인,Legend_han_1,3,112500.00,Flat,,112500,1,1.5,1.25,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,H0BK,|CFFFFFA78태양의신-니카,Nika_AttackDamage,1,((GetEventDamage()*5.00)+1000000.00),ReceivedDamage,5,1000000,1,1.5,1.25,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,H0BK,|CFFFFFA78태양의신-니카,Nika_Random_Punch,1,(450000.00*(1+(0.01*(GetUnitMoveSpeed(GetEnumUnit())*0.30)))),[축밖],,,1,1.5,1.25,축밖,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,H0BK,|CFFFFFA78태양의신-니카,Nika_Random_Punch,2,(450000.00*(1+(0.01*(GetUnitMoveSpeed(s__TrigVariables__get_unitB(GlobalTV))*0.30)))),[축밖],,,1,1.5,1.25,축밖,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h059,|CFFFFFA78'화권의' 포트거스.D.에이스,ace_skill_3,1,1000000.00,Flat,,1000000,1,1.5,1.25,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h059,|CFFFFFA78'화권의' 포트거스.D.에이스,ace_skill_5,1,s__TrigVariables__get_realD(GlobalTV),대상최대체력,0.02,4500000,1,2,1.5,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h05C,|CFFFFFA78'아마존릴리의 여제'  보아 ,arrow_h2,1,250000.00,Flat,,250000,1,1.5,1.25,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h05C,|CFFFFFA78'아마존릴리의 여제'  보아 ,hancock_skill_10,1,1000000.00,Flat,,1000000,1,1.5,1.25,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h05C,|CFFFFFA78'아마존릴리의 여제'  보아 ,hancock_skill_9,1,850000.00,Flat,,850000,1,1.5,1.25,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h067,|CFFFFFA78세계의 가희 우타 - |CFF,Uta_skill_3_mana,1,2500000.00,Flat,,2500000,1,1.5,1.25,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,h03R,[히든조합]반 더 데켄어인섬 절반면적의 노아를 ,deken_Mana,1,"(2200000.00+(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetEnumUnit())*0.02))",대상최대체력,0.02,2200000,1.25,1.25,1.25,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
