유닛ID,유닛이름,원작등급,미수록스킬수,Flat합계,게이트요약,스킬목록
H098,오하라의 마지막 생존자,초월함,2,"1,000,000",게이지2,"Robine_skill_2,Robine_skill_3"
H099,명왕 레일리의 제자,초월함,2,"3,532,500+%MaxHp%",없음1 / 게이지1,"Ruffy_AttackDamage,Ruffy_Mana"
H09B,G.O.D,초월함,2,"2,925,000+%CurHp%,MaxHp%",게이지1 / 확률1,"Usop_Skill_Mana,Usop_Skill_2"
H09G,정열의 요리사,초월함,2,"5,855,000+%CurHp%",게이지1 / 확률1,"Sandi_skill_Mana2,Sandi_skill_1"
H09H,뉴카마섬의 생존자,초월함,2,"5,855,000+%CurHp%",게이지1 / 없음1,"Sandi_skill_Mana2,Sandi_skill_1"
H0B2,다섯번째 황제,초월함,2,"6,075,000",게이지1 / 확률1,"Snake_3_Kingkobra,Snake_2"
H0B4,유스타스'캡틴',초월함,2,"1,050,000+buf",게이지2,"Kid_Skill_3_item,Kid_Skill_3"
H0BE,오니히메 인수화,초월함,2,"850,000",없음2,"Yamato_Attack_Damage2,Yamato_Dash"
H0BL,'신'해군대장-초록소,초월함,2,"4,700,000+buf",없음1 / 확률1,"Rokugu_Tree_S,Rokugu_skill_1"
H08U,'포세이돈' 인어공주,초월함,1,0,절대쿨1,Sirahoshi_skill_3
H08V,웨더리아의 항해사,초월함,1,"1,600,000",확률1,Nami_Skill_2
H092,혁명군 참모총장,초월함,1,"3,750,000+%CurHp%",게이지1,Sabo_Mana
H096,로키포트 사건의 주모자,초월함,1,"300,000+%CurHp%",확률1,Law_skill_5
H09I,소울 킹,초월함,1,"700,000",확률1,Brook_Skill_1
H0BD,오니히메,초월함,1,"430,000",확률1,Yamato_Dash
H0BO,금증숲숲-초록소,초월함,1,"700,000",확률1,Rokugu_skill_1
h04A,에드워드 뉴게이트 한시대를 주름잡던 대해적 - ,불멸의,3,"7,000,000+%MaxHp%",게이지3,"Ed_Skill_1_Item,Ed_Skill_1,Ed_Skill_2sc"
h04B,금사자 시키 천신 - 불멸의,불멸의,3,"3,900,000",확률2 / 게이지1,"Shiki_Lion,Shiki_champa2,Shiki_SKill_item"
h0AD,카이도 사황'백수의 왕' - 불멸의,불멸의,3,0+buf,게이지3,"Kaido_Dragon_buster,Kaido_Dragon_Skill_2,Kaido_Dragon_melee_1"
h04F,스코퍼 가반 로져 해적단의 검호 - 불멸의,불멸의,2,"8,750,000+%MaxHp%",게이지1 / 확률1,"Gaban_Skill_mana,Gaban_Skill_1"
h04G,"제트 해군 스승 ""Z"" - 불멸의",불멸의,2,"5,850,000+%MaxHp%",게이지1 / 확률1,"Z_Skill_Mana,Z_skill_3"
h04J,골.D.로져 해적왕 - 불멸의,불멸의,2,"8,700,000",게이지1 / 확률1,"roger_Mana,roger_Skill_2"
h049,실버즈 레일리 명왕 - 불멸의,불멸의,1,0,없음1,LaillySkill1
h04C,몽키.D.거프 해군영웅 주먹의 거프 - 불멸의,불멸의,1,"867,500+%CurHp%+buf",없음1,Garp_AttackDamage
h04E,"센고쿠 해군원수 ""부처님"" - 불멸의",불멸의,1,"300,000",게이지1,Sengoku_Skill_Item
h04Q,빅 맘 강철 풍선 - 불멸의,불멸의,1,"6,250,000",없음1,Bigmam_Eat
h07M,카이도 사황'백수의 왕' - 불멸의,불멸의,1,0+buf,없음1,Kaido_Dragon_buster
h084,시노부 뇌쇄 쿠노이치 - 제한됨,제한됨,3,"2,650,000+%MaxHp%",게이지3,"Sinobu_Skill_hp2,Sinobu_Skill_4,Sinobu_Skill_3"
h0AI,킹 삼재해:화재 - 제한됨,제한됨,3,"12,225,000",없음2 / 확률1,"King_skill_1sc,King_skill_2,King_skill_2_tr"
h040,아인 네오 해군 장교 - 제한됨,제한됨,2,"10,110,000",확률2,"Ain_Skill_1,Ain_Skill_2"
h05E,에넬 G.O.D - 제한됨,제한됨,2,"195,000",게이지1 / 확률1,"Enel_Mana,Enel_skill_2"
h05I,레베카 콜로세움 전설의  후예 - 제한됨,제한됨,2,"3,642,500",확률2,"Rebeca_Skill_1,Rebeca_Skill_3"
h07I,샬롯 카타쿠리 장성 밀가루 대신 - 제한됨,제한됨,2,"475,000",확률2,"katakuri_Skill_2,Kata_03"
h08O,마르코 흰수염 유산의 수호자 - 제한됨,제한됨,2,"1,012,500+%CurHp%",확률2,"Marco_S2,Marco_S1"
h09Q,불사조 흰수염 유산의 수호자 - 제한됨,제한됨,2,"1,250,000+buf",확률2,"Marco_Feather1,Marco_Feather2"
h05F,크로커다일 사막의 악어 - 제한됨,제한됨,1,"1,000,000",확률1,cro_skill_2
h05G,패트릭 레드필드 붉은백작 - 제한됨,제한됨,1,"700,000+%MaxHp%",확률1,Red_skill_1
h086,시노부 뇌쇄 쿠노이치 - 제한됨-소환됨,제한됨,1,0,확률1,Sinobu_Skill_3
h05V,포트거스.D.에이스 스페이드 해적단 선장 - 변,변화된,2,"2,200,000",게이지1 / 확률1,"Transpom_AceMana,Transpom_Ace_bulRemake"
h05S,돈키호테 도플라밍고 하늘귀신 - 변화된,변화된,1,"200,000+%CurHp%",확률1,Transpom_dp
h077,간부 파견 해군 - 변화된,변화된,1,0,없음1,Bugi_SommonDamage2
h07J,캐럿 스론 달의 사자 - 변화된,변화된,1,"325,000",확률1,carrot_skill_2
h0A2,료우기 시키 - 랜덤전용[제한됨],랜덤전용,5,"32,700,000+%MaxHp%",확률4 / 게이지1,"Ryougi_Shiki_R2,Ryougi_Skill_3,Ryougi_Shiki_2,Ryougi_Skill_3_double,Ryougi_Skill_3_triple"
h09R,쿠죠 죠타로 - 랜덤전용[제한됨],랜덤전용,4,"6,750,000+%MaxHp%",게이지4,"Jotaro_R,Jotaro_E,Jotaro_W,Jotaro_D2"
h0BF,키쿄우 - 랜덤전용[제한됨],랜덤전용,4,"5,225,000+%CurHp%",게이지4,"kikoyou_hp,kikoyou_mana,kikoyou_skill_2,kikoyou_skill_1"
h08I,쿠치키 뱌쿠야 - 랜덤전용[제한됨],랜덤전용,3,"6,775,000+%MaxHp%",없음2 / 확률1,"Byakuya_R,byakuya_Q,byakuya_Chan"
h09N,부릉냐 - 랜덤전용[제한됨],랜덤전용,3,"8,200,000+%MaxHp%",확률2 / 게이지1,"BronyaMotar_R,BronyaMotar_laser,BronyaMotar_E"
h09W,나미카제 미나토 - 랜덤전용[제한됨],랜덤전용,3,"1,375,000+%MaxHp%",확률2 / 게이지1,"Minato_Q2,Minato_E,Minato_Mana"
h0A6,야쿠모 유카리 - 랜덤전용[제한됨],랜덤전용,3,"8,500,000",확률2 / 게이지1,"Yukari_D2,Yukari_R2,Yukari_W"
h0AC,마운틴.D.히그마 - 랜덤전용[제한됨],랜덤전용,2,"375,000",게이지2,"Higma_Q,Higma_W"
h0BC,타츠마키 - 랜덤전용[제한됨],랜덤전용,2,"4,000,000",게이지2,"Tatsumaki_T_Explosion_by_AZ_Attack,Tatsumaki_Q2_Attack"
h071,쿠로사키 이치고 - 랜덤전용,랜덤전용,1,0,확률1,ichigo2
h09K,옌 - 랜덤전용,랜덤전용,1,"400,000",확률1,En_nomal
h09L,이치의 율자 - 랜덤전용,랜덤전용,1,"500,000",확률1,Bronya_Skill_1
h032,보아 핸콕 쿠사 해적단 선장 - 전설적인,전설적인,3,"262,500+%MaxHp%",없음2 / 확률1,"Legend_han_kiss_damagesc2,Legend_han_1,Legend_han_kiss"
h02T,마르코 환수종'불사조' - 전설적인,전설적인,2,"912,500+buf",없음2,"Legend17_Marcodamage,Legend17_MacroLifeSkill"
h033,빈스모크 레이쥬 포이즌 핑크 - 전설적인,전설적인,2,"100,000+%CurHp%",확률2,"Legend19_0,Legend19_1"
h02N,겟코 모리아 쉐도우 아스가르드 - 전설적인,전설적인,1,"1,050,000",없음1,Legend34Moria_Skill
h02S,롤로노아 조로 죽음의경지'사자의노래' - 전설적,전설적인,1,"2,370,000+%MaxHp%",확률1,Legend13_2
h02U,"마샬.D.티치 검은수염 해적단 선장 ""검은수염""",전설적인,1,"4,600,000",게이지1,Legend26_tichi_crows
h03B,에드워드 뉴게이트 '사황' 흰수염 해적단의 아버,전설적인,1,"2,500,000+%MaxHp%",없음1,Legend51
h03S,울티 토비롯포 - 전설적인,전설적인,1,"115,000",게이지1,Legend35ulti_trg
h087,아마츠키 토키 시간 여행자 - 전설적인,전설적인,1,"500,000",확률1,Legend31_toki
h09Z,네코마무시 밤의 왕 - 전설적인,전설적인,1,"2,500,000+%MaxHp%",게이지1,Legend32_neko1
h0AH,킹 백수해적단-대간판 - 전설적인,전설적인,1,0,확률1,King_skill_1sc
h021,마샬.D.티치 흰수염해적단의 배신자 - 희귀함,희귀함,1,"30,000",확률1,Tich1_danil
h057,|CFFFFFA78알라바스타의 왕녀-ver파이러,(표기없음),4,"2,000,000+%MaxHp%",게이지3 / 확률1,"vivi_Skill_4_Mana,vivi_Skill_3_Triple,vivi_Skill_Double,vivi_skill_2"
H0B1,전 해군대장 아오키지 ,(표기없음),3,0,확률3,"Aokigi_skill_3,Aokigi_skill_4,Aokigi_skill_2"
h058,|CFFFFFA78세계 최강의 대검호 쥬라클 미,(표기없음),3,0,게이지2 / 확률1,"MIhawk_Mana,Mihawk_2,Mihawk_4"
h05C,|CFFFFFA78'아마존릴리의 여제'  보아 ,(표기없음),3,"2,100,000",게이지2 / 확률1,"arrow_h2,hancock_skill_9,hancock_skill_10"
H0BK,|CFFFFFA78태양의신-니카,(표기없음),2,"2,800,000",게이지2,"Nika_AttackDamage,Nika_Random_Punch"
h03J,[히든조합]시류비의 시류,(표기없음),2,"1,580,000",게이지1 / 확률1,"siru_R,siru_1"
h03R,[히든조합]반 더 데켄어인섬 절반면적의 노아를 ,(표기없음),2,"2,320,000+%MaxHp%",게이지1 / 확률1,"deken_Mana,deken_skill_1"
h03V,[히든조합]코알라혁명군-어인공수도대리사범,(표기없음),2,"3,072,500",게이지2,"koalla_skill_Mana,koalla_skill_1"
h048,[히든조합]페로나고스트 프린세스,(표기없음),2,"2,650,000",게이지1 / 확률1,"perona_Mana,Hidden14_perona_use2"
h059,|CFFFFFA78'화권의' 포트거스.D.에이스,(표기없음),2,"1,000,000+buf",게이지1 / 확률1,"ace_skill_5,ace_skill_3"
h067,|CFFFFFA78세계의 가희 우타 - |CFF,(표기없음),2,"3,450,000+%CurHp%",확률1 / 게이지1,"Uta_ArmyS,Uta_skill_3_mana"
h08R,|CFFFFFA78참된 호걸 코즈키 오뎅 - |,(표기없음),2,"5,150,000",게이지1 / 확률1,"Odeng_Skill_mana,Odeng_Skill"
h03Z,[히든조합]아카이누흰수염을죽인 붉은개,(표기없음),1,"1,300,000+%MaxHp%",없음1,Akainu_02_hidden
h05B,|CFFFFFA78해적왕자-롬멜의 카마이타치 카,(표기없음),1,"5,490,000",게이지1,Cavendish_skill_Mana
h088,|CFFFFFA78토트 무지카 봉인된 악보의 괴,(표기없음),1,"4,500,000",없음1,tots_R
