name,grade,type,tier,childId,gradeTrackId,raw
c0브룩 소울 킹 - 초월함,초월,패기,4000,R01T,R003,"R01T,R003"
c0샹크스 마린포드 정상해전 종결자 - 초월함,초월,일반,3000,R01M,R003,"R01M,R003"
c0쿠잔 전 해군대장 아오키지  - 초월함,초월,관통,3000,R01Q,R017,"R01Q,R017,R003"
c0우솝 10톤해머 G.O.D - 초월함,초월,관통,3000,R01Q,R017,"R01Q,R017,R003"
c0우솝 G.O.D - 초월함,초월,공성,3000,R01N,R020,"R01N,R020"
82광분한 빅 맘 강철 풍선 - 불멸의,불멸,일반,3000,R01M,R003,"R01M,R003"
c0쵸파 밀짚모자 해적단 의사 - 초월함,초월,일반,3000,R01M,R003,"R01M,R003"
"c0시라호시 ""포세이돈"" 해왕류를 다스리는 인어공주 - 초월함",초월,공성,3000,R01N,R003,"R01N,R003"
c0아카이누 신 해군원수  - 초월함,초월,일반,3000,R01M,,R01M
c0쵸파 슈퍼 쵸파 탱크 - 초월함,초월,공성,3000,R01N,R003,"R01N,R003"
c0프랑키 무적의 아이언 파이러츠 - 초월함,초월,관통,3000,R01Q,R003,"R01Q,R003"
3cmm 랜덤전용,랜덤전용,일반,1500,R01K,R001,"R01K,R001"
c0노획물품,,관통,3000,R01Q,R013,"R01Q,R013"
78알라바스타의 왕녀-ver파이러츠 네펠타리 비비 - |CFFC15AF4영원한,영원,관통,3000,R01Q,R007,"R01Q,R007"
78세계 최강의 대검호 쥬라클 미호크 - |CFFC15AF4영원한,영원,일반,3000,R01M,R00X,"R01M,R00X"
78'화권의' 포트거스.D.에이스 - |CFFC15AF4영원한,영원,관통,3000,R01Q,R014,"R01Q,R014"
78천냥광대 버기 - |CFFC15AF4영원한,영원,일반,3000,R01M,R015,"R01M,R015"
78해적왕자-롬멜의 카마이타치 카벤딧슈 - |CFFC15AF4영원한,영원,패기,4000,R01T,R016,"R01T,R016"
00장군좀비 그림자 - 전설적인,전설적인,일반,2000,R01L,R004,"R01L,R004"
90에넬 G.O.D - 제한됨,제한,관통,2000,R01R,R004,"R01R,R004"
90크로커다일 사막의 악어 - 제한됨,제한,패기,3000,R01U,R004,"R01U,R004"
90패트릭 레드필드 붉은백작 - 제한됨,제한,관통,2000,R01R,R004,"R01R,R004"
90모건 타락한 해군 - 특수함,,공성,2000,R01P,R006,"R01P,R006"
90레베카 콜로세움 전설의  후예 - 제한됨,제한,관통,3000,R01Q,R002,"R01Q,R002"
b4사보 혁명군 참모 - 희귀함,희귀함,공성,3000,R01N,R00C,"R01N,R00C"
01해군의 홍일점,,관통,3000,R01Q,R005,"R01Q,R005"
01해군의 홍일점,,공성,2000,R01P,R004,"R01P,R004"
90요정 드레스로자 지하 톤타타왕국의 소인족 - 특수함,,관통,2000,R01R,R004,"R01R,R004"
90블고리 임펠다운 간수 - 특수함,,일반,2000,R01L,R004,"R01L,R004"
90페루 알라바스타의 수호신 - 특수함,,관통,2000,R01R,R004,"R01R,R004"
40돈키호테 도플라밍고 하늘귀신 - 변화된,,관통,2000,R01R,R004,"R01R,R004"
소 효과,,일반,2000,R01L,R004,"R01L,R004"
40포트거스.D.에이스 스페이드 해적단 선장 - 변화된,,일반,2000,R01L,R004,"R01L,R004"
검은수염 크로우즈1,,공성,1500,R01O,R019,"R01O,R019"
50 채울시 발동,,일반,3000,R01M,R032,"R01M,R032"
나미 미라쥬 템포2,,일반,3000,R01M,R003,"R01M,R003"
캐번디시 1스킬 더미1,,일반,3000,R01M,R015,"R01M,R015"
네코 더미-던지기,,일반,3000,R01M,R015,"R01M,R015"
00원랜디 확장팩 - 모델 팩 가동,,공성,1500,R01O,R000,"R01O,R000"
�,,일반,1500,R01K,R019,"R01K,R019"
3c뱀파이어 - 랜덤전용,랜덤전용,공성,1500,R01O,R019,"R01O,R019"
3ck' - 랜덤전용,랜덤전용,관통,1500,R01S,R019,"R01S,R019"
3c나루토 선인모드 - 랜덤전용,랜덤전용,일반,1500,R01K,R019,"R01K,R019"
3c요츠바! - 랜덤전용,랜덤전용,관통,1500,R01S,R019,"R01S,R019"
3c센토 이스즈 - 랜덤전용,랜덤전용,일반,1500,R01K,R019,"R01K,R019"
3c신의손 - 카미조 토우마 랜덤전용,랜덤전용,공성,1500,R01O,R019,"R01O,R019"
3c전투펭귄- 엘리자베스 랜덤전용,랜덤전용,관통,1500,R01S,R019,"R01S,R019"
3c이사야마 요미 - 랜덤전용,랜덤전용,관통,1500,R01S,R02T,"R02T,R01S,R019"
3c쿠로사키 이치고 - 랜덤전용,랜덤전용,일반,1500,R01K,R019,"R01K,R019"
3c하네카와 츠바사 - 랜덤전용,랜덤전용,패기,2000,R01W,R019,"R01W,R019"
,,일반,1500,R01K,R001,"R01K,R001"
93[히든조합]엠포리오 이완코브임펠다운 5.5층 뉴카마왕국의 왕(?)소환됨,히든,공성,3000,R01N,R004,"R01N,R004"
40간부 파견 해군 - 변화된,,일반,3000,R01M,R000,"R01M,R000"
00파견 해적 버기의 부하 - 전설적인,전설적인,패기,4000,R01T,R003,"R01T,R003"
00디펜스존으로,,공성,2000,R01P,R004,"R01P,R004"
�흔함위습,흔함,일반,1500,R01K,,R01K
코비 마나,,관통,3000,R01Q,R003,"R01Q,R003"
k 더미 1 체인 드라이브2 공속증가,,공성,2000,R01P,R022,"R01P,R022"
��변화 카타쿠리 버프,,관통,2000,R01R,R004,"R01R,R004"
Z 차지 블래스터 시작,,관통,1500,R01S,R001,"R01S,R001"
93[히든조합]캐럿밍크족 토끼,히든,패기,4000,R01T,R023,"R01T,R023"
로우 더미2,,일반,2000,R01L,R004,"R01L,R004"
카이도우 [공통] 까만불1,,패기,4000,R01T,R023,"R01T,R023"
스모커 더미2,,일반,1500,R01K,R001,"R01K,R001"
키자루 발차기 5 코비,,일반,3000,R01M,R002,"R01M,R002"
시노부 삼연수리검2,,일반,2000,R01L,R004,"R01L,R004"
90시노부 뇌쇄 쿠노이치 - 제한됨,제한,일반,1500,R01K,R000,"R01K,R000"
00시노부 쿠노이치 - 전설적인-소환됨,전설적인,일반,2000,R01L,R004,"R01L,R004"
�� 시노부 더미4,,일반,1500,R01K,R000,"R01K,R000"
호킨스 저주인형3,,공성,3000,R01N,R003,"R01N,R003"
� 존으로-백업,,관통,3000,R01Q,R003,"R01Q,R003"
조로 사자의 노래3,,일반,3000,R01M,,R01M
드래곤 삭풍1,,일반,2000,R01L,R019,"R01L,R019"
3c쿠치키 뱌쿠야 - 랜덤전용[제한됨],제한,일반,1500,R01K,R019,"R01K,R019"
3c하쿠레이 레이무랜덤전용,랜덤전용,일반,1500,R01K,R019,"R01K,R019"
조로 나생문 리메이크2,,공성,3000,R01N,R003,"R01N,R003"
c0스트로맨 미니 저주인형 - 초월함,초월,일반,1500,R01K,R019,"R01K,R019"
아카이누 용암분출,,일반,2000,R01L,R004,"R01L,R004"
센고쿠 부처의 심판1,,관통,2000,R01R,R004,"R01R,R004"
90마르코 흰수염 유산의 수호자 - 제한됨,제한,일반,2000,R01L,R004,"R01L,R004"
쿠마 스턴 더미,,패기,4000,R01T,R02O,"R01T,R02O"
핸콕 날아차기,,공성,3000,R01N,R003,"R01N,R003"
c0징베 어인협객 - |,,일반,3000,R01M,R003,"R01M,R003"
01'포세이돈' 인어공주,,일반,3000,R01M,R003,"R01M,R003"
01웨더리아의 항해사,,공성,3000,R01N,R003,"R01N,R003"
01CP.Zero,,공성,3000,R01N,R00C,"R01N,R00C"
01해군 대장 '성난 보라호랑이',,공성,3000,R01N,R003,"R01N,R003"
01무적의 아이언 파이러츠,,패기,4000,R01T,R003,"R01T,R003"
01마린포드 정상해전 종결자,,관통,3000,R01Q,R003,"R01Q,R003"
01지진과 어둠의 검은수염,,일반,3000,R01M,R003,"R01M,R003"
01밀짚모자 해적단 의사,,공성,3000,R01N,R00D,"R01N,R00D"
01혁명군 참모총장,,일반,3000,R01M,R003,"R01M,R003"
01운명을 점치는 마술사,,공성,3000,R01N,R003,"R01N,R003"
01신 해군원수,,일반,3000,R01M,R003,"R01M,R003"
01전 해군대장 아오키지,,일반,3000,R01M,R003,"R01M,R003"
01오하라의 마지막 생존자,,공성,3000,R01N,R003,"R01N,R003"
01명왕 레일리의 제자,,공성,3000,R01N,R02J,"R01N,R02J"
01어인협객,,관통,3000,R01Q,R017,"R01Q,R017,R003"
01G.O.D,,관통,3000,R01Q,R017,"R01Q,R017,R003"
01G.O.D,,관통,3000,R01Q,R003,"R01Q,R003"
"01""어둠의 조커""드레스로자의 악몽",,관통,3000,R01Q,R003,"R01Q,R003"
"01""어둠의 조커""드레스로자의 악몽",,관통,3000,R01Q,R003,"R01Q,R003"
01수라의 검사,,공성,3000,R01N,R003,"R01N,R003"
01정열의 요리사,,공성,3000,R01N,R003,"R01N,R003"
01뉴카마섬의 생존자,,일반,3000,R01M,R003,"R01M,R003"
이타치 아마테라스5,,공성,3000,R01N,R020,"R01N,R020"
스네이크맨 블랙맘바더미1,,일반,1500,R01K,R019,"R01K,R019"
키자루 팔척경곡옥3,,일반,1500,R01K,R019,"R01K,R019"
3c이치의 율자 - 랜덤전용,랜덤전용,공성,2000,R01P,R019,"R01P,R019"
율자 기본더미2,,일반,2000,R01L,R019,"R01L,R019"
스네이크맨 블랙맘바더미2,,관통,2000,R01R,R004,"R01R,R004"
90불사조 흰수염 유산의 수호자 - 제한됨,제한,공성,3000,R01N,R019,"R01N,R019"
오뎅 불더미,,일반,2000,R01L,R019,"R01L,R019"
ed카포네 Mr.2 - 특별함 공격더미,특별함,일반,1500,R01K,R000,"R01K,R000"
더월드,,관통,2000,R01R,R019,"R01R,R019"
오뎅 평타,,일반,2000,R01L,R019,"R01L,R019"
0b흔함영웅,흔함,일반,2000,R01L,R019,"R01L,R019"
3c마운틴.D.히그마 - 랜덤전용[제한됨],제한,패기,4000,R01T,R023,"R01T,R023"
아오키지 아이스볼3,,일반,3000,R01M,R002,"R01M,R002"
�즈 검은줄기,,공성,3000,R01N,R003,"R01N,R003"
c0키드 유스타스'캡틴' - 초월함,초월,일반,1500,R01K,R000,"R01K,R000"
00킹 백수해적단-대간판 - 전설적인,전설적인,일반,2000,R01L,R02Q,"R01L,R02Q"
90킹 삼재해:화재 - 제한됨,제한,공성,3000,R01N,R003,"R01N,R003"
��닛 생성,,일반,3000,R01M,R003,"R01M,R003"
01전 해군대장 아오키지,,관통,3000,R01Q,R003,"R01Q,R003"
01로키포트 사건의 주모자,,패기,4000,R01T,R003,"R01T,R003"
01다섯번째 황제,,패기,4000,R01T,R003,"R01T,R003"
01다섯번째 황제,,공성,3000,R01N,R003,"R01N,R003"
빅맘 먹이2,,관통,3000,R01Q,R003,"R01Q,R003"
징베 진각3,,일반,3000,R01M,R003,"R01M,R003"
데켄 미사일 폭발,,일반,3000,R01M,,R01M
0b흔함영웅,흔함,일반,1500,R01K,R019,"R01K,R019"
01오니히메,,패기,4000,R01T,R02W,"R01T,R02W"
01오니히메 인수화,,패기,4000,R01T,R02W,"R01T,R02W"
�� 시노부 마나 더미 1,,일반,2000,R01L,R019,"R01L,R019"
빅맘 내려찍기,,패기,4000,R01T,R003,"R01T,R003"
로쿠규 마나,,일반,3000,R01M,R003,"R01M,R003"
니카 더미2,,패기,4000,R01T,R003,"R01T,R003"
니카 바즈랑건3,,일반,3000,R01M,R003,"R01M,R003"
�도박-,,관통,3000,R01Q,R003,"R01Q,R003"
니카 거대화 공격더미,,패기,4000,R01T,R002,"R01T,R002"
