더미유닛ID,더미이름,능력,능력이름,필드의미,값,부모트리거,원작캐릭터_등급,실제작동,오더검사
e0EB,@초월 키자루 팔척경곡옥1,A0P3,6장풍 팔척경,클러스터로켓 피해,270000.0,Trig_Bustercall_Etc2_Actions / Trig_Kizaru_Skill_mana_Actions,키자루 - 초월함(초월함),작동 안 함 — 시각 이펙트,🔴 오더 없음 (base ANcs = 시전 필요)
e0EK,%제한됨변화 도플 둔화2,A078,3범위 도변 둔화,천둥소리 피해,100000.0,Trig_DP_Skill_2_Actions / Trig_Transpom_dp_Actions,각성 도플라밍고 - 초월함 / 도플라밍고 - 초월함 / 돈키호테 도플라밍고 하늘귀신 - 변화된(변화된 / 초월함),작동 안 함 — 시각 이펙트,🔴 오더 없음 (base AHtc = 시전 필요)
e0F0,%제한됨변화 레베카 더미1,A0QY,3범위 레베카제한 기본둔화,천둥소리 피해,50000.0,Trig_Rebeca_Skill_1_Actions,레베카 콜로세움 전설의  후예 - 제한됨(제한됨),작동 안 함 — 시각 이펙트,🔴 오더 없음 (base AHtc = 시전 필요)
e0F1,%제한됨변화 레베카 더미12,A0QY,3범위 레베카제한 기본둔화,천둥소리 피해,50000.0,Trig_Rebeca_Skill_1_Actions,레베카 콜로세움 전설의  후예 - 제한됨(제한됨),작동 안 함 — 시각 이펙트,🔴 오더 없음 (base AHtc = 시전 필요)
e0FR,E영원 핸콕 슬레이브 애로우2,A0OK,0장풍 슬레이브 애로우,시체폭발/죽음의사슬 피해,400000.0,Trig_arrow_h2_Actions,|CFFFFFA78'아마존릴리의 여제'  보아 핸콕 - |(영원한),작동 안 함 — 시각 이펙트,🔴 오더 없음 (base ACca = 시전 필요)
e0FS,E영원 핸콕 슬레이브 애로우-바람,A0OK,0장풍 슬레이브 애로우,시체폭발/죽음의사슬 피해,400000.0,Trig_arrow_h2_Actions,|CFFFFFA78'아마존릴리의 여제'  보아 핸콕 - |(영원한),작동 안 함 — 시각 이펙트,🔴 오더 없음 (base ACca = 시전 필요)
e0FT,E영원 핸콕 슬레이브 애로우3,A0OK,0장풍 슬레이브 애로우,시체폭발/죽음의사슬 피해,400000.0,Trig_arrow_h2_Actions,|CFFFFFA78'아마존릴리의 여제'  보아 핸콕 - |(영원한),작동 안 함 — 시각 이펙트,🔴 오더 없음 (base ACca = 시전 필요)
e0FU,E영원 핸콕 슬레이브 애로우1,A0OK,0장풍 슬레이브 애로우,시체폭발/죽음의사슬 피해,400000.0,Trig_arrow_h2_Actions,|CFFFFFA78'아마존릴리의 여제'  보아 핸콕 - |(영원한),작동 안 함 — 시각 이펙트,🔴 오더 없음 (base ACca = 시전 필요)
e0FV,E영원 핸콕 슬레이브 애로우-머즐,A0OK,0장풍 슬레이브 애로우,시체폭발/죽음의사슬 피해,400000.0,Trig_arrow_h2_Actions,|CFFFFFA78'아마존릴리의 여제'  보아 핸콕 - |(영원한),작동 안 함 — 시각 이펙트,🔴 오더 없음 (base ACca = 시전 필요)
e0GH,#불멸 Z 차지 블래스터 시작,A0S6,0장풍 제트 차지블래스터,시체폭발/죽음의사슬 피해,1000000.0,Trig_Z_skill_3_Actions,"제트 해군 스승 ""Z"" - 불멸의(불멸의)",작동 안 함 — 시각 이펙트,🔴 오더 없음 (base ACca = 시전 필요)
e0IN,%제한됨변화 도플 둔화1,A078,3범위 도변 둔화,천둥소리 피해,100000.0,Trig_DP_Skill_2_Actions / Trig_Transpom_dp_Actions,각성 도플라밍고 - 초월함 / 도플라밍고 - 초월함 / 돈키호테 도플라밍고 하늘귀신 - 변화된(변화된 / 초월함),작동 안 함 — 시각 이펙트,🔴 오더 없음 (base AHtc = 시전 필요)
e0KH,@초월 징베 더미1,A0WZ,3범위 징베 해류,천둥소리 피해,500000.0,Trig_Jimbe_Actions,징베  - 초월함(초월함),작동 안 함 — 시각 이펙트,🔴 오더 없음 (base AHtc = 시전 필요)
e0NM,@초월 키드 더미01,A10Z,0장풍 키드초월 리펠1,시체폭발/죽음의사슬 피해,300000.0,Trig_Kid_Skill_3_Actions / Trig_Kid_Skill_3_item_Actions,키드 - 초월함(초월함),작동 안 함 — 시각 이펙트,🔴 오더 없음 (base ACca = 시전 필요)
e0PL,@초월 검은수염 장풍 더미,A0A4,0장풍 계열 검수초월,시체폭발/죽음의사슬 피해,300000.0,Trig_Tichi_skill_2_tr_Actions,마샬.D.티치 - 초월함(초월함),작동 안 함 — 시각 이펙트,🔴 오더 없음 (base ACca = 시전 필요)
e0PP,E영원 미호크 먼지 더미4,A0B6,0장풍 미호크 영원1,시체폭발/죽음의사슬 피해,750000.0,Trig_Mihawk_4_Actions,|CFFFFFA78세계 최강의 대검호 쥬라클 미호크 - |(영원한),작동 안 함 — 시각 이펙트,🔴 오더 없음 (base ACca = 시전 필요)
e0PQ,E영원 미호크 먼지 더미2,A0B6,0장풍 미호크 영원1,시체폭발/죽음의사슬 피해,750000.0,Trig_Mihawk_4_Actions,|CFFFFFA78세계 최강의 대검호 쥬라클 미호크 - |(영원한),작동 안 함 — 시각 이펙트,🔴 오더 없음 (base ACca = 시전 필요)
e0PR,E영원 미호크 먼지 더미3,A0B6,0장풍 미호크 영원1,시체폭발/죽음의사슬 피해,750000.0,Trig_Mihawk_4_Actions,|CFFFFFA78세계 최강의 대검호 쥬라클 미호크 - |(영원한),작동 안 함 — 시각 이펙트,🔴 오더 없음 (base ACca = 시전 필요)
e0QL,@초월 로쿠규 나무1,A0PI,3범위 도플초월 오색실1,천둥소리 피해,205000.0,Trig_RokuguTree_Attack_Actions / Trig_Rokugu_Attack_Actions,아라마키- 초월함 / 아라마키- 초월함(초월함),작동 안 함 — 시각 이펙트,🔴 오더 없음 (base AHtc = 시전 필요)
e0QQ,마나 115 필요,A16S,!초록소 공증,🔴 공격력 증가량 (배틀로어) — 피해가 아니다,4000.0,Trig_Rokugu_Attack_Actions,아라마키- 초월함(초월함),피해 아님 — 공격력 증가 버프,🔴 오더 없음 (base ANbr = 시전 필요)
