유닛ID,등급,유닛이름,회수경로,출처,계산식,basis축,basis대응,공격타입,피해타입,비고,absolute_cooldown_s,쿨근거버프,쿨근거능력,rand_min,rand_max,rand_mean,더미채널판정,더미_피해값,원작게이트,게이트확신도,평타트리거유닛,더미채널판정_검증
h01M,희귀함,보아 핸콕 칠무해 - 희귀함,트리거,Trig_Unique20,6000.00,Flat,✅ Flat,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,10)==3",확정,h01M,
h01M,희귀함,보아 핸콕 칠무해 - 희귀함,트리거,Trig_Unique20,"((GetUnitStateSwap(UNIT_STATE_LIFE,GetTriggerUnit())*0.10)*(0.20+(0.05*I2R(GetUnitAbilityLevelSwapped('A11S',GetTriggerUnit())))))",대상현재체력+능력레벨,✅ TargetCurrentHpPercent+계수(대상A11S(폭발형 피해 감수도) 축),NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,10)==3 AND GetUnitPointValue(GetTriggerUnit())<200",확정,h01M,
h01P,희귀함,사카즈키 해군대장 아카이누 - 희귀함,더미,Trig_Unique10 → e0BU(U희귀함 아카이누 더미) → A0AX,Hbz1=2 Hbz2=6000,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],2범위 아카이누 희귀 블리자드 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — ACbz 눈보라 — 피해,"6,000",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h01Q,희귀함,거프 해군 영웅 - 희귀함,트리거,Trig_Unique30,52500.00,Flat,✅ Flat,SIEGE,NORMAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,Stage[GlobalTV]==7,확정,h01Q,
h01Q,희귀함,거프 해군 영웅 - 희귀함,트리거,Trig_Unique30,40000.00,Flat,✅ Flat,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,Stage[GlobalTV]==7,확정,h01Q,
h01R,희귀함,보르살리노 해군대장 - 희귀함,더미,Trig_Unique9 → e03M(U희귀함 키자루 더미) → A09A,Ocl2=8 Ocl3=-0.1 Ocl1=6000,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],4지정 키자루 팔지경1 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — AOcl 연쇄 번개 — 피해,"6,000",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h01S,희귀함,벤 베크만 붉은머리 해적단 부선장 - 희귀함,트리거,Trig_Unique21,10000.00,Flat,✅ Flat,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,8)==3",확정,h01S,
h01S,희귀함,벤 베크만 붉은머리 해적단 부선장 - 희귀함,트리거,Trig_Unique21,"((GetUnitStateSwap(UNIT_STATE_LIFE,GetTriggerUnit())*0.01)+20000.00)",대상현재체력,✅ TargetCurrentHpPercent,CHAOS,UNIVERSAL,,0,조사함-게이트밖,,0.8,0.8,0.8,해당없음(트리거 채널),,"GetRandomInt(1,8)==3 AND IsUnitType(GetTriggerUnit(),UNIT_TYPE_ANCIENT)==true",확정,h01S,
h01V,희귀함,바제스 검은수염해적단 선원 - 희귀함,더미,Trig_Unique27 → e0BZ(U희귀함 바제스 더미) → A0K2,Wrs1=12000,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],2범위 바제스 스턴 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — AOws 전쟁의 함성 — 피해,"12,000",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h01W,희귀함,바르토로메오 밀짚모자 해적단 광신도 - 희귀함,트리거,Trig_Unique26,6000.00,Flat,✅ Flat,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,10)==3",확정,h01W,
h01Y,희귀함,모몬가 G1 지부의 수장 - 희귀함,트리거,Trig_Unique35,7000.00,Flat,✅ Flat,NORMAL,UNIVERSAL,,0,조사함-식대조실패,,1,1,1,해당없음(트리거 채널),,Stage[GlobalTV]==1,확정,h01Y,
h01Y,희귀함,모몬가 G1 지부의 수장 - 희귀함,트리거,Trig_Unique35,I2R(s__TrigVariables__get_integerC(GlobalTV)),앞단계중간값,❌ 스키마에 없음,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,Stage[GlobalTV]==1,확정,h01Y,
h022,희귀함,마르코 흰수염 1번대대장 - 희귀함,더미,Trig_Unique4 → e05C(U희귀함 마르코 더미) → A09Y,Efk1=12000 Efk2=8e+08 Efk3=7,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],2범위 불사조팬옵나 마르코희귀 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — AEfk — 피해,"12,000",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h023,희귀함,카쿠 CP9 소소열매 람각 주단 - 희귀함,더미,Trig_Unique14 → e038(H히든 카쿠 더미) → A097,Ucs3=1050 Ucs1=8000 Ucs2=7e+07 Ucs4=550,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],0장풍 카쿠히든 람각 주단 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — ACca 시체 폭발선 — 대상당 피해,"8,000",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h025,희귀함,검호 류마 용의 목을 벤 사나이 - 희귀함,트리거,Trig_Unique22,4500.00,Flat,✅ Flat,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,10)==3",확정,h025,
h025,희귀함,검호 류마 용의 목을 벤 사나이 - 희귀함,트리거,Trig_Unique22,2000.00,Flat,✅ Flat,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,(무조건),확정,h025,
h025,희귀함,검호 류마 용의 목을 벤 사나이 - 희귀함,트리거,Trig_Unique22,"((GetUnitStateSwap(UNIT_STATE_LIFE,GetTriggerUnit())*0.10)*(0.20+(0.05*I2R(GetUnitAbilityLevelSwapped('A11S',GetTriggerUnit())))))",대상현재체력+능력레벨,✅ TargetCurrentHpPercent+계수(대상A11S(폭발형 피해 감수도) 축),NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,10)==3 AND GetUnitPointValue(GetTriggerUnit())<200",확정,h025,
h029,희귀함,샹크스 붉은머리 해적단 선장 - 희귀함,더미,Trig_Unique3 → e092(U희귀함 샹크스 더미) → A0BE,Ucs3=1050 Ucs1=6000 Ucs2=7e+07 Ucs4=375,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],0장풍 샹크스 희귀함 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — ACca 시체 폭발선 — 대상당 피해,"6,000",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h02A,희귀함,엠포리오 이완코브 혁명군 - 희귀함,더미,Trig_Unique18 → e03O(U희귀함 이완코브 더미) → A0R8,Wrs1=13000,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],2범위 이완 데스윙크 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — AOws 전쟁의 함성 — 피해,"13,000",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h02B,희귀함,쿠잔 해군대장 아오키지 - 희귀함,더미,Trig_Unique11 → e057(U희귀함 아오키지 더미) → A0PX,Wrs1=9000,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],2범위 아오희귀 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — AOws 전쟁의 함성 — 피해,"9,000",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h02C,희귀함,우솝 보잉열도 생존자 - 희귀함,더미,Trig_Unique23 → e0AT(U희귀함 우솝 더미) → A0EL,Wrs1=7000,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],2범위 임팩트다이얼-우솝희귀 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — AOws 전쟁의 함성 — 피해,"7,000",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h02E,희귀함,죠즈 흰수염 3번대 대장 다이아몬드 - 희귀함,트리거,Trig_Unique34,70000.00,Flat,✅ Flat,SIEGE,UNKNOWN,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,Stage[GlobalTV]==8 AND (GetUnitPointValue(unitB)==300),확정,h02E,
h02E,희귀함,죠즈 흰수염 3번대 대장 다이아몬드 - 희귀함,트리거,Trig_Unique34,35000.00,Flat,✅ Flat,SIEGE,UNKNOWN,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,Stage[GlobalTV]==8 AND NOT((GetUnitPointValue(unitB)==300)),확정,h02E,
h02E,희귀함,죠즈 흰수염 3번대 대장 다이아몬드 - 희귀함,더미,Trig_Unique34 → e090(U희귀함 죠즈 더미1) → A07C,Wrs1=10000,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],2범위 죠즈 스턴더미 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — AOws 전쟁의 함성 — 피해,"10,000",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h02F,희귀함,조로 '현상금 사냥꾼' 초신성 - 희귀함,더미,Trig_Unique33 → e0BT(U희귀함 조로 더미 2) → A0QH,Htb1=50000 arlv=6,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],C조로희귀 스턴 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — AHtb 폭풍 망치 — 피해,"50,000",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h02G,희귀함,제프 해상 레스토랑 쉐프 - 희귀함,더미,Trig_Unique2 → e031(!전설 제프공속증가) → A095,Blo1=4,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],^제프 의족 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),❌ 피해 아님(버프·디버프·배율·지속),0,해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,✅ 태그 맞음(2026-09-06 재검증: base·atar·오더 4단계 대조)
h02H,희귀함,크로커 다일 Mr.0 Sir - 희귀함,트리거,Trig_Unique17,17500.00,Flat,✅ Flat,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1.5,1.25,해당없음(트리거 채널),,"GetRandomInt(1,15)==3",확정,h02H,
h02K,희귀함,토니토니 쵸파 혼 포인트 - 희귀함,트리거,Trig_Unique31,35000.00,Flat,✅ Flat,SIEGE,NORMAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,8)==3",확정,h02K,
h02K,희귀함,토니토니 쵸파 혼 포인트 - 희귀함,트리거,Trig_Unique31,17500.00,Flat,✅ Flat,SIEGE,NORMAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,8)==3",확정,h02K,
h02L,희귀함,트라팔가 로우 죽음의 외과의사 - 희귀함,트리거,Trig_Unique6,6000.00,Flat,✅ Flat,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,12)==3",확정,h02L,
h02M,희귀함,베이비 5 팔보수군 - 희귀함,트리거,Trig_Unique29,6000.00,Flat,✅ Flat,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,2,1.5,해당없음(트리거 채널),,(Stage[GlobalTV]==5),확정,h02M,
h02M,희귀함,베이비 5 팔보수군 - 희귀함,트리거,Trig_Unique29,15000.00,Flat,✅ Flat,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,(Stage[GlobalTV]==5),확정,h02M,
h02M,희귀함,베이비 5 팔보수군 - 희귀함,더미,Trig_Unique29 → e0EN(U희귀함 베이비 더미) → A0TO,Htb1=1,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],C 희귀함 베이비 단일 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — AHtb 폭풍 망치 — 피해,1,해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h02O,전설적인,골.D.에이스 해적왕의 아들 - 전설적인,트리거,Trig_Legend18,200000.00,Flat,✅ Flat,MAGIC,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,10)==7 AND GetRandomInt(1,4)==3",확정,h02O,
h02O,전설적인,골.D.에이스 해적왕의 아들 - 전설적인,트리거,Trig_Legend18,400000.00,Flat,✅ Flat,MAGIC,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,10)==7",확정,h02O,
h02O,전설적인,골.D.에이스 해적왕의 아들 - 전설적인,더미,Trig_Legend18 → e0DB(!전설 에이스 더미2) → A0BK,Ucs3=900 Ucs1=200000 Ucs2=7e+07 Ucs4=375,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],0장풍 에이스 불주먹-3전설 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — ACca 시체 폭발선 — 대상당 피해,"200,000",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h02O,전설적인,골.D.에이스 해적왕의 아들 - 전설적인,더미,Trig_Legend18 → e0IP(!전설 에이스 더미1) → A0BK,Ucs3=900 Ucs1=200000 Ucs2=7e+07 Ucs4=375,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],0장풍 에이스 불주먹-3전설 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — ACca 시체 폭발선 — 대상당 피해,"200,000",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h02P,전설적인,나미 도둑 고양이 - 전설적인,트리거,Trig_Legend25,325000.00,Flat,✅ Flat,MAGIC,UNIVERSAL,,0,조사함-게이트밖,,1,1.5,1.25,해당없음(트리거 채널),,"GetRandomInt(1,10000)<916",확정,h02P,
h02P,전설적인,나미 도둑 고양이 - 전설적인,더미,Trig_Legend25 → e0NR(!전설 나미 더미3) → A0W6,Oae1=-0.42,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],A이속감소 계열 크리마 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),❌ 피해 아님(버프·디버프·배율·지속),0,해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,✅ 태그 맞음(2026-09-06 재검증: base·atar·오더 4단계 대조)
h02Q,전설적인,라분 레드라인을 넘으려는 향유고래 - 전설적인,트리거,Trig_Legend12,GetEventDamage(),실제평타피해,❌ 스키마에 없음,CHAOS,NORMAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,Stage[GlobalTV]==0,확정,h02Q,
h02Q,전설적인,라분 레드라인을 넘으려는 향유고래 - 전설적인,트리거,Trig_Legend12,175000.00,Flat,✅ Flat,MAGIC,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,Stage[GlobalTV]==5 AND GetUnitUserData(unitA)==6,확정,h02Q,
h02Q,전설적인,라분 레드라인을 넘으려는 향유고래 - 전설적인,트리거,Trig_Legend12,175000.00,Flat,✅ Flat,MAGIC,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,Stage[GlobalTV]==5 AND GetUnitUserData(unitA)==6,확정,h02Q,
h02Q,전설적인,라분 레드라인을 넘으려는 향유고래 - 전설적인,트리거,Trig_Legend12,(15000.00+(3000.00*I2R(GetUnitPointValue(s__TrigVariables__get_unitB(GlobalTV))))),대상포인트값(보스플래그)+앞단계중간값,❌ 스키마에 없음,SIEGE,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"Stage[GlobalTV]==5 AND GetRandomInt(1,100)<26 ‖ Stage[GlobalTV]==5 AND GetUnitUserData(unitA)==6",추정(지점 여럿),h02Q,
h02Q,전설적인,라분 레드라인을 넘으려는 향유고래 - 전설적인,트리거,Trig_Legend12,(15000.00+(3000.00*I2R(GetUnitPointValue(s__TrigVariables__get_unitB(GlobalTV))))),대상포인트값(보스플래그)+앞단계중간값,❌ 스키마에 없음,SIEGE,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"Stage[GlobalTV]==5 AND GetRandomInt(1,100)<26 ‖ Stage[GlobalTV]==5 AND GetUnitUserData(unitA)==6",추정(지점 여럿),h02Q,
h02R,전설적인,로브 루치 생명귀환 지회무신 - 전설적인,트리거,Trig_Legend21sc,100000.00,Flat,✅ Flat,MAGIC,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,9)==3",확정,h02R,
h02R,전설적인,로브 루치 생명귀환 지회무신 - 전설적인,트리거,Trig_Legend21sc,"((GetUnitStateSwap(UNIT_STATE_LIFE,GetTriggerUnit())*0.3)*(0.2+(0.05*I2R(GetUnitAbilityLevelSwapped('A11S',GetTriggerUnit())))))",대상현재체력+능력레벨,✅ TargetCurrentHpPercent+계수(대상A11S(폭발형 피해 감수도) 축),SIEGE,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,9)==3 AND GetUnitPointValue(GetTriggerUnit())<200",확정,h02R,
h02R,전설적인,로브 루치 생명귀환 지회무신 - 전설적인,트리거,Trig_Legend21sc,345000.00,Flat,✅ Flat,CHAOS,UNIVERSAL,,0,조사함-게이트밖,,1,2,1.5,해당없음(트리거 채널),,"GetRandomInt(1,9)==3 AND NOT(GetUnitPointValue(GetTriggerUnit())<200)",확정,h02R,
h02U,전설적인,"마샬.D.티치 검은수염 해적단 선장 ""검은수염"" - 전설적인",트리거,Trig_Legend26,"(500000.00+(GetUnitStateSwap(UNIT_STATE_LIFE,GetEnumUnit())*0.01))",대상현재체력,✅ TargetCurrentHpPercent,NORMAL,UNIVERSAL,,0,조사함-식대조실패,,1,1,1,해당없음(트리거 채널),,시전자체력==40.00,확정,h02U,
h02V,전설적인,스모커 집념의 해군 중장 - 전설적인,트리거,Trig_Legend9,450000.00,Flat,✅ Flat,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1.5,1.25,해당없음(트리거 채널),,시전자마나==50.00,확정,h02V,
h02V,전설적인,스모커 집념의 해군 중장 - 전설적인,트리거,Trig_Legend9,200000.00,Flat,✅ Flat,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1.5,1.25,해당없음(트리거 채널),,"GetRandomInt(1,6)==3",확정,h02V,
h02V,전설적인,스모커 집념의 해군 중장 - 전설적인,트리거,Trig_Legend9,450000.00,Flat,✅ Flat,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1.5,1.25,해당없음(트리거 채널),,시전자마나==50.00,확정,h02V,
h02V,전설적인,스모커 집념의 해군 중장 - 전설적인,더미,Trig_Legend9 → e0H8(!전설 스모커 더미3) → A16K,Prg4=0.5 Prg1=6 Prg5=0.5,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인], / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),❌ 피해 아님(버프·디버프·배율·지속),0,해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,✅ 태그 맞음(2026-09-06 재검증: base·atar·오더 4단계 대조)
h02X,전설적인,몽키.D.루피 '기어 2' Jet 개틀링 - 전설적인,트리거,Trig_Legend0,47500.00,Flat,✅ Flat,SIEGE,NORMAL,,0,조사함-게이트밖,,0.5,2,1.25,해당없음(트리거 채널),,"GetRandomInt(1,100)<46",확정,h02X,
h02Y,전설적인,몽키.D.루피 나이트메어 - 전설적인,트리거,Trig_Legend22,s__TrigVariables__get_realC(GlobalTV),앞단계중간값,❌ 스키마에 없음,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"(무조건) ‖ Stage[GlobalTV]==0 ‖ Stage[GlobalTV]==1 ‖ Stage[GlobalTV]==1 AND GetRandomInt(1,33)==3 AND 능력레벨('A0TU',unitA)<6 ‖ Stage[GlobalTV]==1 AND GetUnitPointValue(unitB)==200 AND (realB>100.00) ‖ Stage[GlobalTV]==1 AND NOT(버프보유(unitB,'B06B')==true) AND (realB>360000.00) ‖ Stage[GlobalTV]==1 AND 버프보유(unitB,'B06B')==true ‖ Stage[GlobalTV]==2",추정(지점 여럿),h02Y,
