번호,유닛ID,이름,트리거,게이트원문,확률,유형,등장횟수,비고
014,H098,로빈,Trig_Robin_Attack,LIFE 게이지 == 40.00 (평타마다 +1),0.02500,게이지 누적(확률 아님·결정론),1,평타 40회마다 정확히 1회 발동. 1/40 확률로 넣으면 기댓값은 같고 분산이 다르다
015,H09B,우솝,Trig_Usop_Attack,"GetRandomInt(1,9)==2",0.11111,확률,1,
015,H09B,우솝,Trig_Usop_Attack,"GetRandomInt(1,5)==2",0.20000,확률,1,
015,H09B,우솝,Trig_Usop_Attack,"GetRandomInt(1,7)==2",0.14286,확률,1,
015,H09B,우솝,Trig_Usop_Attack,MANA 게이지 == 140.00 (평타마다 +1),0.00714,게이지 누적(확률 아님·결정론),1,평타 140회마다 정확히 1회 발동. 1/140 확률로 넣으면 기댓값은 같고 분산이 다르다
016,H091,쵸파,Trig_Chopa_Attack,MANA 게이지 == 150.00 (평타마다 +1),0.00667,게이지 누적(확률 아님·결정론),1,평타 150회마다 정확히 1회 발동. 1/150 확률로 넣으면 기댓값은 같고 분산이 다르다
017,H095,아카이누,Trig_Akainu_Attack,"GetRandomInt(1,10)==5",0.10000,확률,2,
017,H095,아카이누,Trig_Akainu_Attack,MANA 게이지 == 135.00 (평타마다 +1),0.00741,게이지 누적(확률 아님·결정론),1,평타 135회마다 정확히 1회 발동. 1/135 확률로 넣으면 기댓값은 같고 분산이 다르다
018,H09I,브룩,Trig_BrookAttack,"GetRandomInt(1,7)==2",0.14286,확률,1,
018,H09I,브룩,Trig_BrookAttack,"GetRandomInt(1,24)==10",0.04167,확률,1,
018,H09I,브룩,Trig_BrookAttack,MANA 게이지 == 115.00 (평타마다 +1),0.00870,게이지 누적(확률 아님·결정론),1,평타 115회마다 정확히 1회 발동. 1/115 확률로 넣으면 기댓값은 같고 분산이 다르다
019,H08Z,샹크스,Trig_Shanks_Attack,"GetRandomInt(1,10)==3",0.10000,확률,1,
019,H08Z,샹크스,Trig_Shanks_Attack,"GetRandomInt(1,10)==5",0.10000,확률,1,
019,H08Z,샹크스,Trig_Shanks_Attack,MANA 게이지 == 35.00,1.0,게이지 도달,1,
021,h04E,센고쿠,Trig_Sengoku_Attack,"GetRandomInt(1,10)==6",0.10000,확률,1,
021,h04E,센고쿠,Trig_Sengoku_Attack,"GetRandomInt(1,20)==8",0.05000,확률,1,
021,h04E,센고쿠,Trig_Sengoku_Attack,"GetRandomInt(1,12)==6",0.08333,확률,1,
021,h04E,센고쿠,Trig_Sengoku_Attack,LIFE 게이지 == 75.00 (평타마다 +1),0.01333,게이지 누적(확률 아님·결정론),1,평타 75회마다 정확히 1회 발동. 1/75 확률로 넣으면 기댓값은 같고 분산이 다르다
022,h04G,제트,Trig_Z_Attack,"GetRandomInt(1,10)==4",0.10000,확률,1,
022,h04G,제트,Trig_Z_Attack,"GetRandomInt(1,16)==7",0.06250,확률,1,
022,h04G,제트,Trig_Z_Attack,MANA 게이지 == 160.00 (평타마다 +1),0.00625,게이지 누적(확률 아님·결정론),1,평타 160회마다 정확히 1회 발동. 1/160 확률로 넣으면 기댓값은 같고 분산이 다르다
023,h04C,거프,Trig_Garp_Attack,MANA 게이지 == 160.00 (평타마다 +1),0.00625,게이지 누적(확률 아님·결정론),1,평타 160회마다 정확히 1회 발동. 1/160 확률로 넣으면 기댓값은 같고 분산이 다르다
024,h04D,드래곤,Trig_Dragon_Attack,"GetRandomInt(1,10)==6",0.10000,확률,1,
024,h04D,드래곤,Trig_Dragon_Attack,MANA 게이지 == 160.00 (평타마다 +1),0.00625,게이지 누적(확률 아님·결정론),1,평타 160회마다 정확히 1회 발동. 1/160 확률로 넣으면 기댓값은 같고 분산이 다르다
025,h04B,시키,Trig_Shiki_Attack,"GetRandomInt(1,10)==3",0.10000,확률,1,
025,h04B,시키,Trig_Shiki_Attack,"GetRandomInt(1,16)==3",0.06250,확률,2,
025,h04B,시키,Trig_Shiki_Attack,"GetRandomInt(1,33)==3",0.03030,확률,1,
025,h04B,시키,Trig_Shiki_Attack,"GetRandomInt(1,2)==1",0.50000,확률,1,
025,h04B,시키,Trig_Shiki_Attack,MANA 게이지 == 125.00 (평타마다 +1),0.00800,게이지 누적(확률 아님·결정론),1,평타 125회마다 정확히 1회 발동. 1/125 확률로 넣으면 기댓값은 같고 분산이 다르다
026,h049,레일리,Trig_LaillySkill,"GetRandomInt(1,17)==4",0.05882,확률,1,
026,h049,레일리,Trig_LaillySkill,"GetRandomInt(1,20)==3",0.05000,확률,1,
026,h049,레일리,Trig_LaillySkill,"GetRandomInt(1,50)==1",0.02000,확률,1,
026,h049,레일리,Trig_LaillySkill,MANA 게이지 == 115.00 (평타마다 +1),0.00870,게이지 누적(확률 아님·결정론),1,평타 115회마다 정확히 1회 발동. 1/115 확률로 넣으면 기댓값은 같고 분산이 다르다
028,h05C,핸콕,Trig_Hancock_Attack,"GetRandomInt(1,15)==3",0.06667,확률,1,
028,h05C,핸콕,Trig_Hancock_Attack,"GetRandomInt(1,14)==2",0.07143,확률,1,
028,h05C,핸콕,Trig_Hancock_Attack,"GetRandomInt(1,15)==6",0.06667,확률,1,
028,h05C,핸콕,Trig_Hancock_Attack,MANA 게이지 == 175.00 (평타마다 +1),0.00571,게이지 누적(확률 아님·결정론),1,평타 175회마다 정확히 1회 발동. 1/175 확률로 넣으면 기댓값은 같고 분산이 다르다
