더미유닛ID,더미이름,능력,능력이름,피해필드,필드의미,값,범위(aare),부모트리거,기존표기재여부,소환조건(로컬),진입게이트,게이트확신도,진짜주인_유닛ID,진짜주인_이름,진짜주인_등급,주인확신도,이름표기_등급,표기_불일치
e06K,@초월 도플 거미줄,A0PI,3범위 도플초월 오색실1,Htc1,천둥소리 피해,205000.0,525.0,Trig_DP_Attack_Actions,없음,"[Trig_DP_Attack_Actions] GetRandomInt(1,7)==4",Trig_DP_Attack_Actions[이벤트직결]: (조건없음),"추정(진입 무조건 — 이벤트 직결, 로컬 조건만)",H09E,도플라밍고 - 초월함,초월함,확정,초월함,
e06R,@초월 도플 흉탄더미,A0AM,3범위 도플각성흉탄,Htc1,천둥소리 피해,150000.0,525.0,Trig_DP_Attack_gaksung_Actions,없음,[Trig_DP_Attack_gaksung_Actions] (조건없음),Trig_DP_Attack_gaksung_Actions[이벤트직결]: (조건없음),"추정(진입 무조건 — 이벤트 직결, 로컬 조건만)",H09D,각성 도플라밍고 - 초월함,초월함,확정,초월함,
e06U,@초월 브룩 오바드 꾸 드로와1,A0AN,0장풍 브룩 초월 오바드,Ucs1,시체폭발/죽음의사슬 피해,400000.0,175.0,Trig_Brook_Skill_1_Actions,없음,[Trig_Brook_Skill_1_Actions] s__TrigVariables_Stage[GlobalTV]==0 | [Trig_Brook_Skill_1_Actions] s__TrigVariables_Stage[GlobalTV]==1,"Trig_BrookAttack_Actions[이벤트직결]: GetRandomInt(1,7)==2",확정,H09I,브룩 - 초월함,초월함,확정,초월함,
e06X,@초월 브룩 오바드 꾸 드로와2,A0AN,0장풍 브룩 초월 오바드,Ucs1,시체폭발/죽음의사슬 피해,400000.0,175.0,Trig_Brook_Skill_1_Actions,없음,[Trig_Brook_Skill_1_Actions] s__TrigVariables_Stage[GlobalTV]==0 | [Trig_Brook_Skill_1_Actions] s__TrigVariables_Stage[GlobalTV]==1,"Trig_BrookAttack_Actions[이벤트직결]: GetRandomInt(1,7)==2",확정,H09I,브룩 - 초월함,초월함,확정,초월함,
e087,@초월 조로 360 더미,A0AV,0장풍 360번뇌봉,Ucs1,시체폭발/죽음의사슬 피해,280000.0,250.0,Trig_Zoro_enfor_flying_draong_Actions,없음,[Trig_Zoro_enfor_flying_draong_Actions] (s__TrigVariables_Stage[GlobalTV]==1) AND NOT((s__TrigVariables__get_integerA(GlobalTV)==2)),"Trig_Zoro_Attack_enma_Actions[이벤트직결]: GetRandomInt(1,6)==2",확정,H0BT,롤로노아 조로 - 초월함,초월함,확정,초월함,
e08E,E영원 미호크 먼지 더미0,A0B6,0장풍 미호크 영원1,Ucs1,시체폭발/죽음의사슬 피해,750000.0,333.0,Trig_Mihawk_2_Actions,없음,[Trig_Mihawk_2_Actions] (s__TrigVariables_Stage[GlobalTV]==50),"Trig_Mihawk_Attack_Actions[이벤트직결]: NOT(GetUnitStateSwap(UNIT_STATE_MANA,GetAttacker())==175.00)",확정,h058,|CFFFFFA78세계 최강의 대검호 쥬라클 미호크 - |,영원한,확정,영원한,
e08Q,E영원 미호크 먼지 더미1,A13X,0장풍 미호크 영원-강화,Ucs1,시체폭발/죽음의사슬 피해,750000.0,333.0,Trig_Hidden23_rokugu_Actions / Trig_Mihawk_2_Actions,없음,"[Trig_Hidden23_rokugu_Actions] GetRandomInt(1,14)==5 | [Trig_Hidden23_rokugu_Actions] GetUnitStateSwap(UNIT_STATE_MANA,GetAttacker())>=85.00 | [Trig_Mihawk_2_Actions] (s__TrigVariables_Stage[GlobalTV]==51)","Trig_Hidden23_rokugu_Actions[이벤트직결]: (조건없음) | Trig_Mihawk_Attack_Actions[이벤트직결]: NOT(GetUnitStateSwap(UNIT_STATE_MANA,GetAttacker())==175.00)",확정,h03N / h058,[히든조합]료쿠규'신'해군대장 / |CFFFFFA78세계 최강의 대검호 쥬라클 미호크 - |,영원한 / 히든,확정,영원한,
e09G,@초월 나미 아이템 추가번개,A0AY,2범위 나미초월 블리자드2,Hbz2,블리자드 파동당 피해,500000.0,500.0,Trig_Nami_Skill_2_Actions,없음,"[Trig_Nami_Skill_2_Actions] s__TrigVariables_Stage[GlobalTV]==1 AND UnitHasItem(s__TrigVariables__get_unitA(GlobalTV),udg_Item_nami[GetConvertedPlayerId(GetOwningPlayer(s__TrigVariables__get_unitA(GlobalTV)))])==true AND GetRandomInt(1,100)<33","Trig_Nami_Attack_Actions[이벤트직결]: GetRandomInt(1,9)==2",확정,H08V,나미 - 초월함,초월함,확정,초월함,
e09H,@초월 나미 웨더리아3-얼음,A0B0,2범위 나미초월 블리자드3,Hbz2,블리자드 파동당 피해,500000.0,500.0,Trig_Nami_Skill_4_Actions,없음,[Trig_Nami_Skill_4_Actions] s__TrigVariables_Stage[GlobalTV]==0,"Trig_Nami_Attack_Actions[이벤트직결]: UnitHasBuffBJ(GetAttacker(),'B012')==false",확정,H08V,나미 - 초월함,초월함,확정,초월함,
e09I,@초월 나미 웨더리아4-업화피닉스1,A0AZ,2범위 나미초월 블리자드4,Hbz2,블리자드 파동당 피해,500000.0,500.0,Trig_Nami_Skill_4_Actions,없음,[Trig_Nami_Skill_4_Actions] s__TrigVariables_Stage[GlobalTV]==0 AND udg_NamiT_Bool[GetConvertedPlayerId(GetOwningPlayer(s__TrigVariables__get_unitA(GlobalTV)))]==true,"Trig_Nami_Attack_Actions[이벤트직결]: UnitHasBuffBJ(GetAttacker(),'B012')==false",확정,H08V,나미 - 초월함,초월함,확정,초월함,
e09N,@초월 아오키지 아이스볼1,A0BR,0장풍 아오초 아이스볼,Ucs1,시체폭발/죽음의사슬 피해,500000.0,250.0,Trig_Aokigi_skill_2_Actions,없음,[Trig_Aokigi_skill_2_Actions] (s__TrigVariables_Stage[GlobalTV]==0),"Trig_Aokigi_Attack_Actions[이벤트직결]: GetRandomInt(1,25)==10",확정,H097 / H0B1,쿠잔 - 초월함 / 쿠잔초월함,초월함,확정,초월함,
e09O,@초월 아오키지 아이스 파르티잔1,A0BU,3범위 파르티잔 액티브,Htc1,천둥소리 피해,325000.0,450.0,Trig_Aokigi_skill_4_Actions,없음,[Trig_Aokigi_skill_4_Actions] (조건없음),"Trig_Aokigi_Attack_Actions[이벤트직결]: GetRandomInt(1,14)==9",확정,H097 / H0B1,쿠잔 - 초월함 / 쿠잔초월함,초월함,확정,초월함,
e09Q,@초월 로우 메스 1,A0OG,3범위 로우초월 카운터1,Htc1,천둥소리 피해,350000.0,485.0,Trig_Law_Skill_2_Actions,없음,[Trig_Law_Skill_2_Actions] (조건없음),"Trig_Law_Attack_Actions[이벤트직결]: GetRandomInt(1,8)==6 AND NOT(udg_Law_Bool[GetConvertedPlayerId(GetOwningPlayer(GetAttacker()))]==true) | Trig_Law_Attack_Actions[이벤트직결]: GetRandomInt(1,8)==6 AND udg_Law_Bool[GetConvertedPlayerId(GetOwningPlayer(GetAttacker()))]==true",확정,H096,트라팔가 로우- 초월함,초월함,확정,초월함,
e09R,@초월 키자루 레이저1,A0BV,0장풍 키자루초월 레이저,Ucs1,시체폭발/죽음의사슬 피해,500000.0,250.0,Trig_Kizaru_Attack_Actions,없음,"[Trig_Kizaru_Attack_Actions] GetRandomInt(1,10)==2",Trig_Kizaru_Attack_Actions[이벤트직결]: (조건없음),"추정(진입 무조건 — 이벤트 직결, 로컬 조건만)",H0B5,키자루 - 초월함,초월함,확정,초월함,
e0A1,%제한변화 에이스 불주먹3,A0C4,0장풍 에이스 불주먹-4변화1,Ucs1,시체폭발/죽음의사슬 피해,350000.0,240.0,Trig_Transpom_Ace_bulRemake_Actions,없음,[Trig_Transpom_Ace_bulRemake_Actions] s__TrigVariables_Stage[GlobalTV]==4,"Trig_Transpom3_Actions[이벤트직결]: GetRandomInt(1,10)==6",확정,h05V,포트거스.D.에이스 스페이드 해적단 선장 - 변화된,변화된,확정,제한됨,🔴 이름표기≠실제
e0BV,S특별함 에넬 더미,ANfl,포크 라이트닝 에넬 특별함,Ocl1,연쇄번개 피해,1500.0,,Trig_Speical8_Actions,없음,"[Trig_Speical8_Actions] GetRandomInt(1,10)==3",Trig_Speical8_Actions[이벤트직결]: (조건없음),"추정(진입 무조건 — 이벤트 직결, 로컬 조건만)",h00Q,갓 에넬 하늘섬의 가짜신 - 특별함,특별함,확정,특별함,
e0CZ,E영원 핸콕 슬레이브 애로우0,A0OK,0장풍 슬레이브 애로우,Ucs1,시체폭발/죽음의사슬 피해,400000.0,220.0,Trig_arrow_h2_Actions,없음,[Trig_arrow_h2_Actions] (s__TrigVariables_Stage[GlobalTV]==0),"Trig_Hancock_Attack_Actions[이벤트직결]: NOT(GetUnitStateSwap(UNIT_STATE_MANA,GetAttacker())==175.00) AND UnitHasBuffBJ(GetAttacker(),'B03M')==true",확정,h05C,|CFFFFFA78'아마존릴리의 여제'  보아 핸콕 - |,영원한,확정,영원한,
e0D6,%제한변화 에이스 불주먹4,A0C4,0장풍 에이스 불주먹-4변화1,Ucs1,시체폭발/죽음의사슬 피해,350000.0,240.0,Trig_Transpom_Ace_bulRemake_Actions,없음,[Trig_Transpom_Ace_bulRemake_Actions] s__TrigVariables_Stage[GlobalTV]<=3,"Trig_Transpom3_Actions[이벤트직결]: GetRandomInt(1,10)==6",확정,h05V,포트거스.D.에이스 스페이드 해적단 선장 - 변화된,변화된,확정,제한됨,🔴 이름표기≠실제
e0E8,#불멸 흰불 해일 1,A0OZ,0장풍 흰불 해일,Ucs1,시체폭발/죽음의사슬 피해,350000.0,225.0,Trig_Ed_Skill_2sc_Actions,없음,[Trig_Ed_Skill_2sc_Actions] (조건없음),"Trig_Ed_Attack_Actions[이벤트직결]: GetRandomInt(1,8)==5",확정,h04A,에드워드 뉴게이트 한시대를 주름잡던 대해적 - 불멸의,불멸의,확정,불멸의,
e0EB,@초월 키자루 팔척경곡옥1,A0P3,6장풍 팔척경,Ncs1,클러스터로켓 피해,270000.0,650.0,Trig_Bustercall_Etc2_Actions / Trig_Kizaru_Skill_mana_Actions,없음,[Trig_Bustercall_Etc2_Actions] (s__TrigVariables_Stage[GlobalTV]==1) | [Trig_Kizaru_Skill_mana_Actions] (s__TrigVariables_Stage[GlobalTV]==1),"Trig_Bustercall_Etc2_Actions[이벤트직결]: (조건없음) | Trig_Kizaru_Attack_Actions[이벤트직결]: GetRandomInt(1,17)==3 AND GetUnitStateSwap(UNIT_STATE_MANA,GetAttacker())>75.00",확정,H0B5,키자루 - 초월함,초월함,확정,초월함,
e0EF,H히든 미호크 더미,A0B5,0장풍 미호크 히든,Ucs1,시체폭발/죽음의사슬 피해,200000.0,260.0,Trig_Hidden20_Actions,없음,"[Trig_Hidden20_Actions] GetRandomInt(1,10)==3",Trig_Hidden20_Actions[이벤트직결]: (조건없음),"추정(진입 무조건 — 이벤트 직결, 로컬 조건만)",h043,[히든조합]쥬라클 미호크매의 눈,히든,확정,히든,
e0EK,%제한됨변화 도플 둔화2,A078,3범위 도변 둔화,Htc1,천둥소리 피해,100000.0,375.0,Trig_DP_Skill_2_Actions / Trig_Transpom_dp_Actions,없음,"[Trig_DP_Skill_2_Actions] (GetBooleanAnd(Trig_DP_Skill_2_Func003Func004001(),Trig_DP_Skill_2_Func003Func004002())) | [Trig_DP_Skill_2_Actions] (s__TrigVariables_Stage[GlobalTV]==0) | [Trig_DP_Skill_2_Actions] s__TrigVariables_Stage[GlobalTV]==3 | [Trig_Transpom_dp_Actions] (GetBooleanAnd(Trig_Transpom_dp_Func003Func004001(),Trig_Transpom_dp_Func003Func004002())) | [Trig_Transpom_dp_Actions] (s__TrigVariables_Stage[GlobalTV]==0) | [Trig_Transpom_dp_Actions] s__TrigVariables_Stage[GlobalTV]==3","Trig_DP_Attack_Actions[이벤트직결]: GetRandomInt(1,10)==6 | Trig_DP_Attack_gaksung_Actions[이벤트직결]: GetRandomInt(1,9)==6 | Trig_Transpom2_Actions[이벤트직결]: GetRandomInt(1,10)==6",확정,H09D / H09E / h05S,각성 도플라밍고 - 초월함 / 도플라밍고 - 초월함 / 돈키호테 도플라밍고 하늘귀신 - 변화된,변화된 / 초월함,확정,제한됨,🔴 이름표기≠실제
e0EQ,%제한됨변화 레베카 더미13,A0QY,3범위 레베카제한 기본둔화,Htc1,천둥소리 피해,50000.0,460.0,Trig_Rebeca_Skill_1_Actions,없음,[Trig_Rebeca_Skill_1_Actions] (조건없음),"Trig_RebecaAttack_Actions[이벤트직결]: GetRandomInt(1,10)==6 | Trig_RebecaAttack_Actions[이벤트직결]: GetUnitPointValue(GetTriggerUnit())==200 AND GetRandomInt(1,5)==4 | Trig_RebecaAttack_Actions[이벤트직결]: UnitHasBuffBJ(GetTriggerUnit(),'B06B')==true AND GetRandomInt(1,5)==4",확정,h05I,레베카 콜로세움 전설의  후예 - 제한됨,제한됨,확정,제한됨,
e0EZ,%제한됨변화 레베카 더미5,A0QX,3범위 레베카 궤적 둔화,Htc1,천둥소리 피해,100000.0,850.0,Trig_Rebeca_Skill_3_Actions,없음,[Trig_Rebeca_Skill_3_Actions] s__TrigVariables_Stage[GlobalTV]==0,"Trig_RebecaAttack_Actions[이벤트직결]: GetRandomInt(1,12)==6",확정,h05I,레베카 콜로세움 전설의  후예 - 제한됨,제한됨,확정,제한됨,
e0F0,%제한됨변화 레베카 더미1,A0QY,3범위 레베카제한 기본둔화,Htc1,천둥소리 피해,50000.0,460.0,Trig_Rebeca_Skill_1_Actions,없음,[Trig_Rebeca_Skill_1_Actions] (조건없음),"Trig_RebecaAttack_Actions[이벤트직결]: GetRandomInt(1,10)==6 | Trig_RebecaAttack_Actions[이벤트직결]: GetUnitPointValue(GetTriggerUnit())==200 AND GetRandomInt(1,5)==4 | Trig_RebecaAttack_Actions[이벤트직결]: UnitHasBuffBJ(GetTriggerUnit(),'B06B')==true AND GetRandomInt(1,5)==4",확정,h05I,레베카 콜로세움 전설의  후예 - 제한됨,제한됨,확정,제한됨,
e0F1,%제한됨변화 레베카 더미12,A0QY,3범위 레베카제한 기본둔화,Htc1,천둥소리 피해,50000.0,460.0,Trig_Rebeca_Skill_1_Actions,없음,[Trig_Rebeca_Skill_1_Actions] (조건없음),"Trig_RebecaAttack_Actions[이벤트직결]: GetRandomInt(1,10)==6 | Trig_RebecaAttack_Actions[이벤트직결]: GetUnitPointValue(GetTriggerUnit())==200 AND GetRandomInt(1,5)==4 | Trig_RebecaAttack_Actions[이벤트직결]: UnitHasBuffBJ(GetTriggerUnit(),'B06B')==true AND GetRandomInt(1,5)==4",확정,h05I,레베카 콜로세움 전설의  후예 - 제한됨,제한됨,확정,제한됨,
e0F4,%제한됨변화더미 루치 더미 31,A0R6,0장풍 루치초월 람각개조,Ucs1,시체폭발/죽음의사슬 피해,600000.0,225.0,Trig_Luchi_Skill_1_Kick_Actions,없음,[Trig_Luchi_Skill_1_Kick_Actions] s__TrigVariables_Stage[GlobalTV]==1,"Trig_Luchi_Attack_Actions[이벤트직결]: GetRandomReal(1.00,100.00)<=(7.25+(0.01*(I2R(udg_Load_PlayCount[GetConvertedPlayerId(GetOwningPlayer(GetAttacker()))])/ 250.00))) AND NOT(udg_bool_lucchi_tr[GetConvertedPlayerId(GetOwningPlayer(GetAttacker()))]==true) | Trig_Luchi_Attack_Actions[이벤트직결]: GetRandomReal(1.00,100.00)<=(7.25+(0.01*(I2R(udg_Load_PlayCount[GetConvertedPlayerId(GetOwningPlayer(GetAttacker()))])/ 250.00))) AND udg_bool_lucchi_tr[GetConvertedPlayerId(GetOwningPlayer(GetAttacker()))]==true",확정,H08W,로브 루치 - 초월함,초월함,확정,제한됨,🔴 이름표기≠실제
e0F5,%제한됨변화더미 루치 육왕권 더미 1,A0R6,0장풍 루치초월 람각개조,Ucs1,시체폭발/죽음의사슬 피해,600000.0,225.0,Trig_carrot_skill_2_Actions,없음,[Trig_carrot_skill_2_Actions] s__TrigVariables_Stage[GlobalTV]==1,"Trig_carrotattack_Actions[이벤트직결]: GetRandomInt(1,9)==4",확정,h07J,캐럿 스론 달의 사자 - 변화된,변화된,확정,제한됨,🔴 이름표기≠실제
e0F6,%제한됨변화더미 루치 육왕권 더미 2,A0R6,0장풍 루치초월 람각개조,Ucs1,시체폭발/죽음의사슬 피해,600000.0,225.0,Trig_carrot_skill_2_Actions,없음,[Trig_carrot_skill_2_Actions] s__TrigVariables_Stage[GlobalTV]==2,"Trig_carrotattack_Actions[이벤트직결]: GetRandomInt(1,9)==4",확정,h07J,캐럿 스론 달의 사자 - 변화된,변화된,확정,제한됨,🔴 이름표기≠실제
e0F8,%제한됨변화더미 루치 육왕권 더미 4,A0R6,0장풍 루치초월 람각개조,Ucs1,시체폭발/죽음의사슬 피해,600000.0,225.0,Trig_carrot_skill_2_Actions,없음,[Trig_carrot_skill_2_Actions] s__TrigVariables_Stage[GlobalTV]==2,"Trig_carrotattack_Actions[이벤트직결]: GetRandomInt(1,9)==4",확정,h07J,캐럿 스론 달의 사자 - 변화된,변화된,확정,제한됨,🔴 이름표기≠실제
e0FF,%제한됨변화더미 루치 더미 4,A0R6,0장풍 루치초월 람각개조,Ucs1,시체폭발/죽음의사슬 피해,600000.0,225.0,Trig_Luchi_Skill_1_Kick_Actions,없음,[Trig_Luchi_Skill_1_Kick_Actions] s__TrigVariables_Stage[GlobalTV]==1,"Trig_Luchi_Attack_Actions[이벤트직결]: GetRandomReal(1.00,100.00)<=(7.25+(0.01*(I2R(udg_Load_PlayCount[GetConvertedPlayerId(GetOwningPlayer(GetAttacker()))])/ 250.00))) AND NOT(udg_bool_lucchi_tr[GetConvertedPlayerId(GetOwningPlayer(GetAttacker()))]==true) | Trig_Luchi_Attack_Actions[이벤트직결]: GetRandomReal(1.00,100.00)<=(7.25+(0.01*(I2R(udg_Load_PlayCount[GetConvertedPlayerId(GetOwningPlayer(GetAttacker()))])/ 250.00))) AND udg_bool_lucchi_tr[GetConvertedPlayerId(GetOwningPlayer(GetAttacker()))]==true",확정,H08W,로브 루치 - 초월함,초월함,확정,제한됨,🔴 이름표기≠실제
e0FR,E영원 핸콕 슬레이브 애로우2,A0OK,0장풍 슬레이브 애로우,Ucs1,시체폭발/죽음의사슬 피해,400000.0,220.0,Trig_arrow_h2_Actions,없음,[Trig_arrow_h2_Actions] (s__TrigVariables_Stage[GlobalTV]==0),"Trig_Hancock_Attack_Actions[이벤트직결]: NOT(GetUnitStateSwap(UNIT_STATE_MANA,GetAttacker())==175.00) AND UnitHasBuffBJ(GetAttacker(),'B03M')==true",확정,h05C,|CFFFFFA78'아마존릴리의 여제'  보아 핸콕 - |,영원한,확정,영원한,
e0FS,E영원 핸콕 슬레이브 애로우-바람,A0OK,0장풍 슬레이브 애로우,Ucs1,시체폭발/죽음의사슬 피해,400000.0,220.0,Trig_arrow_h2_Actions,없음,[Trig_arrow_h2_Actions] NOT((s__TrigVariables_Stage[GlobalTV]==0)) AND (s__TrigVariables_Stage[GlobalTV]>0 AND s__TrigVariables_Stage[GlobalTV]<4),"Trig_Hancock_Attack_Actions[이벤트직결]: NOT(GetUnitStateSwap(UNIT_STATE_MANA,GetAttacker())==175.00) AND UnitHasBuffBJ(GetAttacker(),'B03M')==true",확정,h05C,|CFFFFFA78'아마존릴리의 여제'  보아 핸콕 - |,영원한,확정,영원한,
