번호,유닛ID,이름,트리거,게이지,임계값,리셋값,증가폭,실주기,증가가확률뒤,원문,비고
014,H098,로빈,Trig_Robin_Attack,LIFE,40.00,1.00,1,39타,아니오(매 평타)," nothing returns nothing if GetUnitStateSwap(UNIT_STATE_LIFE,GetAttacker())==40.00 then call SetUnitLifeBJ(GetAttacker(),1.00) set udg_Hero_Robin[0]=GetAttacker() set udg",체력은 0으로 두면 죽으므로 1로 리셋한다 → 실주기 = 임계−1
015,H09B,우솝,Trig_Usop_Attack,MANA,140.00,0.00,1,140타,아니오(매 평타)," nothing returns nothing if GetUnitStateSwap(UNIT_STATE_MANA,GetAttacker())==140.00 then call SetUnitManaBJ(GetAttacker(),0.00) set udg_Hero[0]=GetAttacker() set udg_Hero",
016,H091,쵸파,Trig_Chopa_Attack,MANA,150.00,❌ 트리거가 리셋 안 함,1,[미확인],아니오(매 평타)," nothing returns nothing if GetUnitStateSwap(UNIT_STATE_MANA,GetAttacker())==150.00 then call IssueImmediateOrderById(GetAttacker(),String2OrderIdBJ(""metamorphosis"")) els","then 블록이 IssueImmediateOrderById(""metamorphosis"")뿐 — 트리거가 리셋하지 않는다. 변신 능력이 마나를 쓰는 엔진 처리로 보이나 [미확인]"
017,H095,아카이누,Trig_Akainu_Attack,MANA,135.00,0.00,1,135타,아니오(매 평타),"Execute(gg_trg_Akainu_01) endif else if GetUnitStateSwap(UNIT_STATE_MANA,GetAttacker())==135.00 then call SetUnitManaBJ(GetAttacker(),0.00) set udg_Hero_Akainu[4]=GetAtta",
018,H09I,브룩,Trig_BrookAttack,MANA,115.00,0.00,1,115타,아니오(매 평타)," nothing returns nothing if GetUnitStateSwap(UNIT_STATE_MANA,GetAttacker())==115.00 then call SetUnitManaBJ(GetAttacker(),0.00) set udg_Hero_Brook[2]=GetAttacker() set ud",
019,H08Z,샹크스,Trig_Shanks_Attack,MANA,35.00,0,[미확인],35타,아니오(매 평타)," nothing returns nothing if GetUnitStateSwap(UNIT_STATE_MANA,GetAttacker())==35.00 then call SetUnitManaBJ(GetAttacker(),0) set udg_Legend_LOC=GetUnitLoc(GetAttacker()) c",
021,h04E,센고쿠,Trig_Sengoku_Attack,LIFE,75.00,1.00,1,74타,아니오(매 평타)," nothing returns nothing if GetUnitStateSwap(UNIT_STATE_LIFE,GetAttacker())==75.00 then call SetUnitLifeBJ(GetAttacker(),1.00) set udg_Hero_Sengoku[0]=GetAttacker() set u",체력은 0으로 두면 죽으므로 1로 리셋한다 → 실주기 = 임계−1
022,h04G,제트,Trig_Z_Attack,MANA,160.00,0.00,1,160타,아니오(매 평타)," nothing returns nothing if GetUnitStateSwap(UNIT_STATE_MANA,GetAttacker())==160.00 then call SetUnitManaBJ(GetAttacker(),0.00) set udg_Hero_Z[0]=GetAttacker() set udg_He",
023,h04C,거프,Trig_Garp_Attack,MANA,160.00,0.00,1,160타,아니오(매 평타),"BJ(""bloodlust""),GetAttacker()) endif if GetUnitStateSwap(UNIT_STATE_MANA,GetAttacker())==160.00 then call SetUnitManaBJ(GetAttacker(),0.00) set udg_Hero_Garp[2]=GetAttack",
024,h04D,드래곤,Trig_Dragon_Attack,MANA,160.00,0.00,1,160타,아니오(매 평타)," nothing returns nothing if GetUnitStateSwap(UNIT_STATE_MANA,GetAttacker())==160.00 then call SetUnitManaBJ(GetAttacker(),0.00) set udg_Hero_dragon[0]=GetAttacker() set u",
025,h04B,시키,Trig_Shiki_Attack,MANA,125.00,0.00,1,125타,아니오(매 평타)," nothing returns nothing if GetUnitStateSwap(UNIT_STATE_MANA,GetAttacker())==125.00 then call SetUnitManaBJ(GetAttacker(),0.00) set udg_Hero_siki[2]=GetAttacker() set udg",
026,h049,레일리,Trig_LaillySkill,MANA,115.00,0.00,1,115타,아니오(매 평타),"lTriggerExecute(gg_trg_LaillySkill1) if GetUnitStateSwap(UNIT_STATE_MANA,GetAttacker())==115.00 then call SetUnitManaBJ(GetAttacker(),0.00) set udg_Hero_leily[2]=GetAttac",
028,h05C,핸콕,Trig_Hancock_Attack,MANA,175.00,0.00,1,175타,아니오(매 평타)," nothing returns nothing if GetUnitStateSwap(UNIT_STATE_MANA,GetAttacker())==175.00 then call SetUnitManaBJ(GetAttacker(),0.00) set udg_Hero_Hancock_E[4]=GetAttacker() se",
