유닛ID,유닛이름,스킬트리거,함수,호출,RRD순번,계산식앞,공격타입,피해타입,방어무시,주의
h01X,몽키.D.루피 기어서드 초신성 - 희귀함,Unique32,Trig_Unique32_Func006Func009A,RRD,1,22500.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h02F,조로 '현상금 사냥꾼' 초신성 - 희귀함,Unique33,Trig_Unique33_Func006Func008A,UnitDamageTargetBJ,1,10000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h02F,조로 '현상금 사냥꾼' 초신성 - 희귀함,Unique33,Trig_Unique33_Func008Func010A,UnitDamageTargetBJ,2,16000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h02E,죠즈 흰수염 3번대 대장 다이아몬드 - 희귀,Unique34,Trig_Unique34_Actions,RRD,1,70000.00,SIEGE,UNKNOWN,?,⚠피해타입 UNKNOWN
h02E,죠즈 흰수염 3번대 대장 다이아몬드 - 희귀,Unique34,Trig_Unique34_Actions,RRD,2,35000.00,SIEGE,UNKNOWN,?,⚠피해타입 UNKNOWN
h01Y,모몬가 G1 지부의 수장 - 희귀함,Unique35,Trig_Unique35_Func031A,RRD,1,7000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h01Y,모몬가 G1 지부의 수장 - 희귀함,Unique35,Trig_Unique35_Actions,RRD,2,I2R(s__TrigVariables__get_integerC(GlobalTV)),NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h03M,[히든조합]사보 - 용조권,Hidden1,Trig_Hidden1_Func007A,RRD,1,450000.00,CHAOS,UNIVERSAL,O,
h03M,[히든조합]사보 - 용조권,Hidden1,Trig_Hidden1_Actions,RRD,2,"((GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*0.0",HERO,NORMAL,X,
h03M,[히든조합]사보 - 용조권,Hidden1,Trig_Hidden1_Actions,RRD,3,300000.00,HERO,UNIVERSAL,O,
h03M,[히든조합]사보 - 용조권,Hidden1,Trig_Hidden1_Actions,RRD,4,5000000.00,CHAOS,UNIVERSAL,O,
h076,[히든조합]엠포리오 이완코브임펠다운 5.5층,Hidden3buggi,Trig_Hidden3buggi_Func008A,RRD,1,100000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h047,[히든조합]피셔 타이거마리조아 노예시장 파괴,Hidden4,Trig_Hidden4_Actions,RRD,1,177777.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h047,[히든조합]피셔 타이거마리조아 노예시장 파괴,Hidden4,Trig_Hidden4_Actions,RRD,2,"(GetUnitStateSwap(UNIT_STATE_LIFE,GetTriggerUnit())*(0.025))",HERO,UNIVERSAL,O,
h03Z,[히든조합]아카이누흰수염을죽인 붉은개,Hidden5,Trig_Hidden5_Func007A,RRD,1,100000.00,MAGIC,UNIVERSAL,O,
h03Z,[히든조합]아카이누흰수염을죽인 붉은개,Hidden5,Trig_Hidden5_Actions,RRD,2,305000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h03Z,[히든조합]아카이누흰수염을죽인 붉은개,Hidden5,Trig_Hidden5_Actions,RRD,3,765000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h03Z,[히든조합]아카이누흰수염을죽인 붉은개,Hidden5,Trig_Hidden5_Actions,RRD,4,"(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*(0.1",NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h03Z,[히든조합]아카이누흰수염을죽인 붉은개,Akainu_02_hidden,Trig_Akainu_02_hidden_Func023A,RRD,1,300000.00,CHAOS,UNIVERSAL,O,
h03Z,[히든조합]아카이누흰수염을죽인 붉은개,Akainu_02_hidden,Trig_Akainu_02_hidden_Actions,RRD,2,1000000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h03Z,[히든조합]아카이누흰수염을죽인 붉은개,Akainu_02_hidden,Trig_Akainu_02_hidden_Actions,RRD,3,"(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__TrigVariables__get_",NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h041,[히든조합]쿠잔푸른 꿩,Hidden6,Trig_Hidden6_Actions,RRD,1,330000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h044,[히든조합]검호 류마흑도 슈스이의 주인,Hidden8,Trig_Hidden8_Func010A,RRD,1,80000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h044,[히든조합]검호 류마흑도 슈스이의 주인,Hidden8,Trig_Hidden8_Actions,RRD,2,10000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h044,[히든조합]검호 류마흑도 슈스이의 주인,Hidden8,Trig_Hidden8_Actions,RRD,3,"((GetUnitStateSwap(UNIT_STATE_LIFE,GetTriggerUnit())*0.19)*(",PIERCE,UNIVERSAL,O,
h044,[히든조합]검호 류마흑도 슈스이의 주인,Hidden8,Trig_Hidden8_Actions,RRD,4,150000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h03X,[히든조합]갓 에넬방주 맥심,Hidden9,Trig_Hidden9_Func009A,RRD,1,2150000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h03X,[히든조합]갓 에넬방주 맥심,Hidden9,Trig_Hidden9_Func017A,RRD,2,150000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h03L,[히든조합]사우전드 써니호밀짚모자해적단,Hidden11,Trig_Hidden11_Actions,RRD,1,"(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*(0.3",NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h03U,[히든조합]레드포스 호사황 샹크스의 붉은용,Hidden12,Trig_Hidden12_Actions,RRD,1,275000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h03U,[히든조합]레드포스 호사황 샹크스의 붉은용,Hidden12,Trig_Hidden12_Actions,RRD,2,"(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*0.01",NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h03U,[히든조합]레드포스 호사황 샹크스의 붉은용,Hidden12,Trig_Hidden12_Actions,RRD,3,"(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*(0.0",NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h03R,[히든조합]반 더 데켄어인섬 절반면적의 노아,deken_skill_1,Trig_deken_skill_1_Actions,RRD,1,120000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h03R,[히든조합]반 더 데켄어인섬 절반면적의 노아,deken_Mana,Trig_deken_Mana_Func004Func006A,RRD,1,"(2200000.00+(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetEnumUni",NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h048,[히든조합]페로나고스트 프린세스,Hidden14,Trig_Hidden14_Actions,UnitDamageTargetBJ,1,1200000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h048,[히든조합]페로나고스트 프린세스,Hidden14_perona_use2,Trig_Hidden14_perona_use2_Func005Func005A,RRD,1,(125000.00+(125000.00*s__TrigVariables__get_realC(GlobalTV)),NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
,,Hidden14_perona_missile,Trig_Hidden14_perona_missile_Func004Func004A,RRD,1,8050000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h048,[히든조합]페로나고스트 프린세스,perona_Mana,Trig_perona_Mana_Func004Func006A,RRD,1,(2250000.00+(s__TrigVariables__get_realE(GlobalTV)*150000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h03V,[히든조합]코알라혁명군-어인공수도대리사범,koalla_skill_Mana,Trig_koalla_skill_Mana_Func004Func010A,RRD,1,"(500000.00+(40000.00*I2R(GetPlayerTechCountSimple('R01O',Get",NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h03V,[히든조합]코알라혁명군-어인공수도대리사범,koalla_skill_Mana,Trig_koalla_skill_Mana_Func005Func003A,RRD,2,"(500000.00+(40000.00*I2R(GetPlayerTechCountSimple('R01O',Get",CHAOS,NORMAL,X,
h03V,[히든조합]코알라혁명군-어인공수도대리사범,koalla_skill_Mana,Trig_koalla_skill_Mana_Func006Func004A,RRD,3,"(850000.00+(40000.00*I2R(GetPlayerTechCountSimple('R01O',Get",NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h03V,[히든조합]코알라혁명군-어인공수도대리사범,koalla_skill_1,Trig_koalla_skill_1_Func004Func009A,RRD,1,"(525000.00+(52500.00*I2R(GetPlayerTechCountSimple('R01O',Get",CHAOS,NORMAL,X,
h03V,[히든조합]코알라혁명군-어인공수도대리사범,koalla_skill_1,Trig_koalla_skill_1_Actions,RRD,2,525000.00,MAGIC,UNIVERSAL,O,
h03J,[히든조합]시류비의 시류,Hidden15,Trig_Hidden15_Actions,RRD,1,"((GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*0.0",PIERCE,UNIVERSAL,O,
h03J,[히든조합]시류비의 시류,Hidden15,Trig_Hidden15_Actions,UnitDamageTargetBJ,2,300000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h03J,[히든조합]시류비의 시류,siru_R,Trig_siru_R_Func012A,RRD,1,(1500000.00+(s__TrigVariables__get_realE(GlobalTV)*80000.00),NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h045,[히든조합]킬러초신성 - 살육무사,Hidden16,Trig_Hidden16_Actions,RRD,1,85000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h045,[히든조합]킬러초신성 - 살육무사,Hidden16,Trig_Hidden16_Actions,RRD,2,"(GetUnitStateSwap(UNIT_STATE_LIFE,GetTriggerUnit())*(0.008))",NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h045,[히든조합]킬러초신성 - 살육무사,Hidden16,Trig_Hidden16_Actions,RRD,3,"(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*(0.0",NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h046,[히든조합]킨에몬여우불의 사무라이,Hidden17,Trig_Hidden17_Func007A,RRD,1,200000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h046,[히든조합]킨에몬여우불의 사무라이,Hidden17,Trig_Hidden17_Actions,RRD,2,100000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h03W,[히든조합]귀죽의 베르고해군 중장,Hidden19,Trig_Hidden19_Func008A,RRD,1,240000.00,SIEGE,NORMAL,X,
h03W,[히든조합]귀죽의 베르고해군 중장,Hidden19,Trig_Hidden19_Func018A,RRD,2,240000.00,SIEGE,NORMAL,X,
h03W,[히든조합]귀죽의 베르고해군 중장,Hidden19,Trig_Hidden19_Actions,RRD,3,300000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h043,[히든조합]쥬라클 미호크매의 눈,Hidden20,Trig_Hidden20_Actions,RRD,1,252500.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h07L,[히든조합]캐럿밍크족 토끼,Hidden21,Trig_Hidden21_Func005A,RRD,1,350000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h03N,[히든조합]료쿠규'신'해군대장,Hidden23_rokugu,Trig_Hidden23_rokugu_Func010A,RRD,1,1500000.00,CHAOS,NORMAL,X,
h03N,[히든조합]료쿠규'신'해군대장,Hidden23_rokugu,Trig_Hidden23_rokugu_Func026A,RRD,2,400000.00,CHAOS,NORMAL,X,
h03N,[히든조합]료쿠규'신'해군대장,Hidden23_rokugu,Trig_Hidden23_rokugu_Actions,RRD,3,3375000.00,CHAOS,UNIVERSAL,O,
h02X,몽키.D.루피 '기어 2' Jet 개틀링 -,Legend0,Trig_Legend0_Func008A,RRD,1,47500.00,SIEGE,NORMAL,X,
h034,상디 검은다리 '슈트 코스' - 전설적인,Legend1sc,Trig_Legend1sc_Func004,RRD,1,100000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h034,상디 검은다리 '슈트 코스' - 전설적인,Legend1sc,Trig_Legend1sc_Actions,RRD,2,"((GetUnitStateSwap(UNIT_STATE_LIFE,GetTriggerUnit())*0.18)*(",SIEGE,UNIVERSAL,O,
h034,상디 검은다리 '슈트 코스' - 전설적인,Legend1sc,Trig_Legend1sc_Actions,RRD,3,280000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h03G,징베 전 칠무해 어인족 수장 - 전설적인,Legend2,Trig_Legend2_Actions,RRD,1,1000000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
,,Legend4sc_Filterfunc001,Legend4sc_Filterfunc001,RRD,1,105000.00,CHAOS,NORMAL,X,
h03B,에드워드 뉴게이트 '사황' 흰수염 해적단의 ,Legend51,Trig_Legend51_Func032A,RRD,1,"((1250000.00+(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetEnumUn",HERO,NORMAL,X,
h03B,에드워드 뉴게이트 '사황' 흰수염 해적단의 ,Legend51,Trig_Legend51_Actions,RRD,2,"((1250000.00+(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__TrigVa",HERO,NORMAL,X,
h030,바솔로뮤 쿠마 폭군 - 전설적인,Legend6,Trig_Legend6_Func003Func012A,RRD,1,"(2450000.00+((GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetEnumUn",NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h03A,실버즈 레일리 로저해적단 부선장 - 전설적인,Legend7,Trig_Legend7_Func008A,RRD,1,1200000.00,CHAOS,NORMAL,X,
h036,센고쿠 전 해군 원수 - 전설적인,Legend8,Trig_Legend8_Actions,RRD,1,465000.00,HERO,NORMAL,X,
h02V,스모커 집념의 해군 중장 - 전설적인,Legend9,Trig_Legend9_Func013A,RRD,1,450000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h02V,스모커 집념의 해군 중장 - 전설적인,Legend9,Trig_Legend9_Func023A,RRD,2,200000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h02V,스모커 집념의 해군 중장 - 전설적인,Legend9,Trig_Legend9_Actions,RRD,3,450000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
,,Legend10_shanks_pegi1,Trig_Legend10_shanks_pegi1_Actions,RRD,1,"(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*0.03",NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
,,Legend10_shanks_pegi2,Trig_Legend10_shanks_pegi2_Actions,RRD,1,"(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*0.03",NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
,,Legend10_shanks_pegi3,Trig_Legend10_shanks_pegi3_Actions,RRD,1,"(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*0.03",NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
,,Legend10_shanks_pegi4,Trig_Legend10_shanks_pegi4_Actions,RRD,1,"(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*0.03",NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h031,후지토라 잇쇼우 '신'해군대장 - 전설적인,Legend11,Trig_Legend11_Actions,RRD,1,577500.00,CHAOS,NORMAL,X,
h02Q,라분 레드라인을 넘으려는 향유고래 - 전설적,Legend12,Trig_Legend12_Func017A,RRD,1,GetEventDamage(),CHAOS,NORMAL,X,
h02Q,라분 레드라인을 넘으려는 향유고래 - 전설적,Legend12,Trig_Legend12_Func023A,RRD,2,175000.00,MAGIC,UNIVERSAL,O,
h02Q,라분 레드라인을 넘으려는 향유고래 - 전설적,Legend12,Trig_Legend12_Func033A,RRD,3,175000.00,MAGIC,UNIVERSAL,O,
h02Q,라분 레드라인을 넘으려는 향유고래 - 전설적,Legend12,Trig_Legend12_Actions,RRD,4,(15000.00+(3000.00*I2R(GetUnitPointValue(s__TrigVariables__g,SIEGE,UNIVERSAL,O,
h02Q,라분 레드라인을 넘으려는 향유고래 - 전설적,Legend12,Trig_Legend12_Actions,RRD,5,(15000.00+(3000.00*I2R(GetUnitPointValue(s__TrigVariables__g,SIEGE,UNIVERSAL,O,
h02S,롤로노아 조로 죽음의경지'사자의노래' - 전,Legend13_2,Trig_Legend13_2_Func017A,RRD,1,120000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h02S,롤로노아 조로 죽음의경지'사자의노래' - 전,Legend13_2,Trig_Legend13_2_Actions,RRD,2,750000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h02S,롤로노아 조로 죽음의경지'사자의노래' - 전,Legend13_2,Trig_Legend13_2_Actions,RRD,3,"((GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__TrigVariables__get",PIERCE,UNIVERSAL,O,
h02S,롤로노아 조로 죽음의경지'사자의노래' - 전,Legend13_2,Trig_Legend13_2_Actions,RRD,4,1500000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h032,보아 핸콕 쿠사 해적단 선장 - 전설적인,Legend_han_1,Trig_Legend_han_1_Func018A,RRD,1,150000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h032,보아 핸콕 쿠사 해적단 선장 - 전설적인,Legend_han_1,Trig_Legend_han_1_Actions,RRD,2,"((GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__TrigVariables__get",CHAOS,UNIVERSAL,O,
h032,보아 핸콕 쿠사 해적단 선장 - 전설적인,Legend_han_1,Trig_Legend_han_1_Actions,RRD,3,112500.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
,,Legend_han_kiss_damagesc,Trig_Legend_han_kiss_damagesc_Func004,RRD,1,((GetEventDamage()*1.25)+80000.00),CHAOS,UNIVERSAL,O,
,,Legend_han_kiss_damagesc,Trig_Legend_han_kiss_damagesc_Actions,RRD,2,"((GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__TrigVariables__get",CHAOS,UNIVERSAL,O,
,,Legend_han_kiss_damagesc,Trig_Legend_han_kiss_damagesc_Actions,RRD,3,150000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h02Z,바르토로메오 신예 초신성- 식인 - 전설적인,Legend15,Trig_Legend15_Func008A,RRD,1,(150000.00+(1500.00*I2R(GetUnitPointValue(GetEnumUnit())))),NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
,,Legend16sc_Filterfunc002,Legend16sc_Filterfunc002,RRD,1,"((275000.00+(GetUnitStateSwap(UNIT_STATE_LIFE,GetTriggerUnit",CHAOS,UNIVERSAL,O,
,,Legend16sc_Filterfunc001,Legend16sc_Filterfunc001,RRD,1,"((182500.00+(GetUnitStateSwap(UNIT_STATE_LIFE,GetTriggerUnit",CHAOS,UNIVERSAL,O,
h03C,트라팔가 로우 하트 해적단 선장 - 전설적인,Legend16sc,Trig_Legend16sc_Actions,RRD,1,"(10000.00+(GetUnitStateSwap(UNIT_STATE_LIFE,GetTriggerUnit()",NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h02T,마르코 환수종'불사조' - 전설적인,Legend17_Marcodamage,Trig_Legend17_Marcodamage_Func017A,RRD,1,(12500.00+(0.85*GetEventDamage())),CHAOS,NORMAL,X,
h02T,마르코 환수종'불사조' - 전설적인,Legend17_MacroLifeSkill,Trig_Legend17_MacroLifeSkill_Func025A,RRD,1,(500000.00+(5.00*s__TrigVariables__get_realD(GlobalTV))),CHAOS,NORMAL,X,
h02T,마르코 환수종'불사조' - 전설적인,Legend17_MacroLifeSkill,Trig_Legend17_MacroLifeSkill_Actions,RRD,2,(400000.00+(2.00*s__TrigVariables__get_realD(GlobalTV))),CHAOS,UNIVERSAL,O,
h02O,골.D.에이스 해적왕의 아들 - 전설적인,Legend18,Trig_Legend18_Func022A,RRD,1,200000.00,MAGIC,UNIVERSAL,O,
h02O,골.D.에이스 해적왕의 아들 - 전설적인,Legend18,Trig_Legend18_Actions,RRD,2,400000.00,MAGIC,UNIVERSAL,O,
h033,빈스모크 레이쥬 포이즌 핑크 - 전설적인,Legend19_0,Trig_Legend19_0_Func023A,RRD,1,100000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h033,빈스모크 레이쥬 포이즌 핑크 - 전설적인,Legend19_0,Trig_Legend19_0_Actions,RRD,2,"((GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVariables__get_uni",PIERCE,UNIVERSAL,O,
h033,빈스모크 레이쥬 포이즌 핑크 - 전설적인,Legend19_0,Trig_Legend19_0_Actions,RRD,3,"((GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVariables__get_uni",PIERCE,UNIVERSAL,O,
