표,유닛ID,트리거,순번,옛값,새값,비고
ORIGINAL_UNLISTED_SKILL_EFFECTS,H08Y,Franky_Skill_Mana1,1,mul= bonus=4e+06,mul= bonus=4000000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,H090,Tichi_skill_1,1,mul= bonus=4e+06,mul= bonus=4000000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,H090,Tichi_skill_1,2,mul= bonus=1e+06,mul= bonus=1000000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,H090,Tichi_skill_1,3,mul= bonus=2e+06,mul= bonus=2000000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,H092,Sabo_Mana,1,mul= bonus=3.75e+06,mul= bonus=3750000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,H098,Robine_skill_2,1,range=700.00 target=Enemies,range=525.00 target=Enemies,그룹 반경을 전역이 아니라 계열 안에서 해석
ORIGINAL_UNLISTED_SKILL_EFFECTS,H098,Robine_skill_3,1,range=700.00 target=Enemies,range=350.00 target=Enemies,그룹 반경을 전역이 아니라 계열 안에서 해석
ORIGINAL_UNLISTED_SKILL_EFFECTS,H09D,DP_AttackDamagegaksung,1,range=275.00 target=Enemies,range=350.00 target=Enemies,그룹 반경을 전역이 아니라 계열 안에서 해석
ORIGINAL_UNLISTED_SKILL_EFFECTS,H09F,Zoro_Samchun2,2,mul= bonus=2.5e+06,mul= bonus=2500000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,H09F,Zoro_samchun1,1,mul= bonus=2.5e+06,mul= bonus=2500000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,H09G,Sandi_skill_Mana2,1,mul= bonus=3.33e+06,mul= bonus=3330000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,H09G,Sandi_skill_Mana2,3,mul= bonus=2.075e+06,mul= bonus=2075000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,H0B2,Snake_3_Kingkobra,2,mul= bonus=1.875e+06,mul= bonus=1875000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,H0BD,Yamato_Dash,1,range=425.00 target=Enemies,range=450.00 target=Enemies,그룹 반경을 전역이 아니라 계열 안에서 해석
ORIGINAL_UNLISTED_SKILL_EFFECTS,h08I,Byakuya_R,1,mul= bonus=5e+06,mul= bonus=5000000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h09N,BronyaMotar_R,1,mul= bonus=1e+06,mul= bonus=1000000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h09N,BronyaMotar_R,2,mul= bonus=2.5e+06,mul= bonus=2500000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h09R,Jotaro_R,1,mul= bonus=2.5e+06,mul= bonus=2500000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h0A2,Ryougi_Shiki_2,1,mul= bonus=1.15e+06,mul= bonus=1150000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h0A2,Ryougi_Shiki_2,4,mul= bonus=8.15e+06,mul= bonus=8150000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h0A2,Ryougi_Shiki_2,5,mul= bonus=1.44e+06,mul= bonus=1440000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h0A2,Ryougi_Shiki_R2,1,mul= bonus=5e+06,mul= bonus=5000000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h0A2,Ryougi_Shiki_R2,4,mul= bonus=1.44e+06,mul= bonus=1440000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h0A2,Ryougi_Skill_3,1,mul= bonus=1.44e+06,mul= bonus=1440000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h0A2,Ryougi_Skill_3,2,mul= bonus=4e+06,mul= bonus=4000000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h0A2,Ryougi_Skill_3_double,1,mul= bonus=1.44e+06,mul= bonus=1440000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h0A2,Ryougi_Skill_3_double,2,mul= bonus=4e+06,mul= bonus=4000000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h0A2,Ryougi_Skill_3_triple,1,mul= bonus=1.44e+06,mul= bonus=1440000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h0A2,Ryougi_Skill_3_triple,2,mul= bonus=3.2e+06,mul= bonus=3200000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h0A6,Yukari_D2,1,mul= bonus=2e+06,mul= bonus=2000000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h0A6,Yukari_D2,2,mul= bonus=3e+06,mul= bonus=3000000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h0A6,Yukari_W,1,mul= bonus=3.2e+06,mul= bonus=3200000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h0BC,Tatsumaki_T_Explosion_by_AZ_Attack,1,mul= bonus=4e+06,mul= bonus=4000000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h0BF,kikoyou_hp,1,mul= bonus=1.5e+06,mul= bonus=1500000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h0BF,kikoyou_hp,2,mul= bonus=1.5e+06,mul= bonus=1500000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h0BF,kikoyou_hp,4,mul= bonus=1e+06,mul= bonus=1000000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h04B,Shiki_Lion,1,mul= bonus=3.25e+06,mul= bonus=3250000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h04F,Gaban_Skill_1,1,mul= bonus=8.75e+06,mul= bonus=8750000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h04G,Z_skill_3,1,mul= bonus=1e+06,mul= bonus=1000000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h04J,roger_Mana,1,mul= bonus=7.25e+06,mul= bonus=7250000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h04J,roger_Skill_2,1,mul= bonus=1.45e+06,mul= bonus=1450000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h0AD,Kaido_Dragon_Skill_2,1,range=500.00 target=Enemies,range=515.00 target=Enemies,그룹 반경을 전역이 아니라 계열 안에서 해석
ORIGINAL_UNLISTED_SKILL_EFFECTS,h0AD,Kaido_Dragon_Skill_2,2,range=500.00 target=Enemies,range=515.00 target=Enemies,그룹 반경을 전역이 아니라 계열 안에서 해석
ORIGINAL_UNLISTED_SKILL_EFFECTS,h040,Ain_Skill_1,3,mul= bonus=3.5e+06,mul= bonus=3500000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h040,Ain_Skill_2,1,range=475.00 target=Enemies,range=500.00 target=Enemies,그룹 반경을 전역이 아니라 계열 안에서 해석
ORIGINAL_UNLISTED_SKILL_EFFECTS,h040,Ain_Skill_2,2,range=475.00 target=Enemies,range=500.00 target=Enemies,그룹 반경을 전역이 아니라 계열 안에서 해석
ORIGINAL_UNLISTED_SKILL_EFFECTS,h040,Ain_Skill_2,3,range=475.00 target=Enemies,range=500.00 target=Enemies,그룹 반경을 전역이 아니라 계열 안에서 해석
ORIGINAL_UNLISTED_SKILL_EFFECTS,h040,Ain_Skill_2,4,mul= bonus=3.5e+06,mul= bonus=3500000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h05F,cro_skill_2,1,mul= bonus=1e+06,mul= bonus=1000000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h084,Sinobu_Skill_hp2,1,mul= bonus=2.25e+06,mul= bonus=2250000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h09Q,Marco_Feather2,1,range=285.00 target=Enemies,range=525.00 target=Enemies,그룹 반경을 전역이 아니라 계열 안에서 해석
ORIGINAL_UNLISTED_SKILL_EFFECTS,h0AI,King_skill_2_tr,1,mul= bonus=1.275e+06,mul= bonus=1275000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h0AI,King_skill_2_tr,2,mul= bonus=1e+07,mul= bonus=10000000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h02S,Legend13_2,4,mul= bonus=1.5e+06,mul= bonus=1500000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h02T,Legend17_MacroLifeSkill,1,range=285.00 target=Enemies,range=525.00 target=Enemies,그룹 반경을 전역이 아니라 계열 안에서 해석
ORIGINAL_UNLISTED_SKILL_EFFECTS,h02U,Legend26_tichi_crows,1,mul= bonus=4e+06,mul= bonus=4000000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h059,ace_skill_3,1,mul= bonus=1e+06,mul= bonus=1000000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h05B,Cavendish_skill_Mana,3,mul= bonus=1e+06,mul= bonus=1000000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h05C,hancock_skill_10,1,mul= bonus=1e+06,mul= bonus=1000000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h067,Uta_skill_3_mana,1,mul= bonus=2.5e+06,mul= bonus=2500000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h088,tots_R,1,mul= bonus=4.5e+06,mul= bonus=4500000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h08R,Odeng_Skill,1,mul= bonus=1.15e+06,mul= bonus=1150000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h08R,Odeng_Skill_mana,1,mul= bonus=4e+06,mul= bonus=4000000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h03Z,Akainu_02_hidden,2,mul= bonus=1e+06,mul= bonus=1000000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h05V,Transpom_AceMana,1,mul= bonus=1.85e+06,mul= bonus=1850000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,h077,Bugi_SommonDamage2,1,range=450.00 target=Enemies,range=325.00 target=Enemies,그룹 반경을 전역이 아니라 계열 안에서 해석
