우리에셋,원작능력ID,더미경로,base,문제의필드,triggerChance,로스터배선유닛,지금도는가,우리효과목록(파일전체),필드값,1_필드뜻,2_atar,3_오더,4_판정
SkillData_원작능력_전설적인_진연서.asset,A083,Trig_Legend7 -> e00J(!전설 레일리 마나스킬 더미3) -> A083,Asph,(피해 필드 없음),1.0,전설적인_진연서,Y,kind0/basis0/mult1200000.0/bonus0.0 | kind0/basis0/mult1200000.0/bonus0.0 | kind0/basis0/mult2.0/bonus0.0 | kind0/basis0/mult1200000.0/bonus0.0 | kind0/basis0/mult2.0/bonus0.0 | kind0/basis0/mult1.0/bonus0.0 | kind0/basis3/mult0.0/bonus80000.0,,🔴 스피어 — 데이터 필드가 아예 없다(형제 70개 전부). 순수 시각 이펙트,🔴 <미지정>,N/A(피해 필드가 없다),🔴 피해 아님 — 제거
SkillData_원작능력_불멸_고도현.asset,A08O,Trig_Shiki_Attack -> e026(#불멸 시키 더미) -> A08O,AOws,Wrs1,1.0,불멸_고도현,Y,kind0/basis0/mult750000.0/bonus0.0 | kind0/basis0/mult3250000.0/bonus0.0 | kind0/basis0/mult250000.0/bonus0.0 | kind0/basis1/mult0.025/bonus0.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis0/mult400000.0/bonus0.0 | kind0/basis0/mult-7.0/bonus0.0,400000.0,전투의 함성 — 피해,N/A(시전형),OK (stomp),✅ 유효
SkillData_원작능력_불멸_김용태.asset,A08V,Trig_Dragon_Attack -> e02L(#불멸 드래곤스턴2) -> A08V,AOws,Wrs1,0.18,불멸_김용태,Y,kind0/basis0/mult800000.0/bonus0.0 | kind0/basis0/mult7250000.0/bonus0.0 | kind0/basis0/mult250000.0/bonus0.0 | kind0/basis3/mult0.0/bonus500000.0 | kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult800000.0/bonus0.0 | kind0/basis0/mult0.5/bonus0.0,250000.0,전투의 함성 — 피해,N/A(시전형),OK (stomp),✅ 유효
SkillData_원작능력_랜덤_모몬가.asset,A093,Trig_ichigo1 -> e0O7(!이치고 월아) -> A093,ACca,Ucs1,1.0,랜덤_모몬가,Y,kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult100000.0/bonus0.0 | kind0/basis1/mult0.02/bonus0.0 | kind0/basis0/mult1150.0/bonus0.0,450000.0,시체폭발(크립) — 피해,N/A(시전형),🔴 오더 없음,🔴 미작동 — 제거
SkillData_원작능력_희귀함_박민수.asset,A095,Trig_Unique2 -> e031(!전설 제프공속증가) -> A095,Ablo,(피해 필드 없음),1.0,희귀함_박민수,Y,kind0/basis0/mult4.0/bonus0.0,,🔴 블러드러스트 — Blo1은 공격속도/공격력 증가. 피해 아님,N/A(시전형),N/A(피해 필드가 없다),🔴 피해 아님 — 제거
SkillData_원작능력_희귀함_서민성.asset,A097,Trig_Unique14 -> e038(H히든 카쿠 더미) -> A097,ACca,Ucs1,1.0,희귀함_서민성,Y,kind0/basis0/mult1050.0/bonus0.0 | kind0/basis3/mult0.0/bonus5000.0,8000.0,시체폭발(크립) — 피해,N/A(시전형),OK (carrionswarm),✅ 유효
SkillData_원작능력_희귀함_박은석.asset,A09A,Trig_Unique9 -> e03M(U희귀함 키자루 더미) -> A09A,AOcl,Ocl1,1.0,희귀함_박은석,Y,kind0/basis0/mult8.0/bonus0.0,6000.0,연쇄번개 — 피해,N/A(시전형),OK (chainlightning),✅ 유효
SkillData_원작능력_희귀함_이상혁.asset,A09W,Trig_Unique12 -> e059(U희귀함 도플 더미) -> A09W,AHtc,Htc1,0.0909090909090909,희귀함_이상혁,Y,kind0/basis0/mult6000.0/bonus0.0 | kind0/basis0/mult6000.0/bonus0.0 | kind0/basis0/mult6000.0/bonus0.0,6000.0,천둥소리 — 피해,N/A(시전형),🔴 오더 없음,🔴 미작동 — 제거
SkillData_원작능력_특별함_최준우.asset,A09X,Trig_Speical3 -> e05B(S특별함 마르코 더미) -> A09X,AEfk,Efk1,0.3,특별함_최준우,Y,kind0/basis0/mult1500.0/bonus0.0,1500.0,칼날폭풍 — 피해,N/A(시전형),OK (fanofknives),✅ 유효
SkillData_원작능력_희귀함_이승우.asset,A09Y,Trig_Unique4 -> e05C(U희귀함 마르코 더미) -> A09Y,AEfk,Efk1,0.2,희귀함_이승우,Y,kind0/basis0/mult12000.0/bonus0.0,12000.0,칼날폭풍 — 피해,N/A(시전형),OK (fanofknives),✅ 유효
SkillData_원작능력_특별함_조성진.asset,A09Z,Trig_Speical6 -> e05D(S특별함 상디 더미) -> A09Z,AHtb,Htb1,1.0,특별함_조성진,Y,kind0/basis0/mult500.0/bonus0.0,500.0,폭풍망치 — 피해,N/A(시전형),OK (thunderbolt),✅ 유효
SkillData_원작능력_특별함_조도연.asset,A0A0,Trig_Speical5 -> e05F(S특별함 루피 더미) -> A0A0,Ablo,(피해 필드 없음),0.6,특별함_조도연,Y,kind0/basis0/mult3.6/bonus0.0 | kind0/basis3/mult0.0/bonus30.0,,🔴 블러드러스트 — Blo1은 공격속도/공격력 증가. 피해 아님,N/A(시전형),N/A(피해 필드가 없다),🔴 피해 아님 — 제거
SkillData_원작능력_특별함_조세민.asset,A0A1,Trig_Speical7 -> e05G(S특별함 루치 더미) -> A0A1,ACca,Ucs1,0.2,특별함_조세민,Y,kind0/basis0/mult600.0/bonus0.0 | kind0/basis3/mult2.0/bonus0.0,600.0,시체폭발(크립) — 피해,N/A(시전형),OK (carrionswarm),✅ 유효
SkillData_원작능력_안흔함_이호준.asset,A0A2,Trig_common1 -> e0DG(안흔함 더미1) -> A0A2,ACca,Ucs1,1.0,안흔함_이호준,Y,kind0/basis0/mult150.0/bonus0.0 | kind0/basis3/mult1.5/bonus0.0,150.0,시체폭발(크립) — 피해,N/A(시전형),OK (carrionswarm),✅ 유효
SkillData_원작능력_안흔함_황정기.asset,A0A2,Trig_common2 -> e0DG(안흔함 더미1) -> A0A2,ACca,Ucs1,1.0,안흔함_황정기,Y,kind0/basis0/mult150.0/bonus0.0 | kind0/basis3/mult1.5/bonus0.0,150.0,시체폭발(크립) — 피해,N/A(시전형),OK (carrionswarm),✅ 유효
SkillData_원작능력_희귀함_박수찬.asset,A0AX,Trig_Unique10 -> e0BU(U희귀함 아카이누 더미) -> A0AX,ACbz,Hbz2,1.0,희귀함_박수찬,Y,kind0/basis0/mult2.0/bonus0.0,6000.0,블리자드 — 파동당 피해,N/A(시전형),OK (blizzard),✅ 유효
SkillData_원작능력_영원_최상호.asset,A0B3,Trig_Cavendish_Attack -> e08G(E영원 캐번디시 1스킬 더미1) -> A0B3,AOws,Wrs1,0.1,영원_최상호,Y,kind0/basis0/mult2775000.0/bonus0.0 | kind0/basis0/mult1150000.0/bonus0.0 | kind0/basis0/mult2775000.0/bonus0.0 | kind0/basis0/mult1625000.0/bonus0.0 | kind0/basis0/mult950000.0/bonus0.0 | kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult50000.0/bonus0.0 | kind0/basis0/mult2775000.0/bonus0.0 | kind0/basis0/mult1625000.0/bonus0.0 | kind0/basis0/mult950000.0/bonus0.0 | kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult50000.0/bonus0.0 | kind0/basis0/mult50000.0/bonus0.0 | kind0/basis3/mult10.0/bonus400000.0 | kind0/basis3/mult3.5/bonus0.0 | kind0/basis3/mult0.0/bonus0.0,50000.0,전투의 함성 — 피해,N/A(시전형),OK (stomp),✅ 유효
SkillData_원작능력_희귀함_배병규.asset,A0BE,Trig_Unique3 -> e092(U희귀함 샹크스 더미) -> A0BE,ACca,Ucs1,1.0,희귀함_배병규,Y,kind0/basis0/mult1050.0/bonus0.0 | kind0/basis3/mult2.0/bonus0.0,6000.0,시체폭발(크립) — 피해,N/A(시전형),OK (carrionswarm),✅ 유효
SkillData_원작능력_특별함_최동준.asset,A0BI,Trig_Speical9 -> e0E6(안흔함 더미2 에이스) -> A0BI,ACca,Ucs1,1.0,특별함_최동준,Y,kind0/basis0/mult925.0/bonus0.0,850.0,시체폭발(크립) — 피해,N/A(시전형),OK (carrionswarm),✅ 유효
SkillData_원작능력_전설적인_임장혁.asset,A0BK,Trig_Legend18 -> e0DB(!전설 에이스 더미2) -> A0BK,ACca,Ucs1,0.18,전설적인_임장혁,Y,kind0/basis0/mult400000.0/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult900.0/bonus0.0 | kind0/basis0/mult400000.0/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult900.0/bonus0.0 | kind0/basis0/mult900.0/bonus0.0,200000.0,시체폭발(크립) — 피해,N/A(시전형),🔴 오더 없음,🔴 미작동 — 제거
SkillData_원작능력_전설적인_임장혁.asset,A0BK,Trig_Legend18 -> e0IP(!전설 에이스 더미1) -> A0BK,ACca,Ucs1,0.18,전설적인_임장혁,Y,kind0/basis0/mult400000.0/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult900.0/bonus0.0 | kind0/basis0/mult400000.0/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult900.0/bonus0.0 | kind0/basis0/mult900.0/bonus0.0,200000.0,시체폭발(크립) — 피해,N/A(시전형),🔴 오더 없음,🔴 미작동 — 제거
SkillData_원작능력_영원_윤현모.asset,A0BL,Trig_Ace_Attack -> e0AB(E영원 에이스 특대화권 더미1) -> A0BL,ACca,Ucs1,0.2,영원_윤현모,Y,kind0/basis0/mult1500000.0/bonus0.0 | kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult300000.0/bonus0.0 | kind0/basis0/mult120000.0/bonus0.0 | kind0/basis0/mult950.0/bonus0.0 | kind0/basis0/mult4.25/bonus0.0 | kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult300000.0/bonus0.0 | kind0/basis0/mult120000.0/bonus0.0 | kind0/basis0/mult950.0/bonus0.0 | kind0/basis0/mult4.25/bonus0.0 | kind0/basis0/mult4.25/bonus0.0,1150000.0,시체폭발(크립) — 피해,N/A(시전형),OK (carrionswarm),✅ 유효
SkillData_원작능력_영원_윤현모.asset,A0CB,Trig_Ace_Attack -> e0AB(E영원 에이스 특대화권 더미1) -> A0CB,AUfa,(피해 필드 없음),0.2,영원_윤현모,Y,kind0/basis0/mult1500000.0/bonus0.0 | kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult300000.0/bonus0.0 | kind0/basis0/mult120000.0/bonus0.0 | kind0/basis0/mult950.0/bonus0.0 | kind0/basis0/mult4.25/bonus0.0 | kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult300000.0/bonus0.0 | kind0/basis0/mult120000.0/bonus0.0 | kind0/basis0/mult950.0/bonus0.0 | kind0/basis0/mult4.25/bonus0.0 | kind0/basis0/mult4.25/bonus0.0,,🔴 프로스트아머 — Ufa1은 절대쿨 지속시간(초). 「5절대쿨 …」. 피해 아님,N/A(시전형),N/A(피해 필드가 없다),🔴 피해 아님 — 제거
SkillData_원작능력_영원_윤현모.asset,A0CB,Trig_Ace_Attack -> e0D8(E영원 에이스 특대화권 더미0) -> A0CB,AUfa,(피해 필드 없음),0.2,영원_윤현모,Y,kind0/basis0/mult1500000.0/bonus0.0 | kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult300000.0/bonus0.0 | kind0/basis0/mult120000.0/bonus0.0 | kind0/basis0/mult950.0/bonus0.0 | kind0/basis0/mult4.25/bonus0.0 | kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult300000.0/bonus0.0 | kind0/basis0/mult120000.0/bonus0.0 | kind0/basis0/mult950.0/bonus0.0 | kind0/basis0/mult4.25/bonus0.0 | kind0/basis0/mult4.25/bonus0.0,,🔴 프로스트아머 — Ufa1은 절대쿨 지속시간(초). 「5절대쿨 …」. 피해 아님,N/A(시전형),N/A(피해 필드가 없다),🔴 피해 아님 — 제거
SkillData_원작능력_희귀함_유재헌.asset,A0EL,Trig_Unique23 -> e0AT(U희귀함 우솝 더미) -> A0EL,AOws,Wrs1,1.0,희귀함_유재헌,Y,kind0/basis0/mult7000.0/bonus0.0,7000.0,전투의 함성 — 피해,N/A(시전형),OK (stomp),✅ 유효
SkillData_원작능력_희귀함_이용민.asset,A0K2,Trig_Unique27 -> e0BZ(U희귀함 바제스 더미) -> A0K2,AOws,Wrs1,0.2,희귀함_이용민,Y,kind0/basis0/mult12000.0/bonus0.0,12000.0,전투의 함성 — 피해,N/A(시전형),OK (stomp),✅ 유효
SkillData_원작능력_랜덤_이타도리_유지.asset,A0LD,Trig_cat1 -> e0CF(R랜유 츠바사 더미1) -> A0LD,AHtc,Htc1,0.2,랜덤_이타도리_유지,Y,kind0/basis0/mult350000.0/bonus0.0 | kind0/basis1/mult0.15/bonus0.0 | kind0/basis1/mult0.01/bonus0.0 | kind0/basis0/mult775000.0/bonus0.0 | kind0/basis0/mult350000.0/bonus0.0 | kind0/basis0/mult350000.0/bonus0.0 | kind0/basis0/mult150000.0/bonus0.0,150000.0,천둥소리 — 피해,N/A(시전형),OK (thunderclap),✅ 유효
SkillData_원작능력_랜덤_이타도리_유지.asset,A0LE,Trig_cat1 -> e0CG(R랜유 츠바사 더미2) -> A0LE,AHtc,Htc1,0.2,랜덤_이타도리_유지,Y,kind0/basis0/mult350000.0/bonus0.0 | kind0/basis1/mult0.15/bonus0.0 | kind0/basis1/mult0.01/bonus0.0 | kind0/basis0/mult775000.0/bonus0.0 | kind0/basis0/mult350000.0/bonus0.0 | kind0/basis0/mult350000.0/bonus0.0 | kind0/basis0/mult150000.0/bonus0.0,350000.0,천둥소리 — 피해,N/A(시전형),OK (thunderclap),✅ 유효
SkillData_원작능력_랜덤_이즈미_신이치.asset,A0LF,Trig_Naruto1 -> e0CL(R랜유 대옥나선환 더미) -> A0LF,AOws,Wrs1,0.0425,랜덤_이즈미_신이치,Y,kind0/basis0/mult400000.0/bonus0.0 | kind0/basis2/mult0.4/bonus0.0 | kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult300000.0/bonus0.0 | kind0/basis0/mult100000.0/bonus0.0 | kind0/basis0/mult350000.0/bonus0.0 | kind0/basis2/mult0.3/bonus0.0 | kind0/basis2/mult0.01/bonus0.0 | kind0/basis0/mult350000.0/bonus0.0 | kind0/basis0/mult450000.0/bonus0.0 | kind0/basis0/mult450000.0/bonus0.0 | kind0/basis0/mult180000.0/bonus0.0,450000.0,전투의 함성 — 피해,N/A(시전형),OK (stomp),✅ 유효
SkillData_원작능력_랜덤_이즈미_신이치.asset,A0LG,Trig_Naruto1 -> e0CJ(R랜유 풍둔 나선 수리검 더미) -> A0LG,AOww,Oww1,0.0425,랜덤_이즈미_신이치,Y,kind0/basis0/mult400000.0/bonus0.0 | kind0/basis2/mult0.4/bonus0.0 | kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult300000.0/bonus0.0 | kind0/basis0/mult100000.0/bonus0.0 | kind0/basis0/mult350000.0/bonus0.0 | kind0/basis2/mult0.3/bonus0.0 | kind0/basis2/mult0.01/bonus0.0 | kind0/basis0/mult350000.0/bonus0.0 | kind0/basis0/mult450000.0/bonus0.0 | kind0/basis0/mult450000.0/bonus0.0 | kind0/basis0/mult180000.0/bonus0.0,180000.0,윈드워크 — 백스탭 피해,N/A(시전형),OK (whirlwind),✅ 유효
SkillData_원작능력_랜덤_호시노_아이.asset,A0LJ,Trig_k1 -> e0CQ(R랜유 k 더미 4 미닛츠 이펙트) -> A0LJ,AOws,Wrs1,0.14,랜덤_호시노_아이,Y,kind0/basis0/mult600000.0/bonus0.0 | kind0/basis1/mult0.02/bonus3125000.0 | kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult2500000.0/bonus0.0 | kind0/basis1/mult0.06/bonus0.0 | kind0/basis0/mult600000.0/bonus0.0 | kind0/basis0/mult300000.0/bonus0.0 | kind0/basis0/mult5000.0/bonus0.0 | kind0/basis0/mult5000.0/bonus0.0 | kind0/basis0/mult600000.0/bonus0.0 | kind0/basis0/mult300000.0/bonus0.0 | kind0/basis0/mult5000.0/bonus0.0 | kind0/basis0/mult5000.0/bonus0.0 | kind0/basis0/mult4.0/bonus0.0 | kind0/basis3/mult6.25/bonus400000.0,5000.0,전투의 함성 — 피해,N/A(시전형),🔴 오더 없음,🔴 미작동 — 제거
