유닛ID,트리거,회수경로,RRD호출수,공격피해타입,더미수치
h02Y,Legend22,트리거식+더미,6,ATTACK_TYPE_CHAOS/DAMAGE_TYPE_UNIVERSAL | ATTACK_TYPE_NORMAL/DAMAGE_TYPE_UNIVERSAL,"e034:A0O8:Inf3=500,Inf1=4.5"
h02Z,Legend15,트리거식,1,ATTACK_TYPE_NORMAL/DAMAGE_TYPE_UNIVERSAL,
h030,Legend6,트리거식+더미,1,ATTACK_TYPE_NORMAL/DAMAGE_TYPE_UNIVERSAL,e00E:A07K:Wrs1=200000 ; e00F:A07L:Wrs1=1e+06 ; e0KD:A07K:Wrs1=200000
h031,Legend11,트리거식+더미,1,ATTACK_TYPE_CHAOS/DAMAGE_TYPE_NORMAL,e00B:A07U:Wrs1=192500 ; e00Z:A07U:Wrs1=192500
h032,Legend14,수치없음,0,,
h033,Legend19,수치없음,0,,
h034,Legend1sc,트리거식,3,ATTACK_TYPE_NORMAL/DAMAGE_TYPE_UNIVERSAL | ATTACK_TYPE_SIEGE/DAMAGE_TYPE_UNIVERSAL,
h035,Legend10,더미능력,0,,e00V:A07T:Wrs1=125000
h036,Legend8,트리거식+더미,1,ATTACK_TYPE_HERO/DAMAGE_TYPE_NORMAL | ATTACK_TYPE_NORMAL/DAMAGE_TYPE_UNIVERSAL,"e00A:A058:Roa5=1,Roa1=0.4,Roa2=-18"
h037,Legend27,수치없음,0,,
h038,,훅없음,0,,
h039,Legend4,더미능력,0,,e008:A07E:Wrs1=145000
h03A,Legend7,트리거식+더미,1,ATTACK_TYPE_CHAOS/DAMAGE_TYPE_NORMAL,e00J:A083:atac=2 ; e00J:A07L:Wrs1=1e+06
h03B,Legend5,수치없음,0,,
h03C,Legend16sc,트리거식,1,ATTACK_TYPE_NORMAL/DAMAGE_TYPE_UNIVERSAL,
h03D,,훅없음,0,,
h03E,Legend28koby,트리거식+더미,2,ATTACK_TYPE_MELEE/DAMAGE_TYPE_UNIVERSAL | ATTACK_TYPE_NORMAL/DAMAGE_TYPE_UNIVERSAL,"e0DR:A0O1:Roa1=-0.2,Roa4=1,Roa3=1"
h03F,,훅없음,0,,
h03G,Legend2,트리거식+더미,1,ATTACK_TYPE_NORMAL/DAMAGE_TYPE_UNIVERSAL,"e000:A077:Htc1=2e+06 ; e006:A001:arlv=1,Nst2=225,Nst1=10 ; e006:A07B:Ufa1=7"
h03H,Legend20,트리거식,2,ATTACK_TYPE_NORMAL/DAMAGE_TYPE_UNIVERSAL,
h03I,Legend23,트리거식,2,ATTACK_TYPE_NORMAL/DAMAGE_TYPE_UNIVERSAL,
h03K,Legend29,트리거식+더미,1,ATTACK_TYPE_HERO/DAMAGE_TYPE_UNIVERSAL,"e0DX:A0O6:Uls3=100,Uls1=14,Uls2=1"
h03S,Legend35ulti,수치없음,0,,
h040,AinAttack,수치없음,0,,
h042,Legend30,트리거식+더미,3,ATTACK_TYPE_MELEE/DAMAGE_TYPE_UNIVERSAL | ATTACK_TYPE_NORMAL/DAMAGE_TYPE_UNIVERSAL,e0HZ:A0U5:Owk1=0.9
h049,LaillySkill,더미능력,0,,"e003:A002:Ucs3=1100,Ucs1=300000,Ucs2=7e+07"
h04A,Ed_Attack,수치없음,0,,
h04B,Shiki_Attack,더미능력,0,,"e026:A13U:Had1=-7 ; e026:A08O:Wrs1=400000,arlv=6"
h04C,Garp_Attack,더미능력,0,,e02M:A08W:Blo1=0.45
h04D,Dragon_Attack,더미능력,0,,e02L:A08V:Wrs1=250000
h04E,Sengoku_Attack,트리거식+더미,2,ATTACK_TYPE_NORMAL/DAMAGE_TYPE_UNIVERSAL,e02B:A0PL:Wrs1=427500
h04F,Gaban_Attack,더미능력,0,,e055:A05G:Nbr1=750000
h04G,Z_Attack,트리거식,1,ATTACK_TYPE_NORMAL/DAMAGE_TYPE_UNIVERSAL,
h04H,Unique8,트리거식,1,ATTACK_TYPE_NORMAL/DAMAGE_TYPE_UNIVERSAL,
h04I,,훅없음,0,,
h04J,roger_Attack,트리거식+더미,2,ATTACK_TYPE_HERO/DAMAGE_TYPE_NORMAL,"e07W:A12U:Prg5=0.5,Prg4=0.5"
h04K,,훅없음,0,,
h04L,,훅없음,0,,
h04M,,훅없음,0,,
h04N,,훅없음,0,,
h04O,,훅없음,0,,
h04P,,훅없음,0,,
h04Q,Bigmam_Attack,트리거식+더미,1,ATTACK_TYPE_CHAOS/DAMAGE_TYPE_UNIVERSAL | ATTACK_TYPE_NORMAL/DAMAGE_TYPE_UNIVERSAL,"e05R:A14P:Blo3=0.1,Blo1=1.75"
h04R,,훅없음,0,,
h04S,,훅없음,0,,
h04T,,훅없음,0,,
h04U,,훅없음,0,,
h04V,,훅없음,0,,
h04W,,훅없음,0,,
h04X,,훅없음,0,,
h04Y,,훅없음,0,,
h04Z,,훅없음,0,,
h050,,훅없음,0,,
h051,,훅없음,0,,
h052,,훅없음,0,,
h053,,훅없음,0,,
h054,,훅없음,0,,
h057,ViVi_Attack,더미능력,0,,e0D3:A121:Blo1=4 ; e0D3:A0LY:Ufa1=6
h058,Mihawk_Attack,수치없음,0,,
h059,Ace_Attack,트리거식+더미,2,ATTACK_TYPE_NORMAL/DAMAGE_TYPE_UNIVERSAL,"e0AB:A0BL:Ucs3=950,Ucs1=1.15e+06,Ucs2=8e+07 ; e0AB:A0CB:Ufa1=4.25 ; e0AI:A0OH:Eim1=120000"
h05A,Bugi_Attack,더미능력,0,,e0AJ:A0M5:Roa1=-0.33 ; h076:A0E4:Had1=-11 ; h076:A12V:Inf1=0.45
h05B,Cavendish_Attack,트리거식+더미,4,ATTACK_TYPE_CHAOS/DAMAGE_TYPE_NORMAL | ATTACK_TYPE_CHAOS/DAMAGE_TYPE_UNIVERSAL,"e08G:A0X3:Idam=50000,Iob5=1 ; e08G:A0B3:Wrs1=50000"
h05C,Hancock_Attack,더미능력,0,,e0E3:A0OP:Blo1=-0.15
h05E,EnelAttack,수치없음,0,,
h05F,croTrans,트리거식,1,ATTACK_TYPE_CHAOS/DAMAGE_TYPE_NORMAL | ATTACK_TYPE_NORMAL/DAMAGE_TYPE_UNIVERSAL,
h05G,RedAttack,트리거식+더미,2,ATTACK_TYPE_CHAOS/DAMAGE_TYPE_UNIVERSAL | ATTACK_TYPE_NORMAL/DAMAGE_TYPE_UNIVERSAL,"e07R:A0PV:Ucs1=700000,Ucs2=7e+07,Ucs4=450"
h05I,RebecaAttack,수치없음,0,,
h05K,,훅없음,0,,
h05L,,훅없음,0,,
h05M,,훅없음,0,,
h05O,,훅없음,0,,
h05P,,훅없음,0,,
h05Q,,훅없음,0,,
h05R,,훅없음,0,,
h05S,Transpom2,트리거식,1,ATTACK_TYPE_NORMAL/DAMAGE_TYPE_UNIVERSAL,
h05T,,훅없음,0,,
h05V,Transpom3,수치없음,0,,
h05W,Transpom1,트리거식,3,ATTACK_TYPE_MELEE/DAMAGE_TYPE_NORMAL | ATTACK_TYPE_NORMAL/DAMAGE_TYPE_UNIVERSAL,
h05Y,,훅없음,0,,
h065,,훅없음,0,,
h066,,훅없음,0,,
h067,Uta_Attack,더미능력,0,,e0R1:A16W:Wrs1=450000
h06O,,훅없음,0,,
h06P,,훅없음,0,,
h06T,vampire,트리거식,2,ATTACK_TYPE_CHAOS/DAMAGE_TYPE_UNIVERSAL,
h06U,k1,트리거식+더미,2,ATTACK_TYPE_CHAOS/DAMAGE_TYPE_NORMAL,e0CQ:A0LJ:Wrs1=5000 ; e0CT:A0LJ:Wrs1=5000 ; e0EP:A0QK:Blo1=4
h06V,Naruto1,더미능력,0,,e0CJ:A0LG:Oww1=180000 ; e0CL:A0LF:Wrs1=450000
h06W,,훅없음,0,,
h06X,isz,트리거식,1,ATTACK_TYPE_CHAOS/DAMAGE_TYPE_NORMAL,
h06Y,,훅없음,0,,
h06Z,,훅없음,0,,
h070,yomi2,트리거식,1,ATTACK_TYPE_CHAOS/DAMAGE_TYPE_NORMAL,
h071,ichigo1,트리거식+더미,3,ATTACK_TYPE_CHAOS/DAMAGE_TYPE_UNIVERSAL | ATTACK_TYPE_NORMAL/DAMAGE_TYPE_UNIVERSAL,"e0O7:A093:Ucs3=1150,Ucs1=450000,Ucs2=9e+07"
h072,cat1,더미능력,0,,"e0CF:A0LD:Htc1=150000,Htc3=0.7 ; e0CG:A0LE:Htc1=350000,Htc3=0.85"
h073,Light1,트리거식,3,ATTACK_TYPE_CHAOS/DAMAGE_TYPE_NORMAL | ATTACK_TYPE_CHAOS/DAMAGE_TYPE_UNIVERSAL | ATTACK_TYPE_HERO/DAMAGE_TYPE_UNIVERSAL,
h07E,,훅없음,0,,
h07I,katakuriAttack,더미능력,0,,e0FA:A0R7:Blo1=4
h07J,carrotattack,트리거식,1,ATTACK_TYPE_CHAOS/DAMAGE_TYPE_UNIVERSAL,
h07M,Kaido_Attack,트리거식+더미,5,ATTACK_TYPE_CHAOS/DAMAGE_TYPE_NORMAL | ATTACK_TYPE_CHAOS/DAMAGE_TYPE_UNIVERSAL | ATTACK_TYPE_HERO/DAMAGE_TYPE_NORMAL | ATTACK_TYPE_NORMAL/DAMAGE_TYPE_UNIVERSAL,"e0H5:A0SZ:Wrs1=70000 ; e0MP:A0ZX:Inf1=0.35,Inf4=0.5 ; e0MP:A0ZO:Blo1=0.01"
h07N,Transpom6,트리거식,4,ATTACK_TYPE_NORMAL/DAMAGE_TYPE_UNIVERSAL,
h07O,,훅없음,0,,
h084,Sinobu_Attack,트리거식+더미,3,ATTACK_TYPE_MELEE/DAMAGE_TYPE_UNIVERSAL | ATTACK_TYPE_NORMAL/DAMAGE_TYPE_UNIVERSAL,e0HZ:A0U5:Owk1=0.9
h087,Legend31,수치없음,0,,
h088,Uta_Tots,트리거식,1,ATTACK_TYPE_HERO/DAMAGE_TYPE_UNIVERSAL,
h08G,,훅없음,0,,
h08J,,훅없음,0,,
h08K,,훅없음,0,,
h08L,,훅없음,0,,
h08M,,훅없음,0,,
h08N,,훅없음,0,,
h08O,Marco_Attack,수치없음,0,,
h08Q,,훅없음,0,,
h08R,Odeng_Attack,트리거식,2,ATTACK_TYPE_HERO/DAMAGE_TYPE_NORMAL,
h09J,,훅없음,0,,
h09K,En_Attack,수치없음,0,,
h09Q,Marco_AttackBird,수치없음,0,,
h09X,,훅없음,0,,
h09Z,Legend32,트리거식,3,ATTACK_TYPE_CHAOS/DAMAGE_TYPE_UNIVERSAL | ATTACK_TYPE_NORMAL/DAMAGE_TYPE_UNIVERSAL,
h0AD,Kaido_Dragon_Attack,더미능력,0,,"e0MP:A0ZX:Inf1=0.35,Inf4=0.5 ; e0MP:A0ZO:Blo1=0.01"
h0AE,,훅없음,0,,
h0AG,,훅없음,0,,
h0AH,Legend33,수치없음,0,,
h0AI,King_Attack,더미능력,0,,e0NS:A10X:Blo1=0.3
h0BH,,훅없음,0,,
h0BI,Shiki_stone,수치없음,0,ATTACK_TYPE_CHAOS/DAMAGE_TYPE_NORMAL | ATTACK_TYPE_NORMAL/DAMAGE_TYPE_UNIVERSAL,
h0BJ,,훅없음,0,,
h0BU,,훅없음,0,,
