우리에셋,원작능력ID,더미경로,base,문제의필드,triggerChance,로스터배선유닛,지금도는가,우리효과목록(파일전체)
SkillData_원작능력_전설적인_진연서.asset,A07L,Trig_Legend7 -> e00J(!전설 레일리 마나스킬 더미3) -> A07L,,,1.0,전설적인_진연서,Y,kind0/basis0/mult1200000.0/bonus0.0 | kind0/basis0/mult1200000.0/bonus0.0 | kind0/basis0/mult2.0/bonus0.0 | kind0/basis0/mult1200000.0/bonus0.0 | kind0/basis0/mult2.0/bonus0.0 | kind0/basis0/mult1.0/bonus0.0 | kind0/basis3/mult0.0/bonus80000.0
SkillData_원작능력_전설적인_최상호.asset,A07L,Trig_Legend6 -> e00F(!전설 쿠마 마나스킬 더미) -> A07L,,,0.3,전설적인_최상호,Y,kind0/basis0/mult2450000.0/bonus0.0 | kind0/basis1/mult0.04/bonus0.0 | kind0/basis2/mult-0.04/bonus0.0 | kind0/basis0/mult2450000.0/bonus0.0 | kind0/basis1/mult0.04/bonus0.0 | kind0/basis2/mult-0.04/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult2450000.0/bonus0.0 | kind0/basis1/mult0.04/bonus0.0 | kind0/basis2/mult-0.04/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult1.0/bonus0.0
SkillData_원작능력_전설적인_백기현.asset,A07T,Trig_Legend10 -> e00V(!전설 샹크스 스턴) -> A07T,,,0.1,전설적인_백기현,Y,kind0/basis0/mult125000.0/bonus0.0 | kind0/basis3/mult10.0/bonus250000.0
SkillData_원작능력_전설적인_임채현.asset,A07U,Trig_Legend11 -> e00B(!전설 후지토라 더미2) -> A07U,,,0.143,전설적인_임채현,Y,kind0/basis2/mult0.01/bonus500000.0 | kind0/basis0/mult150000.0/bonus0.0 | kind0/basis0/mult577500.0/bonus0.0 | kind0/basis0/mult192500.0/bonus0.0 | kind0/basis0/mult577500.0/bonus0.0 | kind0/basis0/mult192500.0/bonus0.0 | kind0/basis0/mult192500.0/bonus0.0
SkillData_원작능력_전설적인_임채현.asset,A07U,Trig_Legend11 -> e00Z(!전설 후지토라 더미) -> A07U,,,0.143,전설적인_임채현,Y,kind0/basis2/mult0.01/bonus500000.0 | kind0/basis0/mult150000.0/bonus0.0 | kind0/basis0/mult577500.0/bonus0.0 | kind0/basis0/mult192500.0/bonus0.0 | kind0/basis0/mult577500.0/bonus0.0 | kind0/basis0/mult192500.0/bonus0.0 | kind0/basis0/mult192500.0/bonus0.0
SkillData_원작능력_전설적인_진연서.asset,A083,Trig_Legend7 -> e00J(!전설 레일리 마나스킬 더미3) -> A083,,,1.0,전설적인_진연서,Y,kind0/basis0/mult1200000.0/bonus0.0 | kind0/basis0/mult1200000.0/bonus0.0 | kind0/basis0/mult2.0/bonus0.0 | kind0/basis0/mult1200000.0/bonus0.0 | kind0/basis0/mult2.0/bonus0.0 | kind0/basis0/mult1.0/bonus0.0 | kind0/basis3/mult0.0/bonus80000.0
SkillData_원작능력_불멸_고도현.asset,A08O,Trig_Shiki_Attack -> e026(#불멸 시키 더미) -> A08O,,,1.0,불멸_고도현,Y,kind0/basis0/mult750000.0/bonus0.0 | kind0/basis0/mult3250000.0/bonus0.0 | kind0/basis0/mult250000.0/bonus0.0 | kind0/basis1/mult0.025/bonus0.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis0/mult400000.0/bonus0.0 | kind0/basis0/mult-7.0/bonus0.0
SkillData_원작능력_불멸_김용태.asset,A08V,Trig_Dragon_Attack -> e02L(#불멸 드래곤스턴2) -> A08V,,,0.18,불멸_김용태,Y,kind0/basis0/mult800000.0/bonus0.0 | kind0/basis0/mult7250000.0/bonus0.0 | kind0/basis0/mult250000.0/bonus0.0 | kind0/basis3/mult0.0/bonus500000.0 | kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult800000.0/bonus0.0 | kind0/basis0/mult0.5/bonus0.0
SkillData_원작능력_랜덤_모몬가.asset,A093,Trig_ichigo1 -> e0O7(!이치고 월아) -> A093,,,1.0,랜덤_모몬가,Y,kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult100000.0/bonus0.0 | kind0/basis1/mult0.02/bonus0.0 | kind0/basis0/mult1150.0/bonus0.0
SkillData_원작능력_희귀함_박민수.asset,A095,Trig_Unique2 -> e031(!전설 제프공속증가) -> A095,,,1.0,희귀함_박민수,Y,kind0/basis0/mult4.0/bonus0.0
SkillData_원작능력_희귀함_서민성.asset,A097,Trig_Unique14 -> e038(H히든 카쿠 더미) -> A097,,,1.0,희귀함_서민성,Y,kind0/basis0/mult1050.0/bonus0.0 | kind0/basis3/mult0.0/bonus5000.0
SkillData_원작능력_희귀함_박은석.asset,A09A,Trig_Unique9 -> e03M(U희귀함 키자루 더미) -> A09A,,,1.0,희귀함_박은석,Y,kind0/basis0/mult8.0/bonus0.0
SkillData_원작능력_희귀함_이상혁.asset,A09W,Trig_Unique12 -> e059(U희귀함 도플 더미) -> A09W,,,0.0909090909090909,희귀함_이상혁,Y,kind0/basis0/mult6000.0/bonus0.0 | kind0/basis0/mult6000.0/bonus0.0 | kind0/basis0/mult6000.0/bonus0.0
SkillData_원작능력_특별함_최준우.asset,A09X,Trig_Speical3 -> e05B(S특별함 마르코 더미) -> A09X,,,0.3,특별함_최준우,Y,kind0/basis0/mult1500.0/bonus0.0
SkillData_원작능력_희귀함_이승우.asset,A09Y,Trig_Unique4 -> e05C(U희귀함 마르코 더미) -> A09Y,,,0.2,희귀함_이승우,Y,kind0/basis0/mult12000.0/bonus0.0
SkillData_원작능력_특별함_조성진.asset,A09Z,Trig_Speical6 -> e05D(S특별함 상디 더미) -> A09Z,,,1.0,특별함_조성진,Y,kind0/basis0/mult500.0/bonus0.0
SkillData_원작능력_특별함_조도연.asset,A0A0,Trig_Speical5 -> e05F(S특별함 루피 더미) -> A0A0,,,0.6,특별함_조도연,Y,kind0/basis0/mult3.6/bonus0.0 | kind0/basis3/mult0.0/bonus30.0
SkillData_원작능력_특별함_조세민.asset,A0A1,Trig_Speical7 -> e05G(S특별함 루치 더미) -> A0A1,,,0.2,특별함_조세민,Y,kind0/basis0/mult600.0/bonus0.0 | kind0/basis3/mult2.0/bonus0.0
SkillData_원작능력_안흔함_이호준.asset,A0A2,Trig_common1 -> e0DG(안흔함 더미1) -> A0A2,,,1.0,안흔함_이호준,Y,kind0/basis0/mult150.0/bonus0.0 | kind0/basis3/mult1.5/bonus0.0
SkillData_원작능력_안흔함_황정기.asset,A0A2,Trig_common2 -> e0DG(안흔함 더미1) -> A0A2,,,1.0,안흔함_황정기,Y,kind0/basis0/mult150.0/bonus0.0 | kind0/basis3/mult1.5/bonus0.0
SkillData_원작능력_희귀함_박수찬.asset,A0AX,Trig_Unique10 -> e0BU(U희귀함 아카이누 더미) -> A0AX,,,1.0,희귀함_박수찬,Y,kind0/basis0/mult2.0/bonus0.0
SkillData_원작능력_영원_최상호.asset,A0B3,Trig_Cavendish_Attack -> e08G(E영원 캐번디시 1스킬 더미1) -> A0B3,,,0.1,영원_최상호,Y,kind0/basis0/mult2775000.0/bonus0.0 | kind0/basis0/mult1150000.0/bonus0.0 | kind0/basis0/mult2775000.0/bonus0.0 | kind0/basis0/mult1625000.0/bonus0.0 | kind0/basis0/mult950000.0/bonus0.0 | kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult50000.0/bonus0.0 | kind0/basis0/mult2775000.0/bonus0.0 | kind0/basis0/mult1625000.0/bonus0.0 | kind0/basis0/mult950000.0/bonus0.0 | kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult50000.0/bonus0.0 | kind0/basis0/mult50000.0/bonus0.0 | kind0/basis3/mult10.0/bonus400000.0 | kind0/basis3/mult3.5/bonus0.0 | kind0/basis3/mult0.0/bonus0.0
SkillData_원작능력_희귀함_배병규.asset,A0BE,Trig_Unique3 -> e092(U희귀함 샹크스 더미) -> A0BE,,,1.0,희귀함_배병규,Y,kind0/basis0/mult1050.0/bonus0.0 | kind0/basis3/mult2.0/bonus0.0
SkillData_원작능력_특별함_최동준.asset,A0BI,Trig_Speical9 -> e0E6(안흔함 더미2 에이스) -> A0BI,,,1.0,특별함_최동준,Y,kind0/basis0/mult925.0/bonus0.0
SkillData_원작능력_전설적인_임장혁.asset,A0BK,Trig_Legend18 -> e0DB(!전설 에이스 더미2) -> A0BK,,,0.18,전설적인_임장혁,Y,kind0/basis0/mult400000.0/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult900.0/bonus0.0 | kind0/basis0/mult400000.0/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult900.0/bonus0.0 | kind0/basis0/mult900.0/bonus0.0
SkillData_원작능력_전설적인_임장혁.asset,A0BK,Trig_Legend18 -> e0IP(!전설 에이스 더미1) -> A0BK,,,0.18,전설적인_임장혁,Y,kind0/basis0/mult400000.0/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult900.0/bonus0.0 | kind0/basis0/mult400000.0/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult900.0/bonus0.0 | kind0/basis0/mult900.0/bonus0.0
SkillData_원작능력_영원_윤현모.asset,A0BL,Trig_Ace_Attack -> e0AB(E영원 에이스 특대화권 더미1) -> A0BL,,,0.2,영원_윤현모,Y,kind0/basis0/mult1500000.0/bonus0.0 | kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult300000.0/bonus0.0 | kind0/basis0/mult120000.0/bonus0.0 | kind0/basis0/mult950.0/bonus0.0 | kind0/basis0/mult4.25/bonus0.0 | kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult300000.0/bonus0.0 | kind0/basis0/mult120000.0/bonus0.0 | kind0/basis0/mult950.0/bonus0.0 | kind0/basis0/mult4.25/bonus0.0 | kind0/basis0/mult4.25/bonus0.0
SkillData_원작능력_영원_윤현모.asset,A0CB,Trig_Ace_Attack -> e0AB(E영원 에이스 특대화권 더미1) -> A0CB,,,0.2,영원_윤현모,Y,kind0/basis0/mult1500000.0/bonus0.0 | kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult300000.0/bonus0.0 | kind0/basis0/mult120000.0/bonus0.0 | kind0/basis0/mult950.0/bonus0.0 | kind0/basis0/mult4.25/bonus0.0 | kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult300000.0/bonus0.0 | kind0/basis0/mult120000.0/bonus0.0 | kind0/basis0/mult950.0/bonus0.0 | kind0/basis0/mult4.25/bonus0.0 | kind0/basis0/mult4.25/bonus0.0
SkillData_원작능력_영원_윤현모.asset,A0CB,Trig_Ace_Attack -> e0D8(E영원 에이스 특대화권 더미0) -> A0CB,,,0.2,영원_윤현모,Y,kind0/basis0/mult1500000.0/bonus0.0 | kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult300000.0/bonus0.0 | kind0/basis0/mult120000.0/bonus0.0 | kind0/basis0/mult950.0/bonus0.0 | kind0/basis0/mult4.25/bonus0.0 | kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult300000.0/bonus0.0 | kind0/basis0/mult120000.0/bonus0.0 | kind0/basis0/mult950.0/bonus0.0 | kind0/basis0/mult4.25/bonus0.0 | kind0/basis0/mult4.25/bonus0.0
SkillData_원작능력_희귀함_유재헌.asset,A0EL,Trig_Unique23 -> e0AT(U희귀함 우솝 더미) -> A0EL,,,1.0,희귀함_유재헌,Y,kind0/basis0/mult7000.0/bonus0.0
SkillData_원작능력_희귀함_이용민.asset,A0K2,Trig_Unique27 -> e0BZ(U희귀함 바제스 더미) -> A0K2,,,0.2,희귀함_이용민,Y,kind0/basis0/mult12000.0/bonus0.0
SkillData_원작능력_랜덤_이타도리_유지.asset,A0LD,Trig_cat1 -> e0CF(R랜유 츠바사 더미1) -> A0LD,,,0.2,랜덤_이타도리_유지,Y,kind0/basis0/mult350000.0/bonus0.0 | kind0/basis1/mult0.15/bonus0.0 | kind0/basis1/mult0.01/bonus0.0 | kind0/basis0/mult775000.0/bonus0.0 | kind0/basis0/mult350000.0/bonus0.0 | kind0/basis0/mult350000.0/bonus0.0 | kind0/basis0/mult150000.0/bonus0.0
SkillData_원작능력_랜덤_이타도리_유지.asset,A0LE,Trig_cat1 -> e0CG(R랜유 츠바사 더미2) -> A0LE,,,0.2,랜덤_이타도리_유지,Y,kind0/basis0/mult350000.0/bonus0.0 | kind0/basis1/mult0.15/bonus0.0 | kind0/basis1/mult0.01/bonus0.0 | kind0/basis0/mult775000.0/bonus0.0 | kind0/basis0/mult350000.0/bonus0.0 | kind0/basis0/mult350000.0/bonus0.0 | kind0/basis0/mult150000.0/bonus0.0
SkillData_원작능력_랜덤_이즈미_신이치.asset,A0LF,Trig_Naruto1 -> e0CL(R랜유 대옥나선환 더미) -> A0LF,,,0.0425,랜덤_이즈미_신이치,Y,kind0/basis0/mult400000.0/bonus0.0 | kind0/basis2/mult0.4/bonus0.0 | kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult300000.0/bonus0.0 | kind0/basis0/mult100000.0/bonus0.0 | kind0/basis0/mult350000.0/bonus0.0 | kind0/basis2/mult0.3/bonus0.0 | kind0/basis2/mult0.01/bonus0.0 | kind0/basis0/mult350000.0/bonus0.0 | kind0/basis0/mult450000.0/bonus0.0 | kind0/basis0/mult450000.0/bonus0.0 | kind0/basis0/mult180000.0/bonus0.0
SkillData_원작능력_랜덤_이즈미_신이치.asset,A0LG,Trig_Naruto1 -> e0CJ(R랜유 풍둔 나선 수리검 더미) -> A0LG,,,0.0425,랜덤_이즈미_신이치,Y,kind0/basis0/mult400000.0/bonus0.0 | kind0/basis2/mult0.4/bonus0.0 | kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult300000.0/bonus0.0 | kind0/basis0/mult100000.0/bonus0.0 | kind0/basis0/mult350000.0/bonus0.0 | kind0/basis2/mult0.3/bonus0.0 | kind0/basis2/mult0.01/bonus0.0 | kind0/basis0/mult350000.0/bonus0.0 | kind0/basis0/mult450000.0/bonus0.0 | kind0/basis0/mult450000.0/bonus0.0 | kind0/basis0/mult180000.0/bonus0.0
SkillData_원작능력_랜덤_호시노_아이.asset,A0LJ,Trig_k1 -> e0CQ(R랜유 k 더미 4 미닛츠 이펙트) -> A0LJ,,,0.14,랜덤_호시노_아이,Y,kind0/basis0/mult600000.0/bonus0.0 | kind0/basis1/mult0.02/bonus3125000.0 | kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult2500000.0/bonus0.0 | kind0/basis1/mult0.06/bonus0.0 | kind0/basis0/mult600000.0/bonus0.0 | kind0/basis0/mult300000.0/bonus0.0 | kind0/basis0/mult5000.0/bonus0.0 | kind0/basis0/mult5000.0/bonus0.0 | kind0/basis0/mult600000.0/bonus0.0 | kind0/basis0/mult300000.0/bonus0.0 | kind0/basis0/mult5000.0/bonus0.0 | kind0/basis0/mult5000.0/bonus0.0 | kind0/basis0/mult4.0/bonus0.0 | kind0/basis3/mult6.25/bonus400000.0
SkillData_원작능력_랜덤_호시노_아이.asset,A0LJ,Trig_k1 -> e0CT(R랜유 k 더미 3 미닛츠 더미) -> A0LJ,,,0.14,랜덤_호시노_아이,Y,kind0/basis0/mult600000.0/bonus0.0 | kind0/basis1/mult0.02/bonus3125000.0 | kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult2500000.0/bonus0.0 | kind0/basis1/mult0.06/bonus0.0 | kind0/basis0/mult600000.0/bonus0.0 | kind0/basis0/mult300000.0/bonus0.0 | kind0/basis0/mult5000.0/bonus0.0 | kind0/basis0/mult5000.0/bonus0.0 | kind0/basis0/mult600000.0/bonus0.0 | kind0/basis0/mult300000.0/bonus0.0 | kind0/basis0/mult5000.0/bonus0.0 | kind0/basis0/mult5000.0/bonus0.0 | kind0/basis0/mult4.0/bonus0.0 | kind0/basis3/mult6.25/bonus400000.0
SkillData_원작능력_영원_김영원.asset,A0LY,Trig_ViVi_Attack -> e0D3(E영원 비비 절대쿨 더미) -> A0LY,,,1.0,영원_김영원,Y,kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult6.0/bonus0.0 | kind0/basis0/mult6.0/bonus0.0 | kind0/basis0/mult4.0/bonus0.0
SkillData_원작능력_전설적인_이시원.asset,A0O1,Trig_Legend28koby -> e0DR(!전설 코비 마나) -> A0O1,,,0.66,전설적인_이시원,Y,kind0/basis2/mult0.27/bonus0.0 | kind0/basis0/mult100000.0/bonus0.0 | kind0/basis2/mult0.27/bonus0.0 | kind0/basis0/mult100000.0/bonus0.0 | kind0/basis0/mult-0.2/bonus0.0 | kind0/basis3/mult0.0/bonus200000.0
SkillData_원작능력_전설적인_이재윤.asset,A0O6,Trig_Legend29 -> e0DX(!전설 히루루크 벚꽃) -> A0O6,,,0.12,전설적인_이재윤,Y,kind0/basis1/mult0.5/bonus0.0 | kind0/basis1/mult0.5/bonus0.0 | kind0/basis0/mult100.0/bonus0.0
SkillData_원작능력_전설적인_홍인창.asset,A0O8,Trig_Legend22 -> e034(!전설 루피나이트메어 그림자일격 더미1) -> A0O8,,,1.0,전설적인_홍인창,Y,kind0/basis0/mult3000000.0/bonus0.0 | kind0/basis0/mult4000000.0/bonus0.0 | kind0/basis0/mult300000.0/bonus0.0 | kind0/basis0/mult3000000.0/bonus0.0 | kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult400000.0/bonus0.0 | kind0/basis0/mult3000000.0/bonus0.0 | kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult400000.0/bonus0.0 | kind0/basis0/mult500.0/bonus0.0 | kind0/basis3/mult11.0/bonus0.0
SkillData_원작능력_영원_윤현모.asset,A0OH,Trig_Ace_Attack -> e0AI(E영원 에이스 특대화권 더미2) -> A0OH,,,0.2,영원_윤현모,Y,kind0/basis0/mult1500000.0/bonus0.0 | kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult300000.0/bonus0.0 | kind0/basis0/mult120000.0/bonus0.0 | kind0/basis0/mult950.0/bonus0.0 | kind0/basis0/mult4.25/bonus0.0 | kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult300000.0/bonus0.0 | kind0/basis0/mult120000.0/bonus0.0 | kind0/basis0/mult950.0/bonus0.0 | kind0/basis0/mult4.25/bonus0.0 | kind0/basis0/mult4.25/bonus0.0
SkillData_원작능력_희귀함_장태영.asset,A0PC,Trig_Unique32 -> e0BR(U희귀함 루피 더미 3) -> A0PC,,,0.17,희귀함_장태영,Y,kind0/basis0/mult22500.0/bonus0.0 | kind0/basis0/mult22500.0/bonus0.0 | kind0/basis0/mult10000.0/bonus0.0 | kind0/basis3/mult0.0/bonus3000.0
SkillData_원작능력_불멸_이이삭.asset,A0PL,Trig_Sengoku_Attack -> e02B(#불멸 센고쿠 여래신장 더스트) -> A0PL,,,0.05,불멸_이이삭,Y,kind0/basis0/mult427500.0/bonus0.0 | kind0/basis2/mult0.02/bonus400000.0 | kind0/basis2/mult0.015/bonus300000.0
SkillData_원작능력_제한_최영민.asset,A0PV,Trig_RedAttack -> e07R(%제한됨 패트릭 흡혈 2) -> A0PV,,,0.75,제한_최영민,Y,kind0/basis0/mult800000.0/bonus0.0 | kind0/basis0/mult850000.0/bonus0.0 | kind0/basis0/mult1275000.0/bonus0.0 | kind0/basis0/mult10000000.0/bonus0.0 | kind0/basis0/mult700000.0/bonus0.0 | kind0/basis0/mult162500.0/bonus0.0 | kind0/basis0/mult700000.0/bonus0.0 | kind0/basis0/mult162500.0/bonus0.0 | kind0/basis1/mult0.0275/bonus0.0 | kind0/basis3/mult2.5/bonus0.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis3/mult4.25/bonus150000.0 | kind0/basis3/mult0.0/bonus0.0
SkillData_원작능력_희귀함_윤현모.asset,A0PX,Trig_Unique11 -> e057(U희귀함 아오키지 더미) -> A0PX,,,0.0833333333333333,희귀함_윤현모,Y,kind0/basis0/mult9000.0/bonus0.0
SkillData_원작능력_희귀함_정내연.asset,A0QH,Trig_Unique33 -> e0BT(U희귀함 조로 더미 2) -> A0QH,,,0.4,희귀함_정내연,Y,kind0/basis0/mult50000.0/bonus0.0
SkillData_원작능력_랜덤_호시노_아이.asset,A0QK,Trig_k1 -> e0EP(R랜유 k 더미 1 체인 드라이브2 공속증가) -> A0QK,,,0.14,랜덤_호시노_아이,Y,kind0/basis0/mult600000.0/bonus0.0 | kind0/basis1/mult0.02/bonus3125000.0 | kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult2500000.0/bonus0.0 | kind0/basis1/mult0.06/bonus0.0 | kind0/basis0/mult600000.0/bonus0.0 | kind0/basis0/mult300000.0/bonus0.0 | kind0/basis0/mult5000.0/bonus0.0 | kind0/basis0/mult5000.0/bonus0.0 | kind0/basis0/mult600000.0/bonus0.0 | kind0/basis0/mult300000.0/bonus0.0 | kind0/basis0/mult5000.0/bonus0.0 | kind0/basis0/mult5000.0/bonus0.0 | kind0/basis0/mult4.0/bonus0.0 | kind0/basis3/mult6.25/bonus400000.0
