유닛ID,유닛이름,등급,깊이,부모평타트리거,스킬트리거,게이트,RRD수,RRD요약,타입,퍼센트체력,범위,Flat합계,변수항,커버
H094,운명을 점치는 마술사,초월함,1,Trig_Hokins_Attack,Hokins_mana,MANA게이지100,1,(1350000.00+(190000.00*s__TrigVariables__get,CHAOS/NORMAL,,800.00,1540000,,미수록
H094,운명을 점치는 마술사,초월함,1,Trig_Hokins_Attack,Hokins_Skill_4,LIFE게이지40.00 AND 1/14,1,(162500.00+(13000.00*s__TrigVariables__get_r,NORMAL/UNIVERSAL,,500.00,175500,,미수록
H094,운명을 점치는 마술사,초월함,1,Trig_Hokins_Attack,Hokins_Skill_3,LIFE게이지40.00 AND 1/7,1,(187500.00+(15000.00*s__TrigVariables__get_r,CHAOS/NORMAL,,500.00,202500,,미수록
H095,신 해군원수 ,초월함,1,Trig_Akainu_Attack,Akainu_01,(게이트 없음),0,,,,,0,,특성표
H095,신 해군원수 ,초월함,1,Trig_Akainu_Attack,Akainu_02,MANA게이지135.00 AND 버프B06B==true,2,"(7250000.00+(s__TrigVariables__get_realD(Glo | (GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__Tri",NORMAL/UNIVERSAL,MaxHp%,,7250000,있음,미수록
H095,신 해군원수 ,초월함,1,Trig_Akainu_Attack,Akainu_03,MANA게이지135.00 AND 버프B06B==true AND 1/10,0,,,,,0,,미수록
H095,신 해군원수 ,초월함,2,Trig_Akainu_Attack,Akainu_01_Shoot,(게이트 없음),0,,,,,0,,미수록
H096,로키포트 사건의 주모자,초월함,1,Trig_Law_Attack,Law_skill_5,버프B03Z==true AND 1/20,1,(300000.00+(GetUnitStateSwap(UNIT_STATE_LIFE,CHAOS/UNIVERSAL,CurHp%,575.00,300000,,미수록
H096,로키포트 사건의 주모자,초월함,1,Trig_Law_Attack,Law_Skill_2_reinforce,버프B03Z==true AND 1/8,1,"(GetUnitStateSwap(UNIT_STATE_LIFE,udg_Hero[1",CHAOS/UNIVERSAL,CurHp%,,0,,특성표
H096,로키포트 사건의 주모자,초월함,1,Trig_Law_Attack,Law_Skill_2,버프B03Z==true AND 1/8,1,"(GetUnitStateSwap(UNIT_STATE_LIFE,udg_Hero[1",CHAOS/UNIVERSAL,CurHp%,,0,,특성표
H097,전 해군대장 아오키지 ,초월함,1,Trig_Aokigi_Attack,Aokigi_skill_3,1/10,0,,,,475.00,0,,미수록
H097,전 해군대장 아오키지 ,초월함,1,Trig_Aokigi_Attack,Aokigi_skill_4,1/14,0,,,,,0,,미수록
H097,전 해군대장 아오키지 ,초월함,1,Trig_Aokigi_Attack,Aokigi_skill_2,1/25,0,,,,,0,,미수록
H098,오하라의 마지막 생존자,초월함,1,Trig_Robin_Attack,Robine_skill_2,LIFE게이지40.00 AND 1/10,1,400000.00,NORMAL/UNIVERSAL,,525.00,400000,,미수록
H098,오하라의 마지막 생존자,초월함,1,Trig_Robin_Attack,Robine_skill_3,LIFE게이지40.00 AND 1/20,1,600000.00,CHAOS/NORMAL,,350.00,600000,,미수록
H099,명왕 레일리의 제자,초월함,1,Trig_Ruffy_Attack,Ruffy_AttackDamage,(게이트 없음),1,((GetEventDamage()*2.50)+32500.00),CHAOS/UNIVERSAL,,,32500,,미수록
H099,명왕 레일리의 제자,초월함,1,Trig_Ruffy_Attack,Ruffy_Mana,MANA게이지160.00,2,((1750000.00+(GetUnitStateSwap(UNIT_STATE_MA | ((1750000.00+(GetUnitStateSwap(UNIT_STATE_MA,HERO/NORMAL,MaxHp%,625.00,3500000,,미수록
H09A,어인협객,초월함,1,Trig_jinbe_Attack,Jimbe_Mu,MANA게이지115.00,1,(4350000.00+(I2R(GetUnitAbilityLevelSwapped(,CHAOS/NORMAL,,600.00,4393500,,미수록
H09A,어인협객,초월함,1,Trig_jinbe_Attack,Jimbe,1/16,2,(1750000.00+(I2R(GetUnitAbilityLevelSwapped( | (4840000.00+(I2R(GetUnitAbilityLevelSwapped(,"CHAOS/NORMAL,CHAOS/UNIVERSAL",,625.00,6655950,,미수록
H09A,어인협객,초월함,1,Trig_jinbe_Attack,Jimbe_jingak,1/7,1,((1000000.00+s__TrigVariables__get_realD(Glo,CHAOS/NORMAL,,450.00,1010000,있음,미수록
H09B,G.O.D,초월함,1,Trig_Usop_Attack,Usop_Skill_Mana,MANA게이지140.00,1,(1000000.00+(GetUnitStateSwap(UNIT_STATE_LIF,HERO/NORMAL,CurHp%,600.00,1000000,,미수록
H09B,G.O.D,초월함,1,Trig_Usop_Attack,Usop_Skill_2,1/5,5,"262500.00 | 262500.00 | (GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__Tri","PIERCE/NORMAL,PIERCE/UNIVERSAL",MaxHp%,600.00,1925000,,미수록
H09D,"""어둠의 조커""드레스로자의 악몽",초월함,1,Trig_DP_Attack_gaksung,DP_AttackDamagegaksung,(게이트 없음),1,((GetEventDamage()*0.85)+85000.00),CHAOS/NORMAL,,350.00,85000,,미수록
H09D,"""어둠의 조커""드레스로자의 악몽",초월함,1,Trig_DP_Attack_gaksung,DP_Skill_3,1/6,1,(750000.00+(I2R(GetHeroStatBJ(bj_HEROSTAT_ST,PIERCE/NORMAL,,525.00,760000,,미수록
H09D,"""어둠의 조커""드레스로자의 악몽",초월함,1,Trig_DP_Attack_gaksung,DP_Skill_2,1/9,2,"200000.00 | ((GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVa","CHAOS/NORMAL,NORMAL/UNIVERSAL",CurHp%,,200000,,미수록
H09E,"""어둠의 조커""드레스로자의 악몽",초월함,1,Trig_DP_Attack,DP_AttackDamage,(게이트 없음),1,((GetEventDamage()*0.50)+50000.00),PIERCE/NORMAL,,275.00,50000,,미수록
H09E,"""어둠의 조커""드레스로자의 악몽",초월함,1,Trig_DP_Attack,DP_Skill_3,1/8,1,(750000.00+(I2R(GetHeroStatBJ(bj_HEROSTAT_ST,PIERCE/NORMAL,,525.00,760000,,미수록
H09E,"""어둠의 조커""드레스로자의 악몽",초월함,1,Trig_DP_Attack,DP_Skill_2,1/10,2,"200000.00 | ((GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVa","CHAOS/NORMAL,NORMAL/UNIVERSAL",CurHp%,,200000,,미수록
H09F,수라의 검사,초월함,1,Trig_Zoro_Attack_re,Zoro_Samchun2,MANA게이지145.00,2,(1500000.00+s__TrigVariables__get_realD(Glob | 2500000.00,"CHAOS/NORMAL,NORMAL/UNIVERSAL",,600.00,4000000,있음,미수록
H09F,수라의 검사,초월함,1,Trig_Zoro_Attack_re,Zoro_samchun1,MANA게이지145.00,1,2500000.00,NORMAL/UNIVERSAL,,525.00,2500000,,미수록
H09F,수라의 검사,초월함,1,Trig_Zoro_Attack_re,Zoro_saza1,1/6,2,(602500.00+s__TrigVariables__get_realD(Globa | (903750.00+(s__TrigVariables__get_realD(Glob,CHAOS/NORMAL,,405.00,1506250,있음,미수록
H09F,수라의 검사,초월함,1,Trig_Zoro_Attack_re,Zoro_raven,1/15,3,(350000.00+s__TrigVariables__get_realD(Globa | 350000.00 | 350000.00,CHAOS/NORMAL,,500.00,1050000,있음,미수록
H09F,수라의 검사,초월함,1,Trig_Zoro_Attack_re,Zoro_tiger,1/33,0,,,,500.00,0,,미수록
H09G,정열의 요리사,초월함,1,Trig_SandiAttack_Upgrade,Sandi_skill_Mana2,MANA게이지115.00,3,"3330000.00 | ((GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVa | 2075000.00","NORMAL/UNIVERSAL,SIEGE/UNIVERSAL",CurHp%,600.00,5405000,,미수록
H09G,정열의 요리사,초월함,1,Trig_SandiAttack_Upgrade,Sandi_skill_1,1/6,2,"((GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVa | 450000.00","MAGIC/UNIVERSAL,SIEGE/UNIVERSAL",CurHp%,,450000,,미수록
H09H,뉴카마섬의 생존자,초월함,1,Trig_SandiAttack,Sandi_skill_Mana2,MANA게이지115.00,3,"3330000.00 | ((GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVa | 2075000.00","NORMAL/UNIVERSAL,SIEGE/UNIVERSAL",CurHp%,600.00,5405000,,미수록
H09H,뉴카마섬의 생존자,초월함,1,Trig_SandiAttack,Sandi_skill_1,(게이트 없음),2,"((GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVa | 450000.00","MAGIC/UNIVERSAL,SIEGE/UNIVERSAL",CurHp%,,450000,,미수록
H09I,소울 킹,초월함,1,Trig_BrookAttack,Brook_Skill_Mana,MANA게이지115.00,0,,,,525.00,0,,특성표
H09I,소울 킹,초월함,1,Trig_BrookAttack,Brook_Skill_1,1/7,2,350000.00 | 350000.00,NORMAL/UNIVERSAL,,360.00,700000,,미수록
H0B1,전 해군대장 아오키지 ,,1,Trig_Aokigi_Attack,Aokigi_skill_3,1/10,0,,,,475.00,0,,미수록
H0B1,전 해군대장 아오키지 ,,1,Trig_Aokigi_Attack,Aokigi_skill_4,1/14,0,,,,,0,,미수록
H0B1,전 해군대장 아오키지 ,,1,Trig_Aokigi_Attack,Aokigi_skill_2,1/25,0,,,,,0,,미수록
H0B2,다섯번째 황제,초월함,1,Trig_Snake_Attack,Snake_3_Kingkobra,MANA게이지85.00,2,(3500000.00*(1+(0.01*(GetUnitMoveSpeed(GetEn | 1875000.00,MAGIC/UNIVERSAL,,550.00,5375000,,미수록
H0B2,다섯번째 황제,초월함,1,Trig_Snake_Attack,Snake_2,1/15,2,(350000.00*(1+(0.01*(GetUnitMoveSpeed(GetEnu | 350000.00,MAGIC/UNIVERSAL,,475.00,700000,,미수록
H0B3,다섯번째 황제,초월함,1,Trig_Snake_Attack_BlackMamba,Snake_3_Kingkobra,MANA게이지75.00,2,(3500000.00*(1+(0.01*(GetUnitMoveSpeed(GetEn | 1875000.00,MAGIC/UNIVERSAL,,550.00,5375000,,미수록
H0B3,다섯번째 황제,초월함,1,Trig_Snake_Attack_BlackMamba,BlackMamba_skill_1,(게이트 없음),0,,,,,0,,미수록
H0B3,다섯번째 황제,초월함,1,Trig_Snake_Attack_BlackMamba,Snake_2,1/12,2,(350000.00*(1+(0.01*(GetUnitMoveSpeed(GetEnu | 350000.00,MAGIC/UNIVERSAL,,475.00,700000,,미수록
H0B4,유스타스'캡틴',초월함,1,Trig_Kid_Attack,Kid_Skill_Mana_Tr,LIFE게이지50.00,3,((400000.00+s__TrigVariables__get_realD(Glob | ((400000.00+s__TrigVariables__get_realD(Glob | ((400000.00+s__TrigVariabl,NORMAL/UNIVERSAL,,125.00,1200000,있음,특성표
H0B4,유스타스'캡틴',초월함,1,Trig_Kid_Attack,Kid_Skill_Mana,LIFE게이지50.00,1,((1000000.00+s__TrigVariables__get_realD(Glo,NORMAL/UNIVERSAL,,125.00,1000000,있음,특성표
H0B4,유스타스'캡틴',초월함,1,Trig_Kid_Attack,Kid_Skill_3_item,LIFE게이지50.00 AND 1/10,1,(450000.00*(1+(s__TrigVariables__get_realD(G,NORMAL/UNIVERSAL,,450.00,450000,있음,미수록
H0B4,유스타스'캡틴',초월함,1,Trig_Kid_Attack,Kid_Skill_3,LIFE게이지50.00 AND 1/10,2,(300000.00*(1+(s__TrigVariables__get_realD(G | (300000.00*(1+(s__TrigVariables__get_realD(G,NORMAL/UNIVERSAL,,"450.00,95.00",600000,있음,미수록
H0B5,해군대장-보르살리노,초월함,1,Trig_Kizaru_Attack,Kizaru_Skill_mana,1/17,0,,,,,0,,미수록
H0B5,해군대장-보르살리노,초월함,1,Trig_Kizaru_Attack,Kizaru_01,1/12,1,s__TrigVariables__get_realD(GlobalTV),NORMAL/UNIVERSAL,,,0,있음,미수록
H0B5,해군대장-보르살리노,초월함,2,Trig_Kizaru_Attack,Kizaru_01_shoot,1/17,1,200000.00,MAGIC/UNIVERSAL,,385.00,200000,,미수록
H0BD,오니히메,초월함,1,Trig_Yamato_Attack,Yamato_Dash,1/3,2,((udg_Yamato_Damage[GetConvertedPlayerId(Get | ((udg_Yamato_Damage[GetConvertedPlayerId(Get,NORMAL/UNIVERSAL,,450.00,430000,,미수록
H0BE,오니히메 인수화,초월함,1,Trig_Yamato_Attack_insu,Yamato_Attack_Damage2,(게이트 없음),4,((GetEventDamage()*0.75)+15000.00) | ((GetEventDamage()*0.20)+15000.00) | ((GetEventDamage()*0.75)+15000.00),"CHAOS/NORMAL,CHAOS/UNIVERSAL",,"325.00,425.00,525.00",420000,,미수록
H0BE,오니히메 인수화,초월함,1,Trig_Yamato_Attack_insu,Yamato_Dash,(게이트 없음),2,((udg_Yamato_Damage[GetConvertedPlayerId(Get | ((udg_Yamato_Damage[GetConvertedPlayerId(Get,NORMAL/UNIVERSAL,,450.00,430000,,미수록
H0BK,|CFFFFFA78태양의신-니카,,1,Trig_Nika_Attack,Nika_AttackDamage,LIFE게이지115.00 AND 버프B078==true,4,((GetEventDamage()*5.00)+1000000.00) | ((GetEventDamage()*2.00)+200000.00) | ((GetEventDamage()*5.00)+500000.00),"CHAOS/NORMAL,CHAOS/UNIVERSAL",,"425.00,500.00",1900000,,미수록
H0BK,|CFFFFFA78태양의신-니카,,1,Trig_Nika_Attack,Nika_Random_Punch,LIFE게이지115.00 AND 버프B078==true,2,(450000.00*(1+(0.01*(GetUnitMoveSpeed(GetEnu | (450000.00*(1+(0.01*(GetUnitMoveSpeed(s__Tri,"CHAOS/NORMAL,CHAOS/UNIVERSAL",,400.00,900000,,미수록
H0BL,'신'해군대장-초록소,초월함,1,Trig_Rokugu_Attack,Rokugu_Tree_S,(게이트 없음),2,(2000000.00+(s__TrigVariables__get_realC(Glo | (2000000.00+(s__TrigVariables__get_realC(Glo,CHAOS/NORMAL,,405.00,4000000,있음,미수록
H0BL,'신'해군대장-초록소,초월함,1,Trig_Rokugu_Attack,Rokugu_skill_1,1/7,1,700000.00,CHAOS/NORMAL,,485.00,700000,,미수록
H0BO,금증숲숲-초록소,초월함,1,Trig_RokuguTree_Attack,Rokugu_skill_1,1/7,1,700000.00,CHAOS/NORMAL,,485.00,700000,,미수록
H0BT,염왕,초월함,1,Trig_Zoro_Attack_enma,Zoro_Samchun2,MANA게이지145.00,2,(1500000.00+s__TrigVariables__get_realD(Glob | 2500000.00,"CHAOS/NORMAL,NORMAL/UNIVERSAL",,600.00,4000000,있음,미수록
H0BT,염왕,초월함,1,Trig_Zoro_Attack_enma,Zoro_samchun1,MANA게이지145.00,1,2500000.00,NORMAL/UNIVERSAL,,525.00,2500000,,미수록
H0BT,염왕,초월함,1,Trig_Zoro_Attack_enma,Zoro_enfor_flying_draong,1/6,2,(672500.00+s__TrigVariables__get_realD(Globa | (903750.00+(s__TrigVariables__get_realD(Glob,CHAOS/NORMAL,,425.00,1576250,있음,미수록
H0BT,염왕,초월함,1,Trig_Zoro_Attack_enma,Zoro_enfor_3dragon,1/15,2,(535000.00+s__TrigVariables__get_realD(Globa | 532500.00,CHAOS/NORMAL,,"405.00,425.00",1067500,있음,미수록
H0BT,염왕,초월함,1,Trig_Zoro_Attack_enma,Zoro_tiger,1/33,0,,,,500.00,0,,미수록
h021,마샬.D.티치 흰수염해적단의 배신자 - 희귀함,희귀함,1,Trig_Unique281,Tich1_danil,1/8,2,15000.00 | 15000.00,NORMAL/UNIVERSAL,,,30000,,미수록
h02N,겟코 모리아 쉐도우 아스가르드 - 전설적인,전설적인,1,Trig_Legend34Moria,Legend34Moria_Skill,(게이트 없음),2,250000.00 | 800000.00,NORMAL/UNIVERSAL,,400.00,1050000,,미수록
h02S,롤로노아 조로 죽음의경지'사자의노래' - 전설적,전설적인,1,Trig_Legend13,Legend13_2,1/7,4,"120000.00 | 750000.00 | ((GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__Tr","NORMAL/UNIVERSAL,PIERCE/UNIVERSAL",MaxHp%,450.00,2370000,,미수록
h02T,마르코 환수종'불사조' - 전설적인,전설적인,1,Trig_Legend17_Marco,Legend17_Marcodamage,(게이트 없음),1,(12500.00+(0.85*GetEventDamage())),CHAOS/NORMAL,,285.00,12500,,미수록
h02T,마르코 환수종'불사조' - 전설적인,전설적인,2,Trig_Legend17_Marco,Legend17_MacroLifeSkill,(게이트 없음),2,(500000.00+(5.00*s__TrigVariables__get_realD | (400000.00+(2.00*s__TrigVariables__get_realD,"CHAOS/NORMAL,CHAOS/UNIVERSAL",,525.00,900000,있음,미수록
h02U,"마샬.D.티치 검은수염 해적단 선장 ""검은수염""",전설적인,1,Trig_Legend26,Legend26_tichi_crows,LIFE게이지40.00 AND 1/7,3,4000000.00 | 300000.00 | 300000.00,NORMAL/UNIVERSAL,,,4600000,,미수록
h032,보아 핸콕 쿠사 해적단 선장 - 전설적인,전설적인,1,Trig_Legend14,Legend_han_kiss_damagesc2,버프B00D==true,0,,,,,0,,미수록
h032,보아 핸콕 쿠사 해적단 선장 - 전설적인,전설적인,1,Trig_Legend14,Legend_han_1,버프B00D==true AND 1/10,3,"150000.00 | ((GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__Tr | 112500.00","CHAOS/UNIVERSAL,NORMAL/UNIVERSAL",MaxHp%,345.00,262500,,미수록
h032,보아 핸콕 쿠사 해적단 선장 - 전설적인,전설적인,1,Trig_Legend14,Legend_han_kiss,버프B00D==true,0,,,,,0,,미수록
h033,빈스모크 레이쥬 포이즌 핑크 - 전설적인,전설적인,1,Trig_Legend19,Legend19_0,1/10,3,"100000.00 | ((GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVa | ((GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVa","NORMAL/UNIVERSAL,PIERCE/UNIVERSAL",CurHp%,333.00,100000,,미수록
h033,빈스모크 레이쥬 포이즌 핑크 - 전설적인,전설적인,1,Trig_Legend19,Legend19_1,1/19,3,"((GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVa | ((GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVa | ((GetUnitStateSwap(UNIT_ST",PIERCE/UNIVERSAL,CurHp%,,0,,미수록
h03B,에드워드 뉴게이트 '사황' 흰수염 해적단의 아버,전설적인,1,Trig_Legend5,Legend51,(게이트 없음),2,((1250000.00+(GetUnitStateSwap(UNIT_STATE_MA | ((1250000.00+(GetUnitStateSwap(UNIT_STATE_MA,HERO/NORMAL,MaxHp%,625.00,2500000,,미수록
h03J,[히든조합]시류비의 시류,,1,Trig_Hidden15,siru_R,MANA게이지100.00,1,(1500000.00+(s__TrigVariables__get_realE(Glo,NORMAL/UNIVERSAL,,450.00,1580000,,미수록
h03J,[히든조합]시류비의 시류,,1,Trig_Hidden15,siru_1,1/7,0,,,,,0,,미수록
h03R,[히든조합]반 더 데켄어인섬 절반면적의 노아를 ,,1,Trig_Hidden13,deken_Mana,MANA게이지115.00,1,(2200000.00+(GetUnitStateSwap(UNIT_STATE_MAX,NORMAL/UNIVERSAL,MaxHp%,800.00,2200000,,미수록
h03R,[히든조합]반 더 데켄어인섬 절반면적의 노아를 ,,1,Trig_Hidden13,deken_skill_1,1/16,1,120000.00,NORMAL/UNIVERSAL,,,120000,,미수록
h03S,울티 토비롯포 - 전설적인,전설적인,1,Trig_Legend35ulti,Legend35ulti_trg,LIFE게이지35.00,1,((GetEventDamage()*0.85)+115000.00),CHAOS/NORMAL,,400.00,115000,,미수록
h03V,[히든조합]코알라혁명군-어인공수도대리사범,,1,Trig_Koalla_Attack,koalla_skill_Mana,MANA게이지135.00,3,(500000.00+(40000.00*I2R(GetPlayerTechCountS | (500000.00+(40000.00*I2R(GetPlayerTechCountS | (850000.00+(40000.00*I2R(G,"CHAOS/NORMAL,NORMAL/UNIVERSAL",,625.00,1970000,,미수록
h03V,[히든조합]코알라혁명군-어인공수도대리사범,,1,Trig_Koalla_Attack,koalla_skill_1,MANA게이지135.00 AND 1/8,2,(525000.00+(52500.00*I2R(GetPlayerTechCountS | 525000.00,"CHAOS/NORMAL,MAGIC/UNIVERSAL",,500.00,1102500,,미수록
h03Z,[히든조합]아카이누흰수염을죽인 붉은개,,1,Trig_Hidden5,Akainu_02_hidden,버프B06B==true,3,"300000.00 | 1000000.00 | (GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__Tri","CHAOS/UNIVERSAL,NORMAL/UNIVERSAL",MaxHp%,525.00,1300000,,미수록
h040,아인 네오 해군 장교 - 제한됨,제한됨,1,Trig_AinAttack,Ain_Skill_1,1/6,5,320000.00 | 320000.00 | 3500000.00,"MAGIC/UNIVERSAL,NORMAL/UNIVERSAL",,475.00,4840000,,미수록
h040,아인 네오 해군 장교 - 제한됨,제한됨,1,Trig_AinAttack,Ain_Skill_2,1/21,7,240000.00 | 240000.00 | 240000.00,"MAGIC/UNIVERSAL,NORMAL/UNIVERSAL",,"475.00,500.00",5270000,,미수록
h048,[히든조합]페로나고스트 프린세스,,1,Trig_Hidden14,perona_Mana,MANA게이지100.00,1,(2250000.00+(s__TrigVariables__get_realE(Glo,NORMAL/UNIVERSAL,,500.00,2400000,,미수록
h048,[히든조합]페로나고스트 프린세스,,1,Trig_Hidden14,Hidden14_perona_use2,1/8,1,(125000.00+(125000.00*s__TrigVariables__get_,NORMAL/UNIVERSAL,,360.00,250000,,미수록
