능력ID,결과유닛ID,재료유닛ID들,재료개수들,골드,목재,툴팁원문
A0TQ,h013,h07U,1,0,0,|cffFF8200흔함영웅|r = |cff2f4f4f해당 특별함 유닛으로 진화|r
A0UG,h042,"h025,h021,h02J","1,1,1,",0,3,|cffFF8200류마 + 검은수염 + 킨에몬|r = |cff2f4f4f시노부|r / |cff32cd32목재 3필요|r / 
A0UH,h084,"h042,h032,h060","1,1,1,",5000,5,|cffFF8200시노부 + 핸콕 + 해적선|r = |cff2f4f4f뇌쇄 쿠노이치 시노부|r / |cff32cd32목재 5필요|r / |cffffd700골드 5000 필요|r / 
A0XP,h09X,"h01K,h011,h016","1,1,1",0,0,|cffFF8200X-드레이크+ 바질 호킨스+ 아론|r = |cff2f4f4fX-드레이크.알로사우로스|r
A0XS,h09Z,"h09X,h024,h02D","1,1,1",0,3,|cffFF8200유스타스 '캡틴' 키드 + 알로사우로스 + 와이퍼 |r = |cff2f4f4f네코마무시|r / |cff32cd32목재 3필요|r
A0XT,h09N,"h09L,h033,h03L,h07N,h06G","1,1,1,1,1",10000,7,|cffFF8200이치의 율자 + 레이쥬 + 써니호 + 베이비[변화된]|r = |cff2f4f4f부릉냐|r / |cff32cd32목재 7필요|r / |cffffd700골드 10000 필요|r / |cff32cd32행운의 토큰 1개 필요|r
A0Y3,h09W,"h06V,h07J,h042,h06G","1,1,1,1",10000,7,|cffFF8200나루토 선인모드+ 캐럿 스론 + 시노부|r = |cff2f4f4f나미카제 미나토|r / |cff32cd32목재 7필요|r / |cffffd700골드 10000 필요|r / |cff32cd32행운의 토큰 1개 필요|r / 
A0Y6,h09R,"h06Y,h087,h036,h00U,h06G","1,1,1,1,1",10000,7,|cffFF8200토우마 + 토키 + 센고쿠[전설] + 루피[특별함]|r = |cff2f4f4f쿠죠 죠타로|r / |cff32cd32목재 7필요|r / |cffffd700골드 10000 필요|r / |cff32cd32행운의 토큰 1개 필요|r
A0Y9,h0A2,"h070,h03J,h044,h02P,h06G","1,1,1,1,1",10000,7,|cffFF8200요미 + 시류[히든] + 류마[히든] + 나미 도둑고양이[전설]|r = |cff2f4f4f료우기 시키|r / |cff32cd32목재 7필요|r / |cffffd700골드 10000 필요|r / |cff32cd32행운의 토큰 1개 필요|r
A0YK,h0BF,"h072,h02R,h03T,h01N,h06G","1,1,1,1,1",10000,7,|cffFF8200츠바사 +  루치[전설] + 레베카[히든] + 브룩[희귀함] |r = |cff2f4f4f키쿄우|r / |cff32cd32목재 7필요|r / |cffffd700골드 10000 필요|r / |cff32cd32행운의 토큰 1개 필요|r / 
A108,h0AH,"h09X,h01L,h01U","1,1,1",0,3,|cffFF8200x드레이크.알로사우로스 + 바질 호킨스.스트로맨 + 도플라밍고 |r = |cff2f4f4f백수해적단 대간판 '킹'|r / |cff32cd32목재 3필요|r / 
A10A,h0AI,"h0AH,h02U,h05Y","1,1,1,",5000,5,|cffFF8200킹 + 검은수염 + 고대의배|r = |cff2f4f4f삼재해의.킹|r / |cff32cd32목재 5필요|r / |cffffd700골드 5000 필요|r / 
A12C,h0BC,"h06W,h0AH,h030,h06G","1,1,1,1",10000,7,|cffFF8200요츠바 +  킹[전설] +쿠마[전설] |r = |cff2f4f4f전율의 타츠마키|r / |cff32cd32목재 7필요|r / |cffffd700골드 10000 필요|r / |cff32cd32행운의 토큰 1개 필요|r / 
A130,h0BC,"h06W,h031,h037,h06G","1,1,1,1",10000,7,|cffFF8200요츠바 +  후지토라전설 + 슈가전설 + 에이스 특별함 |r = |cff2f4f4f전율의 타츠마키|r / |cff32cd32목재 7필요|r / |cffffd700골드 10000 필요|r / |cff32cd32행운의 토큰 1개 필요|r / 
