희귀함 | 검호 류마 용의 목을 벤 사나이 + 페로나 홀로홀로열매-네거티브 -> 마인 오즈 대륙파괴인
특별함 | 롤로노아 조로 + 롤로노아 조로 -> 롤로노아 조로 귀기
특별함 | 브룩 + 롤로노아 조로 + 상디 -> 헤르메포 해군
희귀함 | X-드레이크 초신성 -> 쥬라클 미호크 칠무해
희귀함 | 토니토니 쵸파 두뇌 강화 + 롤로노아 조로 귀기 + 페로나 + 우솝 -> 슈가 도플패밀리 최고 간부
변화된 | 슈가 장난감의 지배자 -> 돈키호테 도플라밍고 하늘귀신
랜덤전용 | 나루토 선인모드 + 메구밍 + 뱀파이어 + 센토 이스즈 + 이치의 율자 -> k'
안흔함 | 우솝 + 우솝 -> 저격왕 우솝
특별함 | 캡틴 크로 백계 -> 롤로노아 조로 귀기
희귀함 | 사보 혁명군 참모 + 비비 MIss.웬즈데이 -> 엠포리오 이완코브 혁명군
희귀함 | 유스타스 키드 캡틴-키드 + 센토마루  해군 과학본부장 -> 트라팔가 로우 죽음의 외과의사
특별함 | 브룩 + 로브 루치 CP9 도력 4000 -> 겟코 모리아 칠무해
특별함 | 버기 + 버기 + 버기 -> 버기 특제 마기탄
특별함 | 포트거스.D.에이스 + 포트거스.D.에이스 + 우솝 -> 포트거스.D.에이스 흰수염 해적단 2번대대장
희귀함 | 나미 크리마 텍트 + 아론 어인해적단 선장 + 몽키.D.루피 기어 세컨드 -> 보아 핸콕 칠무해
희귀함 | 벤 베크만 붉은머리 해적단 부선장 -> 쿠잔 해군대장 아오키지
랜덤전용 | 이사야마 요미 -> 쿠로사키 이치고
특별함 | 로브 루치 CP9 도력 4000 + 버기 특제 마기탄 -> 토니토니 쵸파 가드 포인트
희귀함 | 쥬라클 미호크 칠무해 + 상디 디아블 잠브 -> 보아 핸콕 칠무해
희귀함 | 모몬가 G1 지부의 수장 + 마샬.D.티치 흰수염해적단의 배신자 -> 마르코 흰수염 1번대대장
흔함 | 몽키.D.루피 -> 우솝
랜덤전용 | 야가미 라이토 -> 옌
특별함 | 니코 로빈 + 니코 로빈 + 토니토니 쵸파 -> 니코 로빈 오하라의 악마
특별함 | 포트거스.D.에이스 + CP9 후쿠로 + 버기 -> 징베 칠무해
희귀함 | 크로커 다일 전 칠무해 + 징베 칠무해 + 봉쿠레 Mr.2 -> 크로커 다일 Mr.0 Sir
전설적인 | 몽키.D.루피 기어서드 초신성 + 상디 디아블 잠브 + 카포네 갱 벳지 초신성 -> 샬롯 크래커 빅맘 3장성
안흔함 | 해군 칼병 + 해군 칼병 -> CP9 후쿠로
희귀함 | 토니토니 쵸파 가드 포인트 + 헤르메포 해군 + 트라팔가 로우 초신성 -> 토니토니 쵸파 혼 포인트
희귀함 | 카쿠 CP9 소소열매 람각 주단 + 마젤란 독독열매능력자 -> 와이퍼 하늘섬의 전귀
희귀함 | 쿠잔 해군대장 아오키지 -> 바제스 검은수염해적단 선원
특별함 | 하찌 + 하찌 + 몽키.D.루피 -> 아론 어인해적단 선장
희귀함 | 챠카 알라바스타의 수호신 + 크로커 다일 전 칠무해 + 나미 크리마 텍트 -> 비비 MIss.웬즈데이
희귀함 | 보르살리노 해군대장 + 거프 해군 영웅 -> 돈키호테 도플라밍고 칠무해
전설적인 | 보아 핸콕 쿠사 해적단 선장 -> 시노부 쿠노이치
안흔함 | 포트거스.D.에이스 -> CP9 블루노
특별함 | 우솝 화염탄 + 몽키.D.루피 기어 세컨드 -> 버기 특제 마기탄
희귀함 | 쿠잔 해군대장 아오키지 + 보르살리노 해군대장 -> 사카즈키 해군대장 아카이누
흔함 | 해군 총병 -> 해군 칼병
특별함 | 하찌 + 해군 칼병 + 롤로노아 조로 -> 캡틴 크로 백계
희귀함 | 파이러츠 도킹 5 거대 로봇 전사 + 바솔로뮤 쿠마 칠무해 + 로브 루치 CP9 도력 4000 -> 베이비 5 팔보수군
특별함 | CP9 블루노 + CP9 후쿠로 + 토니토니 쵸파 -> 챠카 알라바스타의 수호신
희귀함 | 우솝 화염탄 + 스모커 해군 준장 + 갓 에넬 하늘섬의 가짜신 -> 벤 베크만 붉은머리 해적단 부선장
희귀함 | 벤 베크만 붉은머리 해적단 부선장 + 상디 디아블 잠브 -> 샹크스 붉은머리 해적단 선장
희귀함 | 브룩 해골 음악가 + 페로나 홀로홀로열매-네거티브 -> 비비 MIss.웬즈데이
안흔함 | 해군 총병 + 해군 총병 -> CP9 블루노
특별함 | 토니토니 쵸파 두뇌 강화 + 카포네 갱 벳지 초신성 -> 바솔로뮤 쿠마 칠무해
전설적인 | 마샬.D.티치 검은수염 해적단 선장 "검은수염" + 고대의 배 특수 -> 킹 백수해적단-대간판
특별함 | 몽키.D.루피 -> 로브 루치 CP9 도력 4000
특별함 | 토니토니 쵸파 럼블볼강화 + 프랑키 + 나미 -> 스쿼드 흰수염산하 소용돌이 거미
희귀함 | 나미 크리마 텍트 -> 우솝 보잉열도 생존자
희귀함 | 시류 전 임펠다운 간수장 + 바제스 검은수염해적단 선원 -> 마샬.D.티치 흰수염해적단의 배신자
안흔함 | 해군 총병 + 나미 -> 하찌
안흔함 | 니코 로빈 -> CP9 후쿠로
특별함 | 카포네 갱 벳지 초신성 -> 우솝 화염탄
희귀함 | 마르코 흰수염 1번대대장 + 킨에몬 와노쿠니의 사무라이 -> 죠즈 흰수염 3번대 대장 다이아몬드
특수함 | 모건 타락한 해군 + 페루 알라바스타의 수호신 + 블고리 임펠다운 간수 + 아이스버그 워터세븐의 조선공 -> 베티 혁명군 군대장
특별함 | 토니토니 쵸파 럼블볼강화 + 이나즈마 + 해군 칼병 -> 토니토니 쵸파 가드 포인트
희귀함 | 스모커 해군 준장 + 몽키.D.루피 기어 세컨드 + X-드레이크 초신성 -> 거프 해군 영웅
특별함 | CP9 후쿠로 + 해군 총병 + 버기 -> 카포네 갱 벳지 초신성
특별함 | 니코 로빈 오하라의 악마 + 크로커 다일 전 칠무해 -> 이나즈마 혁명군
희귀함 | 베이비 5 팔보수군 + 토니토니 쵸파 혼 포인트 -> 센토마루  해군 과학본부장
안흔함 | 버기 + 나미 -> 페로나
희귀함 | 크로커 다일 Mr.0 Sir + 베이비 5 팔보수군 -> 마젤란 독독열매능력자
전설적인 | Dr.히루루크 나라를 치료한 의사 -> 마르코 환수종'불사조'
특별함 | 버기 -> 트라팔가 로우 초신성
특별함 | 버기 -> 토니토니 쵸파 두뇌 강화
희귀함 | 징베 칠무해 + 포트거스.D.에이스 흰수염 해적단 2번대대장 + 버기 특제 마기탄 -> 마젤란 독독열매능력자
희귀함 | 슈가 도플패밀리 최고 간부 + 킨에몬 와노쿠니의 사무라이 -> 제프 해상 레스토랑 쉐프
안흔함 | 타시기 -> 베포
희귀함 | 이나즈마 혁명군 + 바솔로뮤 쿠마 칠무해 + 마르코 흰수염 해적단 -> 사보 혁명군 참모
안흔함 | 상디 + 롤로노아 조로 -> 이나즈마
특별함 | 페로나 + CP9 블루노 + 우솝 -> 바질 호킨스 초신성
희귀함 | 와이퍼 하늘섬의 전귀 -> 우솝 보잉열도 생존자
특별함 | 베포 + 프랑키 + 롤로노아 조로 -> 바솔로뮤 쿠마 칠무해
희귀함 | 징베 칠무해 + 스모커 해군 준장 + 헤르메포 해군 -> 모몬가 G1 지부의 수장
희귀함 | 마르코 흰수염 해적단 + 토니토니 쵸파 가드 포인트 + 챠카 알라바스타의 수호신 -> 마르코 흰수염 1번대대장
희귀함 | 마샬.D.티치 흰수염해적단의 배신자 + 킨에몬 와노쿠니의 사무라이 -> 검호 류마 용의 목을 벤 사나이
안흔함 | 토니토니 쵸파 + 몽키.D.루피 -> 베포
특별함 | 페로나 + 베포 + 버기 -> 유스타스 키드 초신성
희귀함 | 바르토로메오 밀짚모자 해적단 광신도 + 시류 전 임펠다운 간수장 -> 브룩 해골 음악가
특별함 | 타시기 + CP9 후쿠로 + 토니토니 쵸파 -> X-드레이크 초신성
희귀함 | 포트거스.D.에이스 흰수염 해적단 2번대대장 + 스쿼드 흰수염산하 소용돌이 거미 + X-드레이크 초신성 -> 마샬.D.티치 흰수염해적단의 배신자
희귀함 | 스쿼드 흰수염산하 소용돌이 거미 + 카포네 갱 벳지 초신성 + 캡틴 크로 백계 -> 죠즈 흰수염 3번대 대장 다이아몬드
안흔함 | 토니토니 쵸파 + 토니토니 쵸파 -> 토니토니 쵸파 럼블볼강화
특별함 | 타시기 + 브룩 + 버기 -> 킬러 초신성
특별함 | 저격왕 우솝 + 베포 + 상디 -> 갓 에넬 하늘섬의 가짜신
희귀함 | 포트거스.D.에이스 흰수염 해적단 2번대대장 + 이나즈마 혁명군 + 크로커 다일 전 칠무해 -> 사카즈키 해군대장 아카이누
희귀함 | 캡틴 크로 백계 + 아론 어인해적단 선장 + 파이러츠 도킹 5 거대 로봇 전사 -> 바르토로메오 밀짚모자 해적단 광신도
희귀함 | 몽키.D.루피 기어서드 초신성 + 우솝 보잉열도 생존자 -> 바르토로메오 밀짚모자 해적단 광신도
희귀함 | 돈키호테 도플라밍고 칠무해 -> 바질호킨스 스트로맨
특별함 | 해군 총병 + 타시기 + 해군 칼병 -> 스모커 해군 준장
안흔함 | 저격왕 우솝 -> 저격왕 우솝
희귀함 | 니코 로빈 오하라의 악마 + 갓 에넬 하늘섬의 가짜신 + 스쿼드 흰수염산하 소용돌이 거미 -> 쿠잔 해군대장 아오키지
희귀함 | 아론 어인해적단 선장 + 징베 칠무해 + 헤르메포 해군 -> 반 더 데켄 플라잉더치맨호의 선장
희귀함 | 페로나 홀로홀로열매-네거티브 + 쥬라클 미호크 칠무해 -> 조로 '현상금 사냥꾼' 초신성
특별함 | 이나즈마 + 니코 로빈 + 나미 -> 봉쿠레 Mr.2
특별함 | 좀비 + 좀비 + 좀비 + 나미 -> 압살롬 투명인간
희귀함 | 갓 에넬 하늘섬의 가짜신 + 우솝 화염탄 + 상디 검은다리 -> 와이퍼 하늘섬의 전귀
희귀함 | 트라팔가 로우 죽음의 외과의사 + 거프 해군 영웅 -> 카쿠 CP9 소소열매 람각 주단
희귀함 | 센토마루  해군 과학본부장 + 징베 칠무해 -> [히든]실버즈 레일리 세계의 진실을 아는 자
특별함 | 유스타스 키드 초신성 -> 트라팔가 로우 초신성
안흔함 | 이나즈마 -> 이나즈마
희귀함 | 로브 루치 CP9 도력 4000 + 챠카 알라바스타의 수호신 + 니코 로빈 오하라의 악마 -> 카쿠 CP9 소소열매 람각 주단
희귀함 | 봉쿠레 Mr.2 + 이나즈마 혁명군 + 바질 호킨스 초신성 -> 제프 해상 레스토랑 쉐프
희귀함 | 엠포리오 이완코브 혁명군 + 바질호킨스 스트로맨 -> 상디 디아블 잠브
희귀함 | 트라팔가 로우 초신성 + 토니토니 쵸파 두뇌 강화 + 파이러츠 도킹 5 거대 로봇 전사 -> 트라팔가 로우 죽음의 외과의사
희귀함 | 유스타스 키드 초신성 + 나미 크리마 텍트 + 킬러 초신성 -> 유스타스 키드 캡틴-키드
희귀함 | 제프 해상 레스토랑 쉐프 + 샹크스 붉은머리 해적단 선장 -> 시류 전 임펠다운 간수장
희귀함 | 바질 호킨스 초신성 + 마르코 흰수염 해적단 + 버기 특제 마기탄 -> 바제스 검은수염해적단 선원
특별함 | 캡틴 크로 백계 + 포트거스.D.에이스 흰수염 해적단 2번대대장 -> 킬러 초신성
희귀함 | 크로커 다일 Mr.0 Sir + 돈키호테 도플라밍고 칠무해 -> 킨에몬 와노쿠니의 사무라이
희귀함 | 바질 호킨스 초신성 + 트라팔가 로우 초신성 + 킬러 초신성 -> 바질호킨스 스트로맨
희귀함 | 카포네 갱 벳지 초신성 + X-드레이크 초신성 + 상디 검은다리 -> 시류 전 임펠다운 간수장
희귀함 | 바질호킨스 스트로맨 + 우솝 보잉열도 생존자 -> 슈가 도플패밀리 최고 간부
희귀함 | X-드레이크 초신성 + 바질 호킨스 초신성 + 아론 어인해적단 선장 -> X-드레이크 알로사우로스
희귀함 | 카쿠 CP9 소소열매 람각 주단 + X-드레이크 알로사우로스 -> 몽키.D.루피 기어서드 초신성
희귀함 | 조로 '현상금 사냥꾼' 초신성 + 고대의 배 특수 -> 보르살리노 해군대장
