trigger_function	api	damage_expression	attack_type	damage_type	scales_with
Trig_Brook_Skill_1_Func015A	RRD	350000.00	NORMAL	UNIVERSAL	고정
Trig_Brook_Skill_1_Func028A	RRD	350000.00	NORMAL	UNIVERSAL	고정
Trig_Bugi_SommonDamage2_Func016A	RRD	GetEventDamage()	CHAOS	NORMAL	평타
Trig_Bustercall_Etc4_Func004Func004A	RRD	315000.00	CHAOS	NORMAL	고정
Trig_Byakuya_E_Func050A	RRD	4500000.00	NORMAL	UNIVERSAL	고정
Trig_Byakuya_R_Func030A	RRD	5000000.00	NORMAL	UNIVERSAL	고정
Trig_Cavendish_Attack_Actions	RRD	1625000.00	CHAOS	UNIVERSAL	고정
Trig_Cavendish_Attack_Actions	RRD	2775000.00	CHAOS	UNIVERSAL	고정
Trig_Cavendish_Attack_Func015A	RRD	500000.00	CHAOS	NORMAL	고정
Trig_Cavendish_Attack_Func023A	RRD	950000.00	CHAOS	NORMAL	고정
Trig_Cavendish_skill_6_Actions	RRD	1000000.00	CHAOS	UNIVERSAL	고정
Trig_Cavendish_skill_6_Actions	RRD	350000.00	CHAOS	UNIVERSAL	고정
Trig_Cavendish_skill_6_Func012A	RRD	1500000.00	CHAOS	UNIVERSAL	고정
Trig_Cavendish_skill_6_Func012A	UnitDamageTargetBJ	(0.02*GetUnitStateSwap(UNIT_STATE_LIFE,GetTriggerUnit()))	CHAOS	NORMAL	현재체력
Trig_Cavendish_skill_Mana_Actions	RRD	1000000.00	CHAOS	UNIVERSAL	고정
Trig_Cavendish_skill_Mana_Func002Func008Func010A	RRD	(2200000.00+(I2R(GetPlayerTechCountSimple('R01M',GetOwningPlayer(s__TrigVariables__get_unitA(GlobalTV))))*45000.00))	CHAOS	NORMAL	연구
Trig_Cavendish_skill_Mana_Func002Func008Func010A	UnitDamageTargetBJ	(0.01*GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVariables__get_unitB(GlobalTV)))	CHAOS	NORMAL	현재체력
Trig_Cavendish_skill_Mana_Func002Func008Func018A	RRD	(2200000.00+(I2R(GetPlayerTechCountSimple('R01M',GetOwningPlayer(s__TrigVariables__get_unitA(GlobalTV))))*45000.00))	CHAOS	NORMAL	연구
Trig_Cavendish_skill_Mana_Func002Func008Func018A	UnitDamageTargetBJ	(0.01*GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVariables__get_unitB(GlobalTV)))	CHAOS	NORMAL	현재체력
Trig_Chopatank_Actions	RRD	250000.00	MAGIC	UNIVERSAL	고정
Trig_Chopatank_Func013A	RRD	GetEventDamage()	CHAOS	NORMAL	평타
Trig_DP_AttackDamage_Func015A	RRD	((GetEventDamage()*0.50)+50000.00)	PIERCE	NORMAL	평타
Trig_DP_AttackDamagegaksung_Func015A	RRD	((GetEventDamage()*0.85)+85000.00)	CHAOS	NORMAL	평타
Trig_DP_Attack_gaksung_Func016A	RRD	((GetUnitStateSwap(UNIT_STATE_LIFE,GetEnumUnit())*0.01)+10000.00)	NORMAL	UNIVERSAL	현재체력
Trig_DP_Attack_gaksung_Func016A	RRD	400000.00	CHAOS	NORMAL	고정
Trig_DP_Skill_2_Actions	RRD	200000.00	NORMAL	UNIVERSAL	고정
Trig_DP_Skill_2_Actions	RRD	((GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVariables__get_unitB(GlobalTV))*0.25)*(0.20+(0.05*I2R(GetUnitAbilityLevelSwapped('A11S',s__TrigVariables__get_unitB(GlobalTV))))))	CHAOS	NORMAL	현재체력
Trig_DP_Skill_3_Func007A	RRD	(750000.00+(I2R(GetHeroStatBJ(bj_HEROSTAT_STR,udg_Hero_DP[0],true))*10000.00))	PIERCE	NORMAL	영웅스탯
Trig_Dragon_Skill_1_Actions	RRD	1000000.00	NORMAL	UNIVERSAL	고정
Trig_Dragon_Skill_1_Func014A	RRD	1000000.00	NORMAL	UNIVERSAL	고정
Trig_Dragon_Skill_1_T_Actions	RRD	(1.50*GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__TrigVariables__get_unitC(GlobalTV)))	NORMAL	UNIVERSAL	최대체력
Trig_Dragon_Skill_1_T_Actions	RRD	(0.02*GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__TrigVariables__get_unitC(GlobalTV)))	NORMAL	UNIVERSAL	최대체력
Trig_Dragon_Skill_1_T_Func031A	RRD	1250000.00	NORMAL	UNIVERSAL	고정
Trig_Dragon_Skill_2dummy_Actions	RRD	((25000.00+(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*(0.02)))*(0.20+(0.05*I2R(GetUnitAbilityLevelSwapped('A11S',GetTriggerUnit())))))	MELEE	UNIVERSAL	최대체력
Trig_Dragon_Skill_2dummy_Actions	RRD	((15000.00+(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*(0.012)))*(0.20+(0.05*I2R(GetUnitAbilityLevelSwapped('A11S',GetTriggerUnit())))))	MELEE	NORMAL	최대체력
Trig_Dragon_Skill_Mana_Func025A	RRD	300000.00	NORMAL	UNIVERSAL	고정
Trig_EXPLOSION_Func004Func024Func004A	RRD	(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetEnumUnit())*0.42)	CHAOS	NORMAL	최대체력
Trig_EXPLOSION_Func004Func024Func006A	RRD	(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetEnumUnit())*0.57)	CHAOS	NORMAL	최대체력
Trig_Ed_Skill_1_Actions	RRD	((1750000.00+(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__TrigVariables__get_unitB(GlobalTV))*0.03))*(1.50+((0.025)*I2R(GetPlayerTechCountSimple('R01V',GetOwningPlayer(s__TrigVariables__get_unitA(GlobalTV)))))))	HERO	NORMAL	최대체력
Trig_Ed_Skill_1_Func035A	RRD	((1750000.00+(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetEnumUnit())*0.03))*(1+((0.025)*I2R(GetPlayerTechCountSimple('R01V',GetOwningPlayer(s__TrigVariables__get_unitA(GlobalTV)))))))	HERO	NORMAL	최대체력
Trig_Ed_Skill_1_Item_Actions	RRD	((1750000.00+(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__TrigVariables__get_unitB(GlobalTV))*0.03))*(1.50+((0.025)*I2R(GetPlayerTechCountSimple('R01V',GetOwningPlayer(s__TrigVariables__get_unitA(GlobalTV)))))))	HERO	NORMAL	최대체력
Trig_Ed_Skill_1_Item_Func036A	RRD	((1750000.00+(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetEnumUnit())*0.03))*(1+((0.025)*I2R(GetPlayerTechCountSimple('R01V',GetOwningPlayer(s__TrigVariables__get_unitA(GlobalTV)))))))	HERO	NORMAL	최대체력
Trig_Ed_Skill_Mana_Func021A	RRD	2750000.00	HERO	NORMAL	고정
Trig_En_nomal_Func002Func001Func001Func002A	RRD	400000.00	NORMAL	UNIVERSAL	고정
Trig_Enel_Mana_Func004Func009A	UnitDamageTargetBJ	(0.02*GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__TrigVariables__get_unitB(GlobalTV)))	NORMAL	UNIVERSAL	최대체력
Trig_Enel_skill_2_Func018A	RRD	(182500.00+(I2R(GetPlayerTechCountSimple('R01L',GetOwningPlayer(s__TrigVariables__get_unitA(GlobalTV))))*12500.00))	NORMAL	UNIVERSAL	연구
Trig_Franky_Skill_1_Actions	RRD	250000.00	NORMAL	UNIVERSAL	고정
Trig_Franky_Skill_1_Actions	RRD	200000.00	NORMAL	UNIVERSAL	고정
Trig_Franky_Skill_1_Func007A	RRD	500000.00	NORMAL	UNIVERSAL	고정
Trig_Franky_Skill_1_Func015A	RRD	400000.00	NORMAL	UNIVERSAL	고정
Trig_Franky_Skill_Mana1_Func033A	RRD	4000000.00	NORMAL	UNIVERSAL	고정
Trig_Franky_misiile_re_Func026A	RRD	180000.00	NORMAL	UNIVERSAL	고정
Trig_Gaban_Skill_1_Actions	RRD	8750000.00	HERO	NORMAL	고정
Trig_Gaban_Skill_1_Actions	RRD	((GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__TrigVariables__get_unitB(GlobalTV))*0.20)*1.00)	PIERCE	NORMAL	최대체력
Trig_Gaban_Skill_mana_Actions	RRD	((GetUnitStateSwap(UNIT_STATE_MAX_LIFE,udg_Hero_Gaban[3])*0.50)*1.00)	CHAOS	UNIVERSAL	최대체력
Trig_Gaban_Skill_mana_Actions	RRD	(0.10*GetUnitStateSwap(UNIT_STATE_MAX_LIFE,udg_Hero_Gaban[3]))	HERO	UNIVERSAL	최대체력
Trig_Gaban_Skill_mana_Actions	RRD	(0.03*GetUnitStateSwap(UNIT_STATE_MAX_LIFE,udg_Hero_Gaban[3]))	HERO	UNIVERSAL	최대체력
Trig_Garp_AttackDamage_Actions	RRD	(250000.00*(1+(0.12*s__TrigVariables__get_realD(GlobalTV))))	HERO	UNIVERSAL	변수
Trig_Garp_AttackDamage_Actions	RRD	((0.05*GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVariables__get_unitB(GlobalTV)))*(1+(0.12*s__TrigVariables__get_realD(GlobalTV))))	HERO	NORMAL	현재체력
Trig_Garp_AttackDamage_Actions	RRD	(((0.005)*GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVariables__get_unitB(GlobalTV)))*(1+(0.12*s__TrigVariables__get_realD(GlobalTV))))	HERO	NORMAL	현재체력
Trig_Garp_AttackDamage_Func020A	RRD	(GetEventDamage()*(1.10+s__TrigVariables__get_realD(GlobalTV)))	CHAOS	NORMAL	평타
Trig_Garp_AttackDamage_Func020A	RRD	(2500.00*s__TrigVariables__get_realG(GlobalTV))	CHAOS	UNIVERSAL	변수
Trig_Garp_AttackDamage_Func029A	RRD	(GetEventDamage()*(1+s__TrigVariables__get_realD(GlobalTV)))	CHAOS	NORMAL	평타
Trig_Garp_AttackDamage_Func041A	RRD	((615000.00+(GetEventDamage()*(1.05+s__TrigVariables__get_realD(GlobalTV))))*(1+(0.80*s__TrigVariables__get_realD(GlobalTV))))	CHAOS	NORMAL	평타
Trig_Garp_Mana2_Func004Func006Func008A	RRD	((6000000.00+(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetEnumUnit())*0.05))*(1+s__TrigVariables__get_realD(GlobalTV)))	HERO	NORMAL	최대체력
Trig_Garp_Mana2_Func005Func008A	RRD	((6000000.00+(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetEnumUnit())*0.05))*(1+s__TrigVariables__get_realD(GlobalTV)))	HERO	NORMAL	최대체력
Trig_Garp_Mana2_Func006Func002Func011A	RRD	((7250000.00+(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetEnumUnit())*0.06))*(1+s__TrigVariables__get_realD(GlobalTV)))	HERO	NORMAL	최대체력
Trig_Hidden11_Actions	RRD	(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*(0.3))	NORMAL	UNIVERSAL	최대체력
Trig_Hidden12_Actions	RRD	275000.00	NORMAL	UNIVERSAL	고정
Trig_Hidden12_Actions	RRD	(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*0.01)	NORMAL	UNIVERSAL	최대체력
Trig_Hidden12_Actions	RRD	(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*(0.05))	NORMAL	UNIVERSAL	최대체력
Trig_Hidden12_Actions	UnitDamagePointLoc	275000.00	NORMAL	UNIVERSAL	고정
Trig_Hidden14_Actions	UnitDamageTargetBJ	1200000.00	NORMAL	UNIVERSAL	고정
Trig_Hidden14_perona_missile_Func004Func004A	RRD	8050000.00	NORMAL	UNIVERSAL	고정
Trig_Hidden14_perona_use2_Func005Func005A	RRD	(125000.00+(125000.00*s__TrigVariables__get_realC(GlobalTV)))	NORMAL	UNIVERSAL	변수
Trig_Hidden15_Actions	RRD	((GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*0.07)*(0.20+(0.05*I2R(GetUnitAbilityLevelSwapped('A11S',GetTriggerUnit())))))	PIERCE	UNIVERSAL	최대체력
Trig_Hidden15_Actions	UnitDamageTargetBJ	300000.00	NORMAL	UNIVERSAL	고정
Trig_Hidden16_Actions	RRD	85000.00	NORMAL	UNIVERSAL	고정
Trig_Hidden16_Actions	RRD	(GetUnitStateSwap(UNIT_STATE_LIFE,GetTriggerUnit())*(0.008))	NORMAL	UNIVERSAL	현재체력
Trig_Hidden16_Actions	RRD	(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*(0.035))	NORMAL	UNIVERSAL	최대체력
Trig_Hidden17_Actions	RRD	100000.00	NORMAL	UNIVERSAL	고정
Trig_Hidden17_Func007A	RRD	200000.00	NORMAL	UNIVERSAL	고정
Trig_Hidden19_Actions	RRD	300000.00	NORMAL	UNIVERSAL	고정
Trig_Hidden19_Func008A	RRD	240000.00	SIEGE	NORMAL	고정
Trig_Hidden19_Func018A	RRD	240000.00	SIEGE	NORMAL	고정
Trig_Hidden1_Actions	RRD	((GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*0.03)*(0.28+(0.03*I2R(GetUnitAbilityLevelSwapped('A11S',GetTriggerUnit())))))	HERO	NORMAL	최대체력
Trig_Hidden1_Actions	RRD	300000.00	HERO	UNIVERSAL	고정
Trig_Hidden1_Actions	RRD	5000000.00	CHAOS	UNIVERSAL	고정
Trig_Hidden1_Func007A	RRD	450000.00	CHAOS	UNIVERSAL	고정
Trig_Hidden20_Actions	RRD	252500.00	NORMAL	UNIVERSAL	고정
Trig_Hidden21_Func005A	RRD	350000.00	NORMAL	UNIVERSAL	고정
Trig_Hidden23_rokugu_Actions	RRD	3375000.00	CHAOS	UNIVERSAL	고정
Trig_Hidden23_rokugu_Func010A	RRD	1500000.00	CHAOS	NORMAL	고정
Trig_Hidden23_rokugu_Func026A	RRD	400000.00	CHAOS	NORMAL	고정
Trig_Hidden3buggi_Func008A	RRD	100000.00	NORMAL	UNIVERSAL	고정
Trig_Hidden4_Actions	RRD	177777.00	NORMAL	UNIVERSAL	고정
Trig_Hidden4_Actions	RRD	(GetUnitStateSwap(UNIT_STATE_LIFE,GetTriggerUnit())*(0.025))	HERO	UNIVERSAL	현재체력
Trig_Hidden5_Actions	RRD	305000.00	NORMAL	UNIVERSAL	고정
Trig_Hidden5_Actions	RRD	765000.00	NORMAL	UNIVERSAL	고정
Trig_Hidden5_Actions	RRD	(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*(0.1))	NORMAL	UNIVERSAL	최대체력
Trig_Hidden5_Func007A	RRD	100000.00	MAGIC	UNIVERSAL	고정
Trig_Hidden6_Actions	RRD	330000.00	NORMAL	UNIVERSAL	고정
Trig_Hidden8_Actions	RRD	10000.00	NORMAL	UNIVERSAL	고정
Trig_Hidden8_Actions	RRD	((GetUnitStateSwap(UNIT_STATE_LIFE,GetTriggerUnit())*0.19)*(0.20+(0.05*I2R(GetUnitAbilityLevelSwapped('A11S',GetTriggerUnit())))))	PIERCE	UNIVERSAL	현재체력
Trig_Hidden8_Actions	RRD	150000.00	NORMAL	UNIVERSAL	고정
Trig_Hidden8_Func010A	RRD	80000.00	NORMAL	UNIVERSAL	고정
Trig_Hidden9_Func009A	RRD	2150000.00	NORMAL	UNIVERSAL	고정
Trig_Hidden9_Func017A	RRD	150000.00	NORMAL	UNIVERSAL	고정
Trig_Higma_Attack_Actions	RRD	5000000.00	NORMAL	UNIVERSAL	고정
Trig_Higma_Q_Func045A	RRD	100000.00	NORMAL	UNIVERSAL	고정
Trig_Higma_Q_Func049A	RRD	100000.00	NORMAL	UNIVERSAL	고정
Trig_Higma_W_Func029A	RRD	175000.00	NORMAL	UNIVERSAL	고정
Trig_Hokins_Func002Func001Func004A	RRD	(250000.00+(20000.00*s__TrigVariables__get_realB(GlobalTV)))	CHAOS	NORMAL	변수
Trig_Hokins_Skill_3_Func003Func004Func002A	RRD	(187500.00+(15000.00*s__TrigVariables__get_realB(GlobalTV)))	CHAOS	NORMAL	변수
Trig_Hokins_Skill_4_Func025A	RRD	(162500.00+(13000.00*s__TrigVariables__get_realB(GlobalTV)))	NORMAL	UNIVERSAL	변수
Trig_Hokins_mana_Func004Func003A	RRD	(1350000.00+(190000.00*s__TrigVariables__get_realB(GlobalTV)))	CHAOS	NORMAL	변수
Trig_Huji01_Actions	RRD	350000.00	MAGIC	UNIVERSAL	고정
Trig_Huji01_Func038A	RRD	((GetEventDamage()*2.50)+250000.00)	CHAOS	NORMAL	평타
Trig_Huji01_Func051A	RRD	GetEventDamage()	CHAOS	NORMAL	평타
Trig_Huji02DM_Func007A	RRD	((GetEventDamage()*5.00)+450000.00)	CHAOS	NORMAL	평타
Trig_Huji_03_Func006Func007A	RRD	6250000.00	NORMAL	UNIVERSAL	고정
Trig_Huji_meteor_Func003Func004A	RRD	315000.00	CHAOS	NORMAL	고정
Trig_Jimbe_Actions	RRD	(4840000.00+(I2R(GetUnitAbilityLevelSwapped('AId1',s__TrigVariables__get_unitB(GlobalTV)))*48450.00))	CHAOS	UNIVERSAL	변수
Trig_Jimbe_Func002Func001Func001Func002Func004A	RRD	(1750000.00+(I2R(GetUnitAbilityLevelSwapped('AId1',GetEnumUnit()))*17500.00))	CHAOS	NORMAL	변수
Trig_Jimbe_Mu_Func002Func001Func010A	RRD	(4350000.00+(I2R(GetUnitAbilityLevelSwapped('AId1',GetEnumUnit()))*43500.00))	CHAOS	NORMAL	변수
Trig_Jimbe_jingak_Func002Func001Func012A	RRD	((1000000.00+s__TrigVariables__get_realD(GlobalTV))+(I2R(GetUnitAbilityLevelSwapped('AId1',GetEnumUnit()))*10000.00))	CHAOS	NORMAL	변수
Trig_Jotaro_D2_Actions	UnitDamageTargetBJ	425000.00	CHAOS	UNIVERSAL	고정
Trig_Jotaro_D2_Func027A	UnitDamageTargetBJ	850000.00	HERO	NORMAL	고정
Trig_Jotaro_E_Actions	UnitDamageTargetBJ	1000000.00	CHAOS	UNIVERSAL	고정
Trig_Jotaro_E_Func060A	UnitDamageTargetBJ	(850000.00*(1.00+(I2R(GetUnitAbilityLevelSwapped('AId1',GetEnumUnit()))*(0.0125))))	HERO	NORMAL	변수
Trig_Jotaro_R_Func072A	RRD	2500000.00	HERO	NORMAL	고정
Trig_Jotaro_R_Func075A	RRD	(4250000.00+((GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetEnumUnit())-GetUnitStateSwap(UNIT_STATE_LIFE,GetEnumUnit()))*0.02))	HERO	NORMAL	최대체력
Trig_Jotaro_W_Actions	UnitDamageTargetBJ	875000.00	CHAOS	UNIVERSAL	고정
Trig_Jotaro_W_Func038A	UnitDamageTargetBJ	(1850000.00*(1.00+(I2R(GetUnitAbilityLevelSwapped('AId1',GetEnumUnit()))*(0.0125))))	HERO	NORMAL	변수
Trig_Kaido_Attack_Actions	RRD	500000.00	HERO	NORMAL	고정
Trig_Kaido_Attack_Func011Func028A	RRD	((s__TrigVariables__get_realB(GlobalTV)*0.10)+150000.00)	NORMAL	UNIVERSAL	변수
Trig_Kaido_Attack_Func011Func028A	RRD	s__TrigVariables__get_realD(GlobalTV)	CHAOS	NORMAL	변수
Trig_Kaido_Attack_Func012Func016A	RRD	((s__TrigVariables__get_realB(GlobalTV)*0.10)+150000.00)	NORMAL	UNIVERSAL	변수
Trig_Kaido_Attack_Func013Func024A	RRD	s__TrigVariables__get_realD(GlobalTV)	CHAOS	UNIVERSAL	변수
Trig_Kaido_Dragon_Skill_2_Func004Func001Func008A	RRD	s__TrigVariables__get_realD(GlobalTV)	CHAOS	NORMAL	변수
Trig_Kaido_Dragon_Skill_2_Func004Func001Func025A	RRD	s__TrigVariables__get_realD(GlobalTV)	CHAOS	NORMAL	변수
Trig_Kaido_Dragon_buster_Actions	RRD	s__TrigVariables__get_realD(GlobalTV)	CHAOS	UNIVERSAL	변수
Trig_Kaido_Dragon_buster_Func049A	RRD	s__TrigVariables__get_realD(GlobalTV)	CHAOS	NORMAL	변수
Trig_Kaido_Dragon_melee_1_Func032A	RRD	(s__TrigVariables__get_realD(GlobalTV)*0.56)	CHAOS	NORMAL	변수
Trig_Kaido_Dragon_melee_1_Func039A	RRD	(s__TrigVariables__get_realD(GlobalTV)*0.35)	CHAOS	NORMAL	변수
Trig_Kaido_Mana_Func004Func001Func006A	RRD	999999.00	HERO	NORMAL	고정
Trig_Kaido_Skill_1_8_Actions	RRD	s__TrigVariables__get_realD(GlobalTV)	CHAOS	UNIVERSAL	변수
Trig_Kaido_Skill_1_8_Func047A	RRD	s__TrigVariables__get_realD(GlobalTV)	CHAOS	NORMAL	변수
Trig_Kata_03_Func020A	RRD	((GetEventDamage()*0.75)+100000.00)	CHAOS	NORMAL	평타
