order_string	ability_id	dummy_unit_id	dummy_name	grade	w3a_name	w3a_base	w3a_damage_max	w3a_cooldown
purge	Apg2	e0GQ	!전설 로우 더미2	전설적인				
firebolt	A14K	e0D5	E영원 산화 부지화 더미	영원한	C파이어볼트-대염계	ANfb		0.0
firebolt	A14K	e0D5	E영원 산화 부지화 더미	영원한	C파이어볼트-대염계	ANfb		0.0
attack					!!!@#$고스트	Aeth		
firebolt	A0VV	e0HZ	!전설 시노부 더미4	전설적인	C파이어볼트계열	ANfb		0.0
attack					!!!@#$고스트	Aeth		
firebolt	A0VV	e0HZ	!전설 시노부 더미4	전설적인	C파이어볼트계열	ANfb		0.0
unholyfrenzy	A0UK	e0IG	!전설 토키 가속1	전설적인	!시간급가속 버프	Auhf		0.0
unholyfrenzy	A0UK	e0IG	!전설 토키 가속1	전설적인	!시간급가속 버프	Auhf		0.0
unholyfrenzy	A0UK	e0IG	!전설 토키 가속1	전설적인	!시간급가속 버프	Auhf		0.0
unholyfrenzy	A0UK	e0IG	!전설 토키 가속1	전설적인	!시간급가속 버프	Auhf		0.0
unholyfrenzy	A0UK	e0IG	!전설 토키 가속1	전설적인	!시간급가속 버프	Auhf		0.0
unholyfrenzy	A0UK	e0IG	!전설 토키 가속1	전설적인	!시간급가속 버프	Auhf		0.0
unholyfrenzy	A0UK	e0IG	!전설 토키 가속1	전설적인	!시간급가속 버프	Auhf		0.0
unholyfrenzy	A0UK	e0IG	!전설 토키 가속1	전설적인	!시간급가속 버프	Auhf		0.0
unholyfrenzy	A0UK	e0IG	!전설 토키 가속1	전설적인	!시간급가속 버프	Auhf		0.0
unholyfrenzy	A0UK	e0IG	!전설 토키 가속1	전설적인	!시간급가속 버프	Auhf		0.0
unholyfrenzy	A0UK	e0IG	!전설 토키 가속1	전설적인	!시간급가속 버프	Auhf		0.0
unholyfrenzy	A0UK	e0IG	!전설 토키 가속1	전설적인	!시간급가속 버프	Auhf		0.0
stomp	A07K	e00E	!전설 쿠마 스턴 더미2	전설적인	2범위 쿠마전설 스턴	AOws	200000.0	0.0
firebolt	A0UO	e0E2	%제한변화 에이스 불기둥1		C 염계 스턴	AHtb		0.0
firebolt	A0UP	e030	%제한변화 에이스 불주먹1		C파이어볼트-염계	ANfb		0.0
stomp	A0PU	e0EM	%제한됨 크로커 금강보도2		2범위 금강보도	AOws	200000.0	0.0
attack					!!!@#$고스트	Aeth		
firebolt	A0VV	e0HZ	!전설 시노부 더미4	전설적인	C파이어볼트계열	ANfb		0.0
firebolt	A0VV	e0P8	!제한됨 시노부 마나 더미 1	전설적인	C파이어볼트계열	ANfb		0.0
firebolt	A177	e0RJ	%제한변화 마르코 봉황인스턴		C파이어볼트-봉황인 스턴	ANfb	99999.0	0.0
firebolt	A13M	e04W	@초월 루피 레드호크 더미3	초월함	C파이어볼트-루피 레드호크	ANfb	99999.0	0.0
stomp	A0S1	e01U	@초월 샹크스 패기더미4	초월함	2범위 샹크스초월 특성스턴	AOws	1500000.0	0.0
stomp	A08E	e01S	@초월 샹크스 스턴1	초월함	2범위 샹크스초월 스턴	AOws	360000.0	0.0
stomp	A08D	e0G2	@초월 샹크스 패기더미3	초월함	2범위 샹크스초월 패기 스턴	AOws	425000.0	0.0
stomp	A0S1	e01U	@초월 샹크스 패기더미4	초월함	2범위 샹크스초월 특성스턴	AOws	1500000.0	0.0
purge	A12S	e09D	@초월 로우 메스 2	초월함		Apg2		0.0
purge	A0OG	e0NQ	@초월 로우 카운터 더미	초월함	3범위 로우초월 카운터1	AHtc	350000.0	0.0
windwalk	A14X	e03X	@초월 상디 킥1 더미02	초월함	상디 사운드2	AOwk		
windwalk	A14W	e0Q7	@초월 상디 킥1 더미	초월함	상디 사운드1	AOwk		
firebolt	A0VL	e04I	@초월 아카이누 대분화2	초월함	C파이어볼트-아카초월	ANfb		0.0
firebolt					!!!@#$고스트	Aeth		
entanglingroots	A08X	e047	@초월 사보 화염용왕1	초월함	5절대쿨 사보	AUfa		0.0
firebolt		e08M	@초월 사보 화염용왕2	초월함	!!!@#$고스트	Aeth		
firebolt	A0V9	e04O	@초월 로빈 클러치	초월함	C파이어볼트-로빈초월스턴	ANfb	120000.0	0.0
frostarmor	A0BZ	e04S	@초월 시라호시 대습격 더미2	초월함	5절대쿨 시라호시	AUfa		0.0
stampede	A0BZ	e04S	@초월 시라호시 대습격 더미2	초월함	5절대쿨 시라호시	AUfa		0.0
stampede	A0BZ	e0PF	@초월 시라호시 대습격 더미1	초월함	5절대쿨 시라호시	AUfa		0.0
stomp	A0AW	e089	@초월 이도류 나생문 더미3	초월함	2범위 나생문 스턴더미	AOws	150000.0	0.0
firebolt	A0UQ	e0JG	!전설 조로 리메이크6	전설적인	C파이어볼트계열-조로전설사자의노래	ANfb		0.0
firebolt	A0WC	e0H3	@초월 호킨스 트리플2	초월함	C파이어볼트계열-호킨스	ANfb		0.0
firebolt	A0YV	e0L3	@초월 스네이크맨 블랙맘바더미0	초월함	C파이어볼트-스네이크맨 킹코브라단일	ANfb	99999.0	0.0
entanglingroots	A12E	e0OV	@초월 야마토 무시빙아 버프용	초월함	H야마토 무시빙아 시전	Aenr		0.0
stomp	A12N	e0OU	@초월 야마토 무시빙아 기류1	초월함	2범위 야마토 마나 스턴1	AOws	2150000.0	0.0
faeriefire	Afae	e0CV	R랜유 페인 브링어2	랜덤전용				
whirlwind	A0LG	e0CJ	R랜유 풍둔 나선 수리검 더미	랜덤전용	V나선 수리검	AOww		0.0
thunderclap	A0LD	e0CF	R랜유 츠바사 더미1	랜덤전용	3범위 츠바사 할퀴기	AHtc	150000.0	0.0
thunderclap	A0LE	e0CG	R랜유 츠바사 더미2	랜덤전용	3범위 츠바사 할퀴기 2	AHtc	350000.0	0.0
berserk		h09O	#더미 금1	불멸의	!!!@#$고스트	Aeth		
firebolt	A0YW	h0A7	#더미 료우기 스킬스턴	불멸의	C파이어볼트-료우기스킬 스턴	ANfb	99999.0	0.0
firebolt	A0YW	h0A7	#더미 료우기 스킬스턴	불멸의	C파이어볼트-료우기스킬 스턴	ANfb	99999.0	0.0
firebolt	A0YW	h0A7	#더미 료우기 스킬스턴	불멸의	C파이어볼트-료우기스킬 스턴	ANfb	99999.0	0.0
firebolt	A0YW	h0A7	#더미 료우기 스킬스턴	불멸의	C파이어볼트-료우기스킬 스턴	ANfb	99999.0	0.0
firebolt	A0YW	h0A7	#더미 료우기 스킬스턴	불멸의	C파이어볼트-료우기스킬 스턴	ANfb	99999.0	0.0
berserk		h09O	#더미 금1	불멸의	!!!@#$고스트	Aeth		
berserk	A0Z4	h0AF	#더미 히그마 사운드	불멸의	더미 사운드 히그마q	Absk		0.0
berserk					!!!@#$고스트	Aeth		
firebolt	A14S	e02K	@초월 빅맘 내려찍기4	초월함	C파이어볼트-불꽃칼	ANfb		0.0
windwalk	A14T	e0KX	@초월 빅맘 하울링	초월함	빅맘 사운드	AOwk		
firebolt	A14S	e0Q4	@초월 빅맘 먹이3	초월함	C파이어볼트-불꽃칼	ANfb		0.0
stomp	A0W5	e00Q	#불멸 레일리 마나스킬 1	불멸의	2범위 레일리불멸 스턴	AOws	1500000.0	0.0
stomp	A081	e01H	#불멸 레일리 마나스킬	불멸의	2범위 레일리불멸 스턴	AOws	1250000.0	0.0
firebolt	A14B	e0PZ	#불멸 레일리흡수0	불멸의	C파이어볼트-레일리	ANfb	99999.0	0.0
stomp	A13U	e026	#불멸 시키 더미	불멸의	B바닷물 방깎	AHad		
stomp	A08N	e02X	#불멸 시키 사자떨어트리기1	불멸의	2범위 시키불멸 마나스킬	AOws		0.0
stomp	A08U	e01G	#불멸 거프주먹더미	불멸의	2범위 거프불멸주먹스턴	AOws		0.0
stomp	A17N	e0B5	#불멸 주먹 유성군 더미2	불멸의	2범위 거프불멸마나강화	AOws		0.0
stomp	A08U	e0B6	#불멸 주먹 유성군 더미1	불멸의	2범위 거프불멸주먹스턴	AOws		0.0
entanglingroots	A0A7	e069	#불멸 Z 마나스킬 더미1	불멸의	H루츠 제트불멸 마나스킬용	Aenr		0.0
stomp	A0A8	e068	#불멸 Z 마나스킬 더미 폭발1	불멸의	2범위 제트불멸 마나스킬	AOws	200000.0	0.0
stomp	A111	e0NF	#불멸 흰수염 마나스킬0	불멸의	2범위 흰불마나스턴	AOws	500000.0	0.0
entanglingroots	A099	e03F	#불멸 흰불루츠더미	불멸의	H루츠 흰불펀치홀드	Aenr		0.0
stomp	A098	e03C	#불멸 흰수염지진펀치 더미2	불멸의	2범위 흰불스턴더미1	AOws		0.0
entanglingroots	A099	e03F	#불멸 흰불루츠더미	불멸의	H루츠 흰불펀치홀드	Aenr		0.0
stomp	A098	e03C	#불멸 흰수염지진펀치 더미2	불멸의	2범위 흰불스턴더미1	AOws		0.0
carrionswarm	A0OZ	e0E8	#불멸 흰불 해일 1	불멸의	0장풍 흰불 해일	ACca	70000000.0	0.0
carrionswarm	A0OZ	e0E8	#불멸 흰불 해일 1	불멸의	0장풍 흰불 해일	ACca	70000000.0	0.0
purge	A12U	e07W	#불멸 로저 더미4	불멸의		Apg2		0.0
windwalk	A0RH	e0G3	가반 더미		가반 사운드	AOwk		
windwalk	A0RH	e082	#불멸 가반 더미1	불멸의	가반 사운드	AOwk		
stomp	A0SZ	e0H5	#불멸 카이도우 [공통] 번개	불멸의	2범위 카이도우 스턴	AOws	70000.0	0.0
firebolt	A13F	e0ME	#불멸 카이도우 [공통] 까만불2	불멸의	C파이어볼트-카이도 스턴	ANfb		0.0
stomp					!!!@#$고스트	Aeth		
firebolt	A13F	e0ME	#불멸 카이도우 [공통] 까만불2	불멸의	C파이어볼트-카이도 스턴	ANfb		0.0
firebolt	A14K	e0D8	E영원 에이스 특대화권 더미0	영원한	C파이어볼트-대염계	ANfb		0.0
firebolt	A14K	e0DF	E영원 에이스 화달마 더미2 폭발	영원한	C파이어볼트-대염계	ANfb		0.0
creepthunderclap	A0C6	e08F	E영원 핸콕 날아차기 스킬 더미	영원한	1범위 핸콕영원 패기	ACt2		
thunderbolt	A0UE	e0IB	!전설 핸콕 석화!	전설적인	4지정 샹전패기장판단일	AHtb		0.0
attack		h077	간부 파견 해군 - 변화된		!!!@#$고스트	Aeth		
attack	A0F1	h079	임펠다운 Lv.6죄수 버기의 부하 - 초월함		!강력범-죄수크리	ACbh		
howlofterror	A0M5	e0AJ	E영원 버기 더미	영원한	7하울오브테러 버영 허세	ANht		4.5
stomp	A0ZZ	e0A3	E영원 기면증 더미 1	영원한	2범위 기면증 스턴	AOws		0.0
stomp	A0ZZ	e0A3	E영원 기면증 더미 1	영원한	2범위 기면증 스턴	AOws		0.0
stomp	A0ZZ	e0A3	E영원 기면증 더미 1	영원한	2범위 기면증 스턴	AOws		0.0
stomp	A0ZZ	e0A3	E영원 기면증 더미 1	영원한	2범위 기면증 스턴	AOws		0.0
move		h0AJ	제우스 탈취한 번개 - 초월함		!!!@#$고스트	Aeth		
move	A0WI	h08L	스트로맨 미니 저주인형 - 초월함		B저주 중첩	AHad		
